,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors
0,0.15027576666666667,0.2621578666666667,,2.5245146666666667,5.981103333333334,7.23195,217.59864545454542,188.55820909090906,,150.24965454545452,147.81059727272722,201.77247272727269,BECCS,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
2,0.10488536666666667,0.23777710000000002,,0.36532613333333336,0.984467,3.5812040000000005,368.33907272727265,331.1551363636363,,286.18371818181816,269.71205454545446,255.03711818181813,DAC,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
4,,,2.0515843333333335,0.9079143333333334,2.2917840000000003,7.6412233333333335,,,222.94889999999995,211.2801545454545,203.50431818181815,198.10415454545452,OEW,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
6,,,,0.5785926666666666,2.038534666666667,6.208253333333333,,,,227.9181818181818,211.6045636363636,212.3032909090909,TEW,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
8,0.07943650000000001,0.12967240000000002,,1.1802303333333333,1.6948103333333335,1.9969106666666667,217.59864545454542,188.55820909090906,,157.6200627272727,181.81049999999996,241.74466363636358,BECCS,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
10,,,,0.04405976666666667,0.09310546666666666,0.23542016666666668,,,,471.61262727272714,478.26384545454533,493.0169727272726,DAC,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
12,,,,0.06866713333333334,0.15281860000000003,0.4426803333333334,,,,406.77239999999995,405.4481454545454,399.43576363636356,OEW,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
14,0.12100843333333333,0.21707876666666667,,2.5398780000000003,6.258413333333333,7.539803333333333,217.59864545454542,188.55820909090906,,150.24965454545452,145.1422909090909,198.74132727272723,BECCS,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
16,0.10843140000000001,0.41164566666666674,,0.43464300000000006,1.193833666666667,4.502886666666667,353.28815454545446,313.4673545454545,,270.62871818181816,252.1357363636363,236.00012727272724,DAC,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
18,,,1.558670666666667,0.9058280000000001,3.115533666666667,8.107073333333334,,,235.90529999999998,196.68174545454542,183.1347545454545,193.99330909090907,TEW,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
20,0.11823020000000001,0.1972006666666667,,2.546815333333334,5.993056666666668,7.1828166666666675,217.59864545454542,188.55820909090906,,150.24965454545452,146.73505636363635,198.4102636363636,BECCS,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
22,0.08341336666666668,0.1833007,,0.3708833333333334,0.9720993333333334,3.4100073333333336,367.66363636363633,330.49467272727264,,285.58314545454544,269.05824545454544,254.33839090909083,DAC,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
24,,,,0.5186133333333334,1.901870666666667,6.359943333333334,,,,237.07982727272721,215.12481818181817,206.62363636363634,TEW,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
26,0.49374233333333334,0.8425706666666667,,4.762413333333334,8.106486666666667,11.99418,217.59864545454542,188.55820909090906,,175.66669090909087,194.73529090909088,259.97479090909087,BECCS,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
28,0.2792159333333334,0.5126366666666666,,1.0537486666666667,2.809418333333334,10.71158,382.02248181818175,342.70909090909083,,290.43763636363633,277.23668181818175,269.9632636363636,DAC,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
30,0.04440516666666667,0.02105359666666667,3.776116666666667,3.8840266666666667,10.05092,37.92543333333333,234.90046363636358,213.27485454545453,198.50509090909085,188.0191909090909,181.2681545454545,177.12403636363632,OEW,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
32,0.013831583333333335,,3.0209043333333336,3.8085666666666667,13.648836666666668,36.80233333333334,321.6873818181818,,207.6517636363636,175.68665454545453,163.69050545454542,178.9074545454545,TEW,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
34,0.14553000000000002,0.26105933333333337,,3.069744333333334,6.41234,7.9674466666666675,217.59864545454542,188.55820909090906,,150.24965454545452,151.87136727272724,209.58989999999997,BECCS,CO,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
36,0.13040426666666668,0.495044,,0.5253160000000001,1.401334,5.580813333333334,353.28815454545446,313.4673545454545,,270.62871818181816,252.1357363636363,236.00012727272724,DAC,CO,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
38,,,1.8708690000000003,0.9832056666666669,3.8421900000000004,14.445493333333335,,,239.53202727272722,203.85867272727268,180.1452,171.88358181818177,TEW,CO,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
40,0.0515482,0.08951983333333334,,0.7853156666666667,2.630474,4.848103333333334,217.59864545454542,188.55820909090906,,150.24965454545452,137.29708090909088,167.41671818181814,BECCS,CT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
42,0.016254663333333332,,,0.07246176666666668,0.18793573333333335,0.5946343333333334,425.44838181818176,,,332.4993545454545,330.8789727272727,336.95457272727265,DAC,CT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
44,,,0.34983446666666673,0.289234,0.8202956666666668,2.943189333333333,,,220.3253454545454,209.6098636363636,202.46454545454543,197.7198545454545,OEW,CT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
46,,,0.27986750000000005,0.22869843333333334,0.4107986666666667,0.4814076666666667,,,249.52049999999997,210.42837272727266,254.9539363636363,361.5364636363636,TEW,CT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
48,0.0161238,0.02746131666666667,,0.2604118,0.7983323333333334,3.8274500000000002,217.59864545454542,188.55820909090906,,150.24965454545452,137.29708090909088,125.46113999999999,BECCS,DE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
50,,,,,0.09235710000000001,0.38571500000000003,,,,,281.7717545454545,269.6022545454545,DAC,DE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
52,,,0.12391060000000001,0.1529627,0.40882233333333334,1.624854,,,190.16361818181815,179.40654545454544,171.61074545454542,166.93259999999998,OEW,DE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
54,,,0.09912833333333335,0.15306793333333335,0.4854813333333333,1.0089713333333332,,,194.00994545454543,166.5083727272727,162.05581636363632,195.66859090909088,TEW,DE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
56,0.27270760000000005,0.4876336666666667,,4.4325600000000005,6.938103333333333,9.757109999999999,217.59864545454542,188.55820909090906,,155.08068818181818,175.9245545454545,242.8027363636363,BECCS,FL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
58,0.22838493333333337,0.5817863333333334,,0.743886,2.2708803333333334,10.096386666666668,357.23929090909087,324.06804545454537,,281.15121818181814,255.27668181818177,240.05274545454543,DAC,FL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
60,0.04403886666666667,0.024918373333333337,2.227005,5.879866666666667,16.01405666666667,65.31396666666667,193.26297272727268,168.02394545454544,151.51202181818178,141.14107909090905,133.11935727272723,128.83266545454543,OEW,FL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
62,,,1.7816040000000002,1.3170996666666668,5.0034600000000005,20.576343333333334,,,247.63393636363634,215.74036363636358,196.1776636363636,189.3384545454545,TEW,FL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
64,0.1628069666666667,0.28452930000000004,,2.7184520000000005,6.040686666666667,7.4032566666666675,217.59864545454542,188.55820909090906,,150.24965454545452,150.60550636363632,206.65690909090904,BECCS,GA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
66,0.11363146666666668,0.2580680666666667,,0.39338933333333337,1.0517466666666666,3.938806666666667,368.33907272727265,331.1551363636363,,286.18371818181816,269.71205454545446,255.03711818181813,DAC,GA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
