,2025,2030,2035,2040,2045,2050,product,scenario_new,baseline,Units
0,0.0008011625196786554,-1249.5960619024188,-6083.247972902559,-286.44733276711304,-414.6385348484182,-770.9385161623286,BECCS,CDRIA-2035-l,500Mt-CostDecrease,Million 2025$USD/yr
1,0.0006171000461563381,-437.2444139182992,0.0,0.0,0.0,0.0,BECCS subsidy,CDRIA-2035-l,500Mt-CostDecrease,Million 2025$USD/yr
2,-0.0018878818631264949,-39.12469840496124,-1889.7796825297696,-278.42331351743996,-441.9484513171701,-745.5620563284701,DAC,CDRIA-2035-l,500Mt-CostDecrease,Million 2025$USD/yr
3,-0.0004158010709716109,2823.6392567187295,0.0,0.0,0.0,0.0,DAC subsidy,CDRIA-2035-l,500Mt-CostDecrease,Million 2025$USD/yr
4,-0.009838478472829593,-359.58348881205166,-6143.453065177164,3071.889318975678,1374.578041343717,1245.2280377371935,Deadweight Loss,,500Mt-CostDecrease,Million 2025$USD/yr
5,-0.0003466290840066222,-106.93134332845,-2748.5706698633303,-315.7947693343099,-492.5559604982209,-598.2932936567395,OEW,CDRIA-2035-l,500Mt-CostDecrease,Million 2025$USD/yr
6,0.0,0.0,5622.527583976679,0.0,0.0,0.0,OEW subsidy,CDRIA-2035-l,500Mt-CostDecrease,Million 2025$USD/yr
7,-5.0716925001026425e-05,-37.031792533564,-2788.0292977865693,-401.89663015284714,-953.4084687744926,-1420.703036415649,TEW,CDRIA-2035-l,500Mt-CostDecrease,Million 2025$USD/yr
8,0.0,0.0,8685.77652527751,0.0,0.0,0.0,TEW subsidy,CDRIA-2035-l,500Mt-CostDecrease,Million 2025$USD/yr
0,-0.011121244850100354,594.1274578189846,-5344.776579005202,1789.3272732039682,-927.9733740945849,-2290.2688648259937,,,,
