,2025,2030,2035,2040,2045,2050,product,scenario_new,baseline,Units
0,0.0,-2299.535935575104,-9856.99091437414,-3344.0546500840064,-8065.120599555994,-16242.859130875477,BECCS,CDRIA-rhodium18b,high,Million 2025$USD/yr
1,0.0,0.0,0.0,0.0,0.0,0.0,BECCS subsidy,CDRIA-rhodium18b,high,Million 2025$USD/yr
2,-13.528810186611281,-3394.7137131988698,-3343.36659489551,-2015.8373126078395,-3764.425897201929,-10937.057403178107,DAC,CDRIA-rhodium18b,high,Million 2025$USD/yr
3,6.391225462205057,-3577.074256852384,0.0,0.0,0.0,0.0,DAC subsidy,CDRIA-rhodium18b,high,Million 2025$USD/yr
4,0.0,1800.0,1800.0,0.0,0.0,0.0,Investment in R&D,,,Million 2025$USD/yr
5,-4.291522193056977,-1712.0472722156062,-4904.832655429498,-1807.6460191209644,-1694.8093061217514,-3026.214975862713,OEW,CDRIA-rhodium18b,high,Million 2025$USD/yr
6,0.0,6262.70325453153,7157.711236820669,0.0,0.0,0.0,OEW subsidy,CDRIA-rhodium18b,high,Million 2025$USD/yr
7,-1.653581680400002,-483.42720814442924,-5651.563523590646,-2400.3500396223044,-4359.147804914752,-12327.431847452535,TEW,CDRIA-rhodium18b,high,Million 2025$USD/yr
8,0.0,2382.842132393706,15045.491751839458,0.0,0.0,0.0,TEW subsidy,CDRIA-rhodium18b,high,Million 2025$USD/yr
0,-13.082688597863203,-1021.2529990611579,246.4493003703319,-9567.888021435116,-17883.503607794424,-42533.56335736883,,,,
