,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors
123,,,,2.8950533333333337,4.98388,6.120876666666667,,,,132.23646545454542,146.8807909090909,201.79243636363634,BECCS,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
125,0.2286867,,,0.3470822666666667,0.9088053333333334,3.3768130000000003,371.7378818181818,,,268.17984545454544,259.0182,246.04017272727268,DAC,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
127,0.020300463333333334,1.1210503333333333,1.028456,0.9909460000000001,2.576775666666667,8.585573333333334,270.7684636363636,225.21809999999996,204.3710727272727,189.0406636363636,183.00499090909088,180.26830909090904,OEW,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
129,,,0.8227633333333334,0.6558786666666667,2.3301080000000005,6.842440000000001,,,236.9001545454545,201.36987272727268,189.2469545454545,194.4341727272727,TEW,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
131,,,,0.8933613333333335,1.4002010000000003,1.6941723333333334,,171.8153727272727,,154.85010818181817,179.71764545454542,237.62217272727267,BECCS,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
133,,,,,0.08091160000000001,0.20298410000000003,,509.8479818181818,,,464.8549363636362,482.0070272727272,DAC,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
135,,,,0.07465333333333334,0.1831885,0.52547,,407.14838181818175,,354.19150909090905,354.0151636363636,351.04058181818175,OEW,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
137,,,,2.9321123333333334,5.22522,6.383116666666667,,171.8153727272727,,132.23646545454542,144.7510036363636,198.36201818181814,BECCS,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
139,0.24930033333333335,,,0.4176516666666667,1.1316396666666666,4.2746,359.5035,305.99097272727266,,253.2054545454545,241.03928181818176,226.72868181818177,DAC,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
141,,,1.3892486666666668,0.9657010000000001,3.3007150000000003,8.267380000000001,,259.93652727272723,214.31129999999996,177.75788181818177,168.70270909090905,181.9768636363636,TEW,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
143,,,,2.932526666666667,4.991506666666667,6.075006666666667,,171.8153727272727,,132.23646545454542,145.6759854545454,198.1490727272727,BECCS,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
145,0.19433040000000001,,,0.35386523333333336,0.89474,3.2004426666666665,371.05745454545445,321.30308181818174,,267.5992363636363,258.36439090909084,245.3414454545454,DAC,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
147,,,1.3036466666666668,0.5928266666666667,2.184603666666667,7.120116666666667,,298.9687636363636,247.9849636363636,209.16400909090908,191.87050909090905,187.93600909090907,TEW,AR,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
149,,,,3.600402666666667,6.68096,9.98019,,,,176.26892727272724,197.71153636363633,262.93939090909083,BECCS,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
151,0.547481,,,1.0027123333333334,2.723468,10.230586666666667,389.1112363636363,,,269.92000909090905,266.6476363636363,260.7766636363636,DAC,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
153,0.08584656666666668,2.039048,3.3667700000000003,3.8796633333333337,11.168263333333334,40.55663333333334,244.29002727272723,201.9970636363636,184.2094636363636,171.9351545454545,166.58989090909088,164.77136999999996,OEW,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
155,0.025958350000000005,1.6312376666666666,2.693416,3.8585433333333334,14.518753333333335,37.2119,337.8712363636363,238.8615818181818,189.1953818181818,159.90057545454542,152.6401336363636,169.56779999999998,TEW,CA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
157,,,,3.5375156666666667,5.3585400000000005,6.761846666666667,,171.8153727272727,,132.23646545454542,151.76788909090908,210.5514818181818,BECCS,CO,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
159,0.30008440000000003,,,0.5038843333333334,1.3375926666666669,5.415263333333334,359.5035,305.99097272727266,,253.2054545454545,241.03928181818176,226.72868181818177,DAC,CO,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
161,,,1.667512,1.0847283333333335,4.344193333333333,15.846453333333335,,269.5839545454545,217.32913636363634,182.04340909090905,162.7641927272727,158.5144336363636,TEW,CO,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
163,,,,0.9054796666666668,3.4601930000000003,4.016466666666667,,,,132.23646545454542,120.83689636363634,167.20543636363632,BECCS,CT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
165,0.027818780000000005,,,0.07050780000000001,0.18748876666666667,0.5400523333333334,432.5121818181817,,,309.6692727272727,319.3316727272727,326.375509090909,DAC,CT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
167,,0.23837220000000003,0.31191673333333336,0.3111265666666667,0.9942606666666668,3.1813613333333333,,222.39823636363633,202.9070727272727,188.7977727272727,183.11811818181815,180.7141636363636,OEW,CT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
169,,0.10165356666666668,0.24953353333333336,0.23106270000000004,0.41329933333333335,0.47583800000000004,,252.0525545454545,226.35769090909085,193.5374727272727,245.36307272727268,340.4415545454545,TEW,CT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
171,,,,0.2975969333333333,1.022307,4.9351866666666675,,,,132.23646545454542,120.83689636363634,110.66342727272725,BECCS,DE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
173,0.0171061,,,,0.09031843333333334,0.3766803333333334,388.14466363636353,,,,271.31080909090906,260.8848,DAC,DE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
175,,0.0669097,0.11047850000000001,0.15675916666666667,0.463507,1.8004213333333334,,194.00828181818179,175.76318181818178,163.7382518181818,157.29232636363633,154.87489636363634,OEW,DE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
177,,0.05352746666666667,0.08838280000000001,0.15472123333333332,0.5074043333333333,1.0102876666666667,,223.11692727272725,176.96432727272722,152.66558727272727,152.61900545454543,187.7696454545454,TEW,DE,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
179,,,,3.471823666666667,5.818413333333334,8.231190000000002,,,,153.61768636363635,177.54659999999996,244.30499999999998,BECCS,FL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
181,0.5233323333333334,,,0.6857070000000001,2.2195543333333334,9.691073333333334,359.7813272727272,,,263.7828545454545,244.80741818181815,231.3635727272727,DAC,FL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
