,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors
0,0.153516,0.5013873333333334,1.0250423333333334,2.485772666666667,5.999510000000001,7.242546666666668,212.8988727272727,187.4069727272727,168.92064545454542,152.58356999999998,148.0656327272727,201.3598909090909,BECCS,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
2,0.10306046666666668,0.15990406666666668,0.1625932,0.3684193333333334,0.9855816666666668,3.575403333333334,364.0335818181818,329.889109090909,312.05159999999995,288.3231545454545,270.3508909090909,254.77759090909086,DAC,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
4,,0.020066200000000003,0.3208168333333334,0.9153466666666668,2.293159,7.639023333333333,,237.62383636363631,226.04492727272722,212.87890909090905,204.02503636363633,197.81468181818178,OEW,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
5,,,0.1656977666666667,0.584199,2.0415523333333336,6.200003333333333,,,261.5402727272727,229.52858181818178,212.0836909090909,212.0670545454545,TEW,AL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
6,0.081862,0.23708410000000002,0.5120353333333334,1.1650870000000002,1.6833226666666667,1.9856320000000003,212.8988727272727,187.4069727272727,168.92064545454542,159.83452909090906,182.55913636363633,241.77294545454544,BECCS,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
8,,,,0.044533133333333336,0.09326826666666667,0.23461276666666667,,,,474.4923818181818,478.86774545454534,492.7075363636363,DAC,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
10,,,,0.07007586666666667,0.15320653333333334,0.4410266666666667,,,,407.94359999999995,405.852409090909,399.22614545454536,OEW,AK,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6
11,0.12308046666666667,0.4014816666666667,0.9867623333333334,2.503578,6.280486666666667,7.553443333333333,212.8988727272727,187.4069727272727,168.92064545454542,152.58356999999998,145.37470090909088,198.31044545454543,BECCS,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43
13,0.1066714,0.1863026,0.18197923333333335,0.43895133333333336,1.1951206666666667,4.49669,349.01427272727267,312.2761909090909,296.7644454545454,272.6184272727272,252.74462727272723,235.73727272727268,DAC,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#74A751
15,,,0.22919636666666668,0.9096193333333333,3.1152880000000005,8.1015,,,231.77449090909087,198.50509090909085,183.64881818181814,193.7337818181818,TEW,AZ,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452
