,2025_supply,2030_supply,2035_supply,2040_supply,2045_supply,2050_supply,2025_price,2030_price,2035_price,2040_price,2045_price,2050_price,product_price,GCAM,Units_supply,Units_price,colors,2025_subsidized,2030_subsidized,2035_subsidized,2040_subsidized,2045_subsidized,2050_subsidized
172,,,0.07806553333333334,0.26877693333333336,0.8188803333333334,2.265160333333333,,,200.23360909090906,166.06534636363634,140.38894909090905,121.71429818181815,TEW,ID,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452,,,200.23360909090906,166.06534636363634,140.38894909090905,121.71429818181815
242,,,0.09521270000000001,0.3238532,0.9885443333333334,2.5354743333333336,,,203.04515454545452,168.97221818181816,142.66729909090907,126.55015636363633,TEW,NV,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452,,,203.04515454545452,168.97221818181816,142.66729909090907,126.55015636363633
329,,0.021744140000000002,0.16614253333333334,0.540826,1.6409103333333335,4.161043333333334,,251.5817454545454,200.02399090909088,166.36862727272722,142.5738027272727,127.50890999999997,TEW,WA,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452,,251.5817454545454,200.02399090909088,166.36862727272722,142.5738027272727,127.50890999999997
261,0.012576336666666667,0.04134166666666667,0.335742,1.057298,3.195269,8.305183333333334,327.67148181818175,254.28848181818174,203.78048181818178,170.71238181818177,145.80841090909087,128.86843363636362,TEW,NY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452,327.67148181818175,254.28848181818174,203.78048181818178,170.71238181818177,145.80841090909087,128.86843363636362
162,0.09018276666666668,0.22772493333333335,1.2416946666666668,2.8273483333333336,5.06517,10.357453333333334,203.51929090909087,172.84183636363633,157.3350818181818,146.37171818181815,136.6921827272727,129.20681727272725,OEW,FL,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#698FC6,203.51929090909087,172.84183636363633,157.3350818181818,146.37171818181815,136.6921827272727,129.20681727272725
337,,0.026848323333333333,0.25593150000000003,0.9046986666666668,2.8670766666666667,7.008283333333334,,270.6353727272727,210.5797636363636,172.6571727272727,143.75348727272726,129.33641454545452,TEW,WI,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#DD9452,,270.6353727272727,210.5797636363636,172.6571727272727,143.75348727272726,129.33641454545452
149,,0.045995400000000006,0.19422956666666666,0.3530937666666667,0.6992846666666667,1.7357633333333333,,196.73498181818178,173.34591818181815,158.40263727272725,144.7473436363636,132.2690727272727,BECCS,CT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43,,196.73498181818178,173.34591818181815,158.40263727272725,144.7473436363636,132.2690727272727
338,,0.12890533333333334,0.5185876666666667,0.9901980000000001,1.874763,4.338766666666667,,196.73498181818178,173.34591818181815,158.40263727272725,144.7473436363636,132.2690727272727,BECCS,WY,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43,,196.73498181818178,173.34591818181815,158.40263727272725,144.7473436363636,132.2690727272727
316,,,0.0510532,0.09723743333333333,0.18470796666666667,0.43770100000000006,,,173.34591818181815,158.40263727272725,144.7473436363636,132.2690727272727,BECCS,VT,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43,,,173.34591818181815,158.40263727272725,144.7473436363636,132.2690727272727
267,,0.13380290000000003,0.571428,1.0871483333333334,2.062459666666667,4.793433333333334,,196.73498181818178,173.34591818181815,158.40263727272725,144.7473436363636,132.2690727272727,BECCS,ND,Mt CO$_{2}$-eq,2025USD/t CO$_{2}$-eq,#BFBE43,,196.73498181818178,173.34591818181815,158.40263727272725,144.7473436363636,132.2690727272727
