,2025,2030,2035,2040,2045,2050,product,scenario_new,baseline,Units
0,0.0,-978.3731740725121,-5489.005576117051,-392.6749231688391,-761.9873267878938,-1434.7213941049777,BECCS,s1-noBECCSitc-l,low,Million 2025$USD/yr
1,0.0,0.0,0.0,0.0,0.0,0.0,BECCS subsidy,s1-noBECCSitc-l,low,Million 2025$USD/yr
2,0.0,-4338.98540692043,-14620.696790686343,-2282.5114823856857,-4246.85424768622,-4819.830757201416,CO$_{2}$ tax,,low,Million 2025$USD/yr
3,-13.098644406293715,-2002.6051720002092,-1343.7070623411962,-89.35947084348982,-184.97826380437073,-455.77120916382046,DAC,s1-noBECCSitc-l,low,Million 2025$USD/yr
4,6.292627808241832,-2470.4754958861763,478.81551797283817,0.0,0.0,0.0,DAC subsidy,s1-noBECCSitc-l,low,Million 2025$USD/yr
5,-4.206850689156028,1015.566834449764,542.240484028604,160.20807786236946,237.16442619360987,348.03708814537094,OEW,s1-noBECCSitc-l,low,Million 2025$USD/yr
6,0.0,2161.1821896274605,4586.202728707445,0.0,0.0,0.0,OEW subsidy,s1-noBECCSitc-l,low,Million 2025$USD/yr
7,-1.6238436508590013,226.2831224361512,-835.8899771053848,78.03993544705008,165.13975285385823,150.24301375989307,TEW,s1-noBECCSitc-l,low,Million 2025$USD/yr
8,0.0,377.98763660530176,1480.7985101555337,0.0,0.0,0.0,TEW subsidy,s1-noBECCSitc-l,low,Million 2025$USD/yr
0,-12.636710938066912,-6009.419465760651,-15201.242165385554,-2526.297863088595,-4791.515659231017,-6212.0432585649505,,,,
