,2025,2030,2035,2040,2045,2050,product,scenario_new,baseline,Units
0,0.0,-494.10719875304517,,-5004.585433980821,-12722.976339788882,-25089.27833665519,BECCS,s2,high,Million 2025$USD/yr
1,0.0,15386.951248036115,,75259.87765412871,8753.193315584911,-3662.2964002350345,CO$_{2}$ tax,,high,Million 2025$USD/yr
2,-34.7242363225796,-200.73092464691126,,-2859.077987623651,-4985.740043946793,-18773.391539207558,DAC,s2,high,Million 2025$USD/yr
3,-2283.9053247712895,-3500.0432276396377,,0.0,0.0,0.0,DAC subsidy,s2,high,Million 2025$USD/yr
4,300.0,300.0,,0.0,0.0,0.0,Investment in Hubs,,,Million 2025$USD/yr
5,2000.0,2000.0,,0.0,0.0,0.0,Investment in Pilot & Demonstrations,,,Million 2025$USD/yr
6,600.0,600.0,,0.0,0.0,0.0,Investment in R&D,,,Million 2025$USD/yr
7,8.000134247299002,-121.8906815858499,,-2849.8019342987,-1421.1928665997511,-7685.941298533682,OEW,s2,high,Million 2025$USD/yr
8,0.0,0.0,,0.0,-31.11634144653999,-241.96968710443997,TEW,s2,high,Million 2025$USD/yr
0,589.3705731534296,13970.179215410672,0.0,64546.41229822553,-10407.832276197056,-55452.877261735906,,,,
