,2025,2030,2035,2040,2045,2050,product,scenario_new,baseline,Units
0,256.11602878531,-0.07808104005005134,-1327.86291034163,-657.3421225224156,-1181.7560275580981,-4202.652882442504,BECCS,testsubsidy,ndc,Million 2025$USD/yr
1,0.6535053325579104,0.3706261499701975,-2.321906227064128,1559.5505361069213,5769.986291878438,20717.49152381737,DAC,testsubsidy,ndc,Million 2025$USD/yr
2,0.07266311408586272,0.1476074668307185,0.0,821.5509149911398,2762.471475278964,9444.764390761273,DAC subsidy,testsubsidy,ndc,Million 2025$USD/yr
3,100.0,0.0,100.0,0.0,100.0,0.0,Investment in DAC Investment,,,Million 2025$USD
4,0.0,50.0,100.0,200.0,400.0,500.0,Investment in OEW Investment,,,Million 2025$USD
5,200.0,150.0,100.0,50.0,0.0,0.0,Investment in TEW Investment,,,Million 2025$USD
6,0.47616620888042116,-0.0009858926318730976,-4.8288307194734905,-398.15923457236113,-1355.840793419582,-6679.292076058802,OEW,testsubsidy,ndc,Million 2025$USD/yr
7,0.016318359018812817,0.013091672950676286,-0.1250757376367273,69.49385290527317,329.1812176154398,580.0959809219889,TEW,testsubsidy,ndc,Million 2025$USD/yr
8,0.0020871821604453267,0.005169146635283234,0.0,33.33282068446407,160.72961909836457,344.8504157055639,TEW subsidy,testsubsidy,ndc,Million 2025$USD/yr
0,557.3367689820135,200.45742750370496,-1035.1387230258042,1678.4267675930216,6984.7717828935265,20705.25735270489,,,,
