1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0213837,0.0194331,0.0286105,0.0283,0.0282158,0.0279754,0.0276351,0.0272034,0.0268344,100Mt-CostDecrease,100Mt-CostDecrease,Africa_Eastern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0193061,0.0185248,0.0285934,0.0282134,0.027761,0.0273918,0.0271474,0.0269699,0.0268921,100Mt-CostDecrease,100Mt-CostDecrease,Africa_Northern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0180969,0.0177835,0.0296733,0.0295743,0.0292341,0.028906,0.0287546,0.0285884,0.0285646,100Mt-CostDecrease,100Mt-CostDecrease,Africa_Southern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0190805,0.0186745,0.0277412,0.0274742,0.0271846,0.0270064,0.0269123,0.0267979,0.0266617,100Mt-CostDecrease,100Mt-CostDecrease,Africa_Western,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0165085,0.01604,0.0200889,0.0198226,0.019621,0.0195684,0.0195645,0.0194805,0.0193767,100Mt-CostDecrease,100Mt-CostDecrease,Australia_NZ,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0172359,0.0172693,0.024209,0.0237225,0.023318,0.0231054,0.0230659,0.0234149,0.0239597,100Mt-CostDecrease,100Mt-CostDecrease,Brazil,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.020464,0.018817,0.0221271,0.021942,0.0215572,0.0212353,0.0209577,0.0207511,0.0206195,100Mt-CostDecrease,100Mt-CostDecrease,Canada,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0232441,0.0207505,0.0294036,0.028785,0.0284417,0.028185,0.027984,0.0277511,0.027551,100Mt-CostDecrease,100Mt-CostDecrease,Central America and Caribbean,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0177319,0.0178561,0.026666,0.0263951,0.0257627,0.0255289,0.0255771,0.0256029,0.0257907,100Mt-CostDecrease,100Mt-CostDecrease,Central Asia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0167166,0.0150053,0.019443,0.019257,0.0191762,0.0191457,0.01909,0.0190154,0.0189219,100Mt-CostDecrease,100Mt-CostDecrease,China,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
