1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0012925,0.00210251,0.00815307,0.01596251,0.0258894,0.04090594,0.062485,0.0835508,0.104439,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Eastern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
6.61901E-4,0.00468252,0.0126142,0.020676439999999997,0.028545139999999997,0.038813690000000005,0.0537488,0.0736823,0.1001514,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Eastern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00613636,0.01129818,0.01671808,0.0244932,0.0369704,0.0554079,0.0805083,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Eastern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.00117369,0.00361098,0.0350802,0.054386,0.0707607,0.0856414,0.097924,0.102925,0.107315,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Eastern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Eastern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00217662,0.0183528,0.0468382,0.097619,0.176308,0.284612,0.428778,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Eastern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0092828,0.0284467,0.1102937,0.14180199999999998,0.1457429,0.15856789999999998,0.1839579,0.19601069999999998,0.2201539,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Eastern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0287641,0.0662247,0.14982,0.292629,0.470447,0.678166,0.909286,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Eastern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,5.21026E-5,0.0302895458,0.090993671,0.15696688100000006,0.25683949100000003,0.43151787100000005,0.7102454340000001,1.1130302340000002,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Eastern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,1.03005E-5,0.06546690200000001,0.17214978199999997,0.29897690200000004,0.479628402,0.7604031019999999,1.15645052,1.66349727,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Eastern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00196384,0.003535063,0.00659097,0.00937224,0.01177044,0.012904559999999999,0.013336859999999999,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Northern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.00796429,0.0458413,0.0870627,0.10071792,0.11703139,0.1296965,0.1398485,0.1499195,0.1587959,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Northern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.13579629999999998,0.482397,1.116578,1.273587,1.5086870000000001,1.7175150000000001,1.912128,2.140866,2.345296,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Northern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00886283,0.017808,0.0306268,0.0422356,0.0522181,0.0605267,0.0620482,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Northern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0408229,0.0516283,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Northern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00108671,0.00599113,0.0176586,0.032921,0.0494679,0.0689726,0.0889609,1500Mt-CostDecrease,1500Mt-CostDecrease,Africa_Northern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
