1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.998412,0.130797,0.117091,0.106997,0.100398,0.113637,0.149609,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,1975$/GJ
0.0,0.0,0.216445,0.09571,0.0757618,0.123742,0.11486,0.110603,0.120231,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,1975$/kg
0.0,0.0,0.347868,0.0928461,0.0717502,0.122169,0.116245,0.133907,0.179408,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,1975$/kg
0.216323,0.221615,0.347868,0.348593,0.321961,0.307307,0.292593,0.293209,0.30073,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,1975$/kg
0.0,0.0,0.206773,0.261609,0.256613,0.255068,0.248497,0.247449,0.243418,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,1975$/kg
0.0,-1.125,-4.2707E-14,-1.01287E-20,1.10273E-11,1.79027E-8,2.50185E-8,3.21349E-8,3.77052E-8,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,1975$/GJ
8.71699,8.46752,4.81938,6.33386,6.47683,7.41353,7.85784,8.40698,8.72354,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,1975$/GJ
0.0033073,0.0053824,0.00942969,0.0113191,0.00824279,0.0094966,0.0125805,0.0134622,0.0166879,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
0.0,0.0,10.5979,8.96866,7.70224,6.35888,6.41103,5.36878,5.18982,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.00326806,0.00987745,0.0261353,0.0447521,0.0482826,0.0635067,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,carbon-storage,missing,missing,missing,1990$/tC
0.0,0.0,14968.0,13.1209,13.3371,13.5871,13.4031,13.6594,13.5598,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,coal to liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53021E-9,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,coal to liquids-fixed-output,missing,missing,missing,EJ
11.2971,12.0119,12.7815,13.1745,14.7796,16.856,16.8638,18.7829,19.114,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,comm cooking,missing,missing,missing,1975$/GJ
6.9515,6.97418,6.05138,6.4792,6.40561,6.7004,6.93527,7.16266,7.22658,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,comm cooling,missing,missing,missing,1975$/GJ
5.63737,6.49692,8.34242,8.59979,9.40036,10.2977,10.3024,11.2055,11.4422,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,comm heating,missing,missing,missing,1975$/GJ
8.28091,7.27526,8.37076,8.56309,9.60402,10.8235,10.5257,11.7305,11.8035,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,comm hot water,missing,missing,missing,1975$/GJ
1.64074,1.59649,1.02687,1.06861,0.921401,0.959014,0.988284,1.01901,1.02755,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,comm lighting,missing,missing,missing,1975$/megalumen-hours
15.1117,14.5061,11.4429,13.1423,13.0687,14.4102,15.476,16.6136,16.9328,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,comm non-building,missing,missing,missing,1975$/GJ
59.2987,58.6931,50.7727,51.9447,51.8939,52.1801,52.2861,52.9681,53.0856,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,comm office,missing,missing,missing,1975$/GJ
34.5678,41.3008,31.8022,32.1489,33.8663,35.6941,35.9562,37.5195,37.7582,1500Mt-CostDecrease,1500Mt-CostDecrease,AK,missing,missing,missing,missing,missing,missing,comm other,missing,missing,missing,1975$/GJ
