1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.00191146,0.00443357,0.00856704,0.0154128,0.0244652,0.0356582,1500Mt-noCostDecrease,1500Mt-noCostDecrease,Africa_Eastern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0012925,0.00210251,0.00815307,0.0140461,0.0214357,0.0323051,0.0470188,0.0590208,0.0686268,1500Mt-noCostDecrease,1500Mt-noCostDecrease,Africa_Eastern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,5.49295E-5,4.94459E-5,6.17882E-5,7.33999E-5,7.81626E-5,7.27939E-5,6.63356E-5,1500Mt-noCostDecrease,1500Mt-noCostDecrease,Africa_Eastern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.00204318,0.00421955,0.00723283,0.0117937,0.0180888,0.0266512,1500Mt-noCostDecrease,1500Mt-noCostDecrease,Africa_Eastern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
6.61901E-4,0.00468252,0.0126143,0.0186379,0.0243395,0.0315955,0.0419699,0.0556038,0.0735315,1500Mt-noCostDecrease,1500Mt-noCostDecrease,Africa_Eastern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,9.31487E-6,1.45345E-5,2.61047E-5,4.31998E-5,6.44353E-5,8.39233E-5,1.0525E-4,1500Mt-noCostDecrease,1500Mt-noCostDecrease,Africa_Eastern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00189441,0.00452252,0.00816294,0.0143549,0.0253524,0.0425332,0.0669933,1500Mt-noCostDecrease,1500Mt-noCostDecrease,Africa_Eastern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00424196,0.00677851,0.0085639,0.0101479,0.0116279,0.0128791,0.0135442,1500Mt-noCostDecrease,1500Mt-noCostDecrease,Africa_Eastern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.00117369,0.00361098,0.0350802,0.0543939,0.0707804,0.0856551,0.0979327,0.102928,0.107327,1500Mt-noCostDecrease,1500Mt-noCostDecrease,Africa_Eastern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,1500Mt-noCostDecrease,1500Mt-noCostDecrease,Africa_Eastern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
