1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,LandLeaf,Units
0.0,0.0,0.0,0.0,0.0,8.64736E-6,6.43179E-5,2.35844E-4,0.00998296,0.0231504,0.0207327,0.0145949,0.00924785,0.00803152,0.00763829,0.012598,0.0165553,0.016918,0.0145186,0.0113582,0.00966665,SSP1,2075 baseline,USA,refining,biomass liquids,BTL with hydrogen,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.035868,2.71266E-4,4.22617E-4,0.0015783,0.0694363,0.172264,0.165299,0.118905,0.0725388,0.0621594,0.0602843,0.102524,0.137122,0.138467,0.11623,0.0926968,0.0836263,SSP1,2075 baseline,USA,refining,biomass liquids,FT biofuels,refining,missing,missing,missing,missing,EJ
0.0,0.0123896,0.0358292,0.251891,0.0557123,3.9284E-4,7.67344E-4,0.00434496,0.161938,0.236762,0.191133,0.109949,0.0595032,0.0472628,0.0488961,0.0934706,0.133555,0.132285,0.102935,0.0746506,0.0616416,SSP1,2075 baseline,USA,refining,biomass liquids,biodiesel,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.00102093,0.00153227,0.0055384,0.23651,0.57217,0.536493,0.378935,0.22805,0.193336,0.185996,0.314366,0.418461,0.421074,0.352608,0.280826,0.25321,SSP1,2075 baseline,USA,refining,biomass liquids,cellulosic ethanol,refining,missing,missing,missing,missing,EJ
0.0,0.325436,0.941605,1.31052,0.341526,0.0017747,0.0025804,0.00944174,0.36794,0.731708,0.635733,0.431402,0.253741,0.208945,0.19834,0.334167,0.444462,0.443173,0.363204,0.275925,0.23374,SSP1,2075 baseline,USA,refining,biomass liquids,corn ethanol,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,6.82303E-4,0.00192006,0.00708597,0.116212,0.276729,0.34057,0.350038,0.287832,0.267339,0.265395,0.366977,0.400762,0.401924,0.388041,0.329062,0.282763,SSP1,2075 baseline,USA,refining,biomass liquids,manure fuel,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,7.52771E-5,1.21771E-4,7.2171E-4,0.0579751,0.161982,0.168132,0.111533,0.0574787,0.044647,0.0395833,0.0695873,0.0887651,0.0797714,0.0566338,0.0384451,0.0304108,SSP1,2075 baseline,USA,refining,coal to liquids,coal to liquids,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,1.06187E-4,2.08056E-4,0.00144945,0.129821,0.390869,0.43089,0.326747,0.213485,0.203034,0.211707,0.411626,0.582256,0.610412,0.514421,0.386778,0.313335,SSP1,2075 baseline,USA,refining,gas to liquids,gas to liquids,refining,missing,missing,missing,missing,EJ
31.7658,39.1977,34.856,33.9521,3.24423,0.00918506,0.006634,0.0284367,1.95898,5.68553,6.93242,5.20794,2.75909,2.18997,2.0956,3.85289,5.30205,5.2701,4.20848,3.22189,2.84798,SSP1,2075 baseline,USA,refining,oil refining,oil refining,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,9.79532E-6,5.16134E-5,1.36614E-4,0.00693668,0.0197998,0.0175443,0.0123768,0.00753391,0.00626901,0.00549913,0.00876547,0.0112474,0.0112992,0.0093983,0.00715046,0.00597802,SSP2,2075 baseline,USA,refining,biomass liquids,BTL with hydrogen,refining,missing,missing,missing,missing,EJ
