1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.0474358,0.162356,0.287764,0.314419,0.477649,0.533916,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,EJ_or_Share
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,Mt
0.0,0.0,0.0,0.0219124,0.0671212,0.169896,0.363012,0.595902,0.914517,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,Mt
0.0,0.0,0.0,0.00175424,0.00249157,0.00746686,0.0179147,0.0415935,0.131331,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,Mt
0.0,0.0,0.0,3.59507E-4,7.83512E-4,0.0102342,0.0308412,0.0766593,0.24927,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,Mt
0.0,0.0,0.0,0.0,6.86512E-7,0.00124917,0.00189207,0.00255724,0.00299472,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,EJ
0.0108474,0.017128,0.00769012,0.00768746,0.0101919,0.0128423,0.014605,0.0169963,0.0186948,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.00327175,0.00985985,0.0254352,0.0421805,0.0454927,0.062673,0.0656023,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.0495946,0.168775,0.317667,0.371445,0.604011,0.818187,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,carbon-storage,missing,missing,missing,MtC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13847E-8,1.59592E-6,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,coal to liquids,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,coal to liquids-fixed-output,missing,missing,missing,EJ
4.433E-4,5.935E-4,4.15642E-4,4.21615E-4,4.35313E-4,4.4952E-4,4.79987E-4,4.93929E-4,5.30324E-4,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm cooking,missing,missing,missing,EJ
1.986E-4,5.012E-4,4.35999E-4,4.29591E-4,4.46389E-4,4.65294E-4,4.84238E-4,5.06281E-4,5.29355E-4,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm cooling,missing,missing,missing,EJ
0.0281321,0.0191924,0.0164555,0.0163474,0.0166526,0.0172226,0.0181085,0.0187705,0.0198682,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm heating,missing,missing,missing,EJ
0.0022874,0.0021134,0.00199081,0.00202154,0.00210144,0.00219022,0.00232702,0.0024059,0.00254061,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm hot water,missing,missing,missing,EJ
0.0452007,0.0396061,0.0316189,0.0320501,0.0340218,0.0357623,0.0374728,0.0389889,0.0403992,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm lighting,missing,missing,missing,petalumen-hours
8.271E-4,0.0010368,0.00184044,0.00186421,0.00195575,0.00205268,0.00214788,0.00223197,0.00231102,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm non-building,missing,missing,missing,EJ
6.188E-4,0.0010143,0.00115171,0.0011701,0.00124022,0.00131612,0.00139099,0.00145678,0.00151965,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm office,missing,missing,missing,EJ
0.0014005,0.002341,0.00933321,0.00947705,0.00993467,0.0104384,0.0109485,0.0113881,0.0118063,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm other,missing,missing,missing,EJ
7.657E-4,0.0023177,0.00288358,0.0029281,0.00307602,0.00323597,0.00339137,0.0035286,0.00365296,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm refrigeration,missing,missing,missing,EJ
4.249E-4,9.06E-4,0.00100453,0.00101905,0.00107021,0.00112483,0.00117834,0.00122531,0.00126795,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm ventilation,missing,missing,missing,million km3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,comm-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
0.00781089,0.0012203,0.00574623,0.00558081,0.00558839,0.0058894,0.00626185,0.00689681,0.00692924,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,delivered biomass,missing,missing,missing,EJ
0.0,0.0,1.12251E-6,6.75142E-6,1.76548E-5,4.64306E-5,9.57008E-5,1.83002E-4,2.25867E-4,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,distributed_solar,missing,missing,missing,EJ
0.0136552,0.0179787,0.0186462,0.0186048,0.020477,0.02272,0.0245327,0.0267801,0.0277723,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,elect_td_bld-fixed-output,missing,missing,missing,EJ
0.00246441,0.00415012,0.00241392,0.00194016,0.00230487,0.00237419,0.00223186,0.00236622,0.00288833,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,missing,EJ
0.0,0.0,1.35907E-4,6.99933E-4,0.00201363,0.0034885,0.00462479,0.00570223,0.0068164,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98475E-4,0.00348322,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,gas to liquids,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,gas to liquids-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,4.52875E-4,0.00191852,0.00316884,0.0063255,0.00821603,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,geothermal,missing,missing,missing,EJ
0.1664,0.2531,0.190718,0.190845,0.192639,0.194658,0.203103,0.205567,0.218562,2400Mt-noCostDecrease,2400Mt-noCostDecrease,AK,missing,missing,missing,missing,missing,missing,industrial energy use,missing,missing,missing,EJ
