1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
2.50413,6.07188,11.1546,14.7075,20.5074,28.2261,38.7638,53.0266,72.0925,45Q-2040-noCR,1500Mt-noCostDecrease,Africa_Eastern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
33.1879,72.1022,100.443,107.328,113.822,119.51,124.421,128.638,131.935,45Q-2040-noCR,1500Mt-noCostDecrease,Africa_Northern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
2.39525,4.9915,6.34425,7.8962,10.2429,13.0798,16.8881,22.0582,28.907,45Q-2040-noCR,1500Mt-noCostDecrease,Africa_Southern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
8.35825,12.8808,18.1507,22.6807,32.2773,44.8469,61.5244,83.5151,112.624,45Q-2040-noCR,1500Mt-noCostDecrease,Africa_Western,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
9.45778,11.5822,11.9563,13.0498,14.0856,15.0452,15.9861,16.9574,17.9083,45Q-2040-noCR,1500Mt-noCostDecrease,Australia_NZ,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
34.0103,51.0203,63.1337,68.4149,73.9022,78.3399,81.9738,84.5731,86.4891,45Q-2040-noCR,1500Mt-noCostDecrease,Brazil,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
12.8504,15.5723,12.6013,13.4914,14.4982,15.5028,16.5015,17.466,18.3774,45Q-2040-noCR,1500Mt-noCostDecrease,Canada,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
12.4933,17.7249,20.2637,23.3772,26.5569,29.5159,32.3411,34.9895,37.3312,45Q-2040-noCR,1500Mt-noCostDecrease,Central America and Caribbean,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
25.6017,15.6084,20.7378,23.9728,27.198,29.6839,31.5496,32.9632,33.8644,45Q-2040-noCR,1500Mt-noCostDecrease,Central Asia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
255.449,1290.29,1720.78,1622.52,1536.74,1461.93,1389.43,1317.21,1246.74,45Q-2040-noCR,1500Mt-noCostDecrease,China,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
54.1222,45.3239,45.711,46.8476,47.5721,47.9577,47.9974,47.8292,47.5851,45Q-2040-noCR,1500Mt-noCostDecrease,EU-12,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
238.425,254.589,209.905,215.437,220.508,225.213,229.274,233.179,236.258,45Q-2040-noCR,1500Mt-noCostDecrease,EU-15,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
36.1586,18.9386,16.9302,17.8602,18.7983,19.5086,20.0522,20.4828,20.7443,45Q-2040-noCR,1500Mt-noCostDecrease,Europe_Eastern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
35.7183,57.398,68.3799,70.7207,72.9291,74.7877,76.118,76.9933,77.5642,45Q-2040-noCR,1500Mt-noCostDecrease,Europe_Non_EU,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
7.83395,6.8547,6.98509,7.3856,7.75894,8.10646,8.42493,8.71795,9.01359,45Q-2040-noCR,1500Mt-noCostDecrease,European Free Trade Association,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
54.7149,161.912,284.538,353.916,408.186,456.131,500.419,540.974,576.628,45Q-2040-noCR,1500Mt-noCostDecrease,India,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
14.1746,34.8361,51.0371,63.8344,74.814,83.9929,91.6692,97.667,102.246,45Q-2040-noCR,1500Mt-noCostDecrease,Indonesia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
106.2,87.6214,61.6237,61.1068,60.2616,59.2756,58.2845,57.3029,56.2061,45Q-2040-noCR,1500Mt-noCostDecrease,Japan,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
26.7952,42.1587,39.3313,43.1375,47.1937,50.9266,54.2241,57.2071,59.8722,45Q-2040-noCR,1500Mt-noCostDecrease,Mexico,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
