1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,1.0,1.22952,0.127432,0.116446,0.106408,0.0972347,0.105665,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,1975$/GJ
0.0,0.0,0.216445,0.117173,0.115291,0.102496,0.0884885,0.109718,0.102293,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,1975$/kg
0.0,0.0,0.347868,0.252497,0.148027,0.137492,0.127459,0.112933,0.124377,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,1975$/kg
0.216323,0.221615,0.347868,0.354074,0.334452,0.320328,0.313147,0.288466,0.28357,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,1975$/kg
0.0,0.0,0.206773,0.266281,0.258387,0.243305,0.228405,0.226729,0.223477,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,1975$/kg
-8.75812E-52,-1.125,-4.46816E-14,9.22975E-10,3.51345E-9,1.81263E-8,2.54439E-8,3.28974E-8,3.93655E-8,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,1975$/GJ
8.71699,8.46752,4.81938,6.06384,6.88442,7.50772,7.96031,8.50414,8.82395,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,1975$/GJ
0.0033073,0.0053824,0.0094297,0.0113572,0.0077776,0.0104762,0.0127086,0.0136354,0.0169002,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
0.0,0.0,10.5979,8.90426,6.65136,6.3829,6.45626,5.55316,5.37562,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.00326868,0.0108365,0.0347345,0.0422786,0.0443725,0.0557837,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,carbon-storage,missing,missing,missing,1990$/tC
0.0,0.0,14968.0,14867.2,13.6741,13.5946,13.1354,13.5277,13.695,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,coal to liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61079E-9,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,coal to liquids-fixed-output,missing,missing,missing,EJ
11.2971,12.0119,12.7815,13.0065,16.2615,16.9023,17.1462,19.2451,20.0416,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm cooking,missing,missing,missing,1975$/GJ
6.9515,6.97418,6.05135,6.26724,6.46569,6.75198,6.96989,7.20445,7.28778,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm cooling,missing,missing,missing,1975$/GJ
5.63737,6.49692,8.34242,8.47587,10.1215,10.3561,10.5254,11.5654,12.0279,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm heating,missing,missing,missing,1975$/GJ
8.28091,7.27526,8.37076,8.46303,10.7106,10.8421,10.7258,12.0604,12.4686,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm hot water,missing,missing,missing,1975$/GJ
1.64074,1.59649,1.02687,1.03718,0.929864,0.965477,0.992919,1.02483,1.03634,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm lighting,missing,missing,missing,1975$/megalumen-hours
15.1117,14.5061,11.4428,12.2829,13.3676,14.644,15.6464,16.8309,17.2628,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm non-building,missing,missing,missing,1975$/GJ
59.2987,58.6931,50.7726,51.352,52.1001,52.3413,52.4036,53.1179,53.3132,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm office,missing,missing,missing,1975$/GJ
34.5678,41.3008,31.8022,32.0369,34.9574,35.7054,36.1622,37.8766,38.4945,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm other,missing,missing,missing,1975$/GJ
50.2489,49.9548,49.5715,49.8165,50.1323,50.5034,50.7943,51.1376,51.2627,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm refrigeration,missing,missing,missing,1975$/GJ
77.0488,76.2702,71.1512,72.2406,72.6333,74.1021,74.113,75.4497,76.8085,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm ventilation,missing,missing,missing,1975$/million m3
0.00436357,0.00521097,0.00410546,0.0039165,0.00375956,0.00354966,0.00368404,0.0038003,0.00392914,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,comm-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
2.05137,2.09109,2.10935,2.13419,-0.716959,-1.02996,-1.02771,-2.42407,-2.71762,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,delivered biomass,missing,missing,missing,1975$/GJ
1.0,1.0,26.1669,25.8224,26.4761,26.5685,25.2713,24.4768,23.216,45Q-2040,low,AK,missing,missing,missing,missing,missing,missing,distributed_solar,missing,missing,missing,1975$/GJ
