,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0,0.00849075,0.0281007,0.0621009,0.104521,0.134584,0.242593,45Q-2050-h,1500Mt-CostDecrease,USA,H2 central production,coal,coal chemical CCS,missing,missing,missing,missing,missing,missing,missing,MTC
1,0.0,0.0,0.0,0.000325667,0.00676004,0.0464351,0.0798307,0.150819,0.254925,45Q-2050-h,1500Mt-CostDecrease,USA,H2 central production,gas,natural gas steam reforming CCS,missing,missing,missing,missing,missing,missing,missing,MTC
2,0.212511,0.366635,0.875144,1.40232,2.28783,3.58487,5.43553,7.82096,11.0701,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
3,2.57645,3.48152,3.45068,4.32325,5.44064,6.70071,8.10837,9.56619,11.1835,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
4,0.123362,0.201169,0.556099,0.937968,1.5266,2.34402,3.50035,5.07723,7.23274,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
5,0.540268,0.362202,0.719391,1.15703,2.01022,3.34335,5.31614,7.96863,11.2394,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
6,3.1366,3.75605,4.14298,4.81356,5.50337,6.28444,7.10065,7.92357,8.80729,45Q-2050-h,1500Mt-CostDecrease,Australia_NZ,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
7,6.98126,9.79378,12.9893,15.1048,17.5747,20.054,22.4845,24.8545,27.203,45Q-2050-h,1500Mt-CostDecrease,Brazil,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
8,9.28264,15.7363,17.2324,18.521,19.8507,21.1695,22.4557,23.7592,25.0958,45Q-2050-h,1500Mt-CostDecrease,Canada,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
9,0.550883,0.678129,0.766432,0.901987,1.04014,1.20319,1.35921,1.49264,1.65615,45Q-2050-h,1500Mt-CostDecrease,Central America and Caribbean,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
10,4.29099,1.74101,1.85722,2.68414,3.61309,4.64867,5.72171,6.78964,7.87913,45Q-2050-h,1500Mt-CostDecrease,Central Asia,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
11,15.0516,44.6849,99.5506,117.663,134.864,150.364,163.239,174.534,184.297,45Q-2050-h,1500Mt-CostDecrease,China,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
12,7.01143,8.47756,8.51733,9.30883,10.0424,10.7403,11.304,11.7712,12.2684,45Q-2050-h,1500Mt-CostDecrease,EU-12,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
13,59.0704,72.3803,60.3698,63.1997,66.2428,69.4887,72.6127,75.6707,78.7104,45Q-2050-h,1500Mt-CostDecrease,EU-15,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
14,11.4331,3.18665,2.14298,2.46942,2.81038,3.17281,3.52893,3.86596,4.22975,45Q-2050-h,1500Mt-CostDecrease,Europe_Eastern,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
15,3.16102,3.77577,6.96974,8.14361,9.39735,10.6589,11.9209,13.1556,14.3367,45Q-2050-h,1500Mt-CostDecrease,Europe_Non_EU,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
16,1.96458,1.85548,2.15108,2.41819,2.70075,2.9981,3.29671,3.59693,3.91936,45Q-2050-h,1500Mt-CostDecrease,European Free Trade Association,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
17,5.15712,14.1469,26.7793,37.954,48.8493,61.0692,73.9045,86.7357,100.891,45Q-2050-h,1500Mt-CostDecrease,India,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
18,2.6911,3.72815,3.61234,5.10771,6.98643,9.22314,11.6878,14.0894,16.5934,45Q-2050-h,1500Mt-CostDecrease,Indonesia,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
19,26.1832,29.3551,28.6407,28.8723,29.1487,29.2857,29.2696,29.2171,29.1155,45Q-2050-h,1500Mt-CostDecrease,Japan,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
20,5.47982,4.25324,4.82767,5.98663,7.39313,8.9403,10.5897,12.3097,14.1057,45Q-2050-h,1500Mt-CostDecrease,Mexico,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
21,11.6185,26.2324,46.825,51.5396,57.2405,63.1657,68.5725,73.4149,78.0691,45Q-2050-h,1500Mt-CostDecrease,Middle East,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
22,0.164912,0.490633,0.447451,0.576494,0.818826,1.18032,1.65829,2.22697,2.92866,45Q-2050-h,1500Mt-CostDecrease,Pakistan,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
23,15.6445,18.1813,21.7478,22.4362,23.3356,24.6383,25.9592,26.7919,28.004,45Q-2050-h,1500Mt-CostDecrease,Russia,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
24,1.13514,0.726925,2.5013,3.00659,3.66127,4.34378,5.02253,5.7129,6.42076,45Q-2050-h,1500Mt-CostDecrease,South Africa,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
25,0.71952,1.68073,0.41373,0.485034,0.659601,0.866643,1.1085,1.3886,1.70342,45Q-2050-h,1500Mt-CostDecrease,South America_Northern,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
26,0.536577,0.921373,1.29204,1.90511,2.68382,3.58148,4.58923,5.69144,6.88689,45Q-2050-h,1500Mt-CostDecrease,South America_Southern,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
27,0.154671,0.150824,0.256488,0.439436,0.672144,0.978824,1.36664,1.84426,2.4313,45Q-2050-h,1500Mt-CostDecrease,South Asia,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
28,5.27247,24.9131,38.4587,38.2981,37.9366,37.2879,36.1977,34.8014,33.1742,45Q-2050-h,1500Mt-CostDecrease,South Korea,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
29,2.35817,16.3413,31.5209,38.3054,44.7455,51.083,57.0662,62.5295,67.5662,45Q-2050-h,1500Mt-CostDecrease,Southeast Asia,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
30,3.01928,12.1567,17.5729,17.4262,17.2337,17.0655,16.8393,16.5664,16.2575,45Q-2050-h,1500Mt-CostDecrease,Taiwan,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
31,1.33242,2.49993,2.79547,3.25536,3.72021,4.20375,4.67001,5.10717,5.50636,45Q-2050-h,1500Mt-CostDecrease,Argentina,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
32,0.257622,1.3234,0.489226,0.708408,0.975273,1.29938,1.6835,2.12603,2.62977,45Q-2050-h,1500Mt-CostDecrease,Colombia,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
33,0.0,0.0,0.0,0.0309892,0.0453708,0.0777578,0.186004,0.876167,2.69549,45Q-2050-h,1500Mt-CostDecrease,AL,DAC,DAC,DAC_solvent (oxy CCS),missing,missing,missing,missing,missing,missing,missing,MTC
34,0.0,0.0,0.0,0.00421853,0.00903706,0.0253883,0.0655008,0.0600947,0.0512934,45Q-2050-h,1500Mt-CostDecrease,AL,DAC,DAC,DAC_sorbent (oxy CCS),missing,missing,missing,missing,missing,missing,missing,MTC
35,0.0,0.0,0.0,0.0264117,0.0948983,0.185829,0.2060604999999999,0.2902254,0.3133029,45Q-2050-h,1500Mt-CostDecrease,AL,biorefining,biomass liquids,FT biofuels CCS level 1,missing,missing,missing,missing,missing,missing,missing,MTC
36,0.0,0.0,0.0,0.0316327,0.1113223999999999,0.2144116999999999,0.2367801,0.329035,0.3538991,45Q-2050-h,1500Mt-CostDecrease,AL,biorefining,biomass liquids,FT biofuels CCS level 2,missing,missing,missing,missing,missing,missing,missing,MTC
37,0.0,0.0,0.0,0.0148758,0.0561304,0.1141277,0.1277362,0.1828633,0.1975545,45Q-2050-h,1500Mt-CostDecrease,AL,biorefining,biomass liquids,cellulosic ethanol CCS level 1,missing,missing,missing,missing,missing,missing,missing,MTC
38,0.0,0.0,0.0,0.088716,0.3032365,0.5707966,0.626881,0.8520876000000001,0.9091109,45Q-2050-h,1500Mt-CostDecrease,AL,biorefining,biomass liquids,cellulosic ethanol CCS level 2,missing,missing,missing,missing,missing,missing,missing,MTC
39,0.0,0.0,0.0,0.023561,0.133935,0.194972,0.211722,0.235406,0.251535,45Q-2050-h,1500Mt-CostDecrease,AL,cement,cement,cement CCS,missing,missing,missing,missing,missing,missing,missing,MTC
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00125021,0.01615311,45Q-2050-h,1500Mt-CostDecrease,AL,coal to liquids,coal to liquids,coal to liquids CCS level 1,missing,missing,missing,missing,missing,missing,missing,MTC
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00165906,0.02163711,45Q-2050-h,1500Mt-CostDecrease,AL,coal to liquids,coal to liquids,coal to liquids CCS level 2,missing,missing,missing,missing,missing,missing,missing,MTC
42,1.08903,2.0334,1.06377,1.10095,1.12857,1.15589,1.20274,1.23262,1.27357,45Q-2050-h,1500Mt-CostDecrease,AL,industrial feedstocks,refined liquids,refined liquids,missing,missing,missing,missing,missing,missing,missing,MTC
43,0.0,0.0,0.0,0.000775409,0.00164522,0.00968157,0.0229752,0.0474466,0.0888206,45Q-2050-h,1500Mt-CostDecrease,AL,lime,gas (CCS),lime,missing,missing,missing,missing,missing,missing,missing,MTC
44,0.0,0.0,0.0,0.00135404,0.00134307,0.00211885,0.00326056,0.00731317,0.0137028,45Q-2050-h,1500Mt-CostDecrease,AK,DAC,DAC,DAC_solvent (oxy CCS),missing,missing,missing,missing,missing,missing,missing,MTC
45,0.0,0.0,0.0,0.00051365,0.000697819,0.00163627,0.0028828,0.002501,0.00201975,45Q-2050-h,1500Mt-CostDecrease,AK,DAC,DAC,DAC_sorbent (oxy CCS),missing,missing,missing,missing,missing,missing,missing,MTC
