,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0,0.00191076,0.0044312,0.0085656,0.0154141,0.0244741,0.0357626,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
1,0.0012925,0.00210251,0.00815347,0.0140524,0.0214619,0.032349,0.0470677,0.0590578,0.069388,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
2,0.0,0.0,5.49193e-05,4.9474e-05,6.19033e-05,7.34959e-05,7.81866e-05,7.27656e-05,6.70555e-05,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
3,0.0,0.0,0.0,0.0020421,0.00421548,0.00722815,0.011791,0.0180927,0.0266048,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
4,0.000661901,0.00468252,0.0126147,0.0186351,0.0243285,0.0315837,0.0419645,0.0556132,0.0734314,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
5,0.0,0.0,9.31496e-06,1.45388e-05,2.61265e-05,4.32287e-05,6.44455e-05,8.3937e-05,0.00010628,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
6,0.0,0.0,0.00189452,0.00452133,0.00815714,0.0143475,0.0253494,0.0425402,0.0667284,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
7,0.0,0.0,0.00424217,0.00677733,0.00856011,0.0101439,0.0116254,0.0128753,0.0134942,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
8,0.00117369,0.00361098,0.035081,0.0543869,0.0707583,0.0856382,0.0979259,0.102937,0.107259,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
9,0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
10,0.0,0.0,0.000271833,0.000599068,0.00136851,0.00267129,0.00471797,0.00800749,0.0121042,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
11,0.0,0.0,0.00217674,0.0183534,0.0468318,0.0976045,0.176319,0.284709,0.428145,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
12,0.0,0.0,0.0296035,0.0516916,0.0636113,0.0844874,0.117271,0.141713,0.172237,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
13,0.0092828,0.0284467,0.0806938,0.0901136,0.0821232,0.074072,0.0667705,0.0542004,0.0460919,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
14,0.0,0.0,0.0287644,0.0662258,0.149816,0.29262,0.470456,0.678198,0.908882,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
15,0.0,0.0,1.22096e-05,0.000188477,0.00135903,0.00600862,0.0193298,0.046665,0.0944179,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
16,0.0,5.21026e-05,0.0302399369999999,0.090347337,0.152258237,0.234279837,0.351895837,0.5020131,0.6657398999999999,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
17,0.0,0.0,3.89024e-05,0.0004604804,0.0033368504,0.0165231504,0.0603296504,0.1618356504,0.350804748,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
18,0.0,1.03005e-05,0.06500502,0.16828902,0.28345102,0.42973602,0.62525002,0.8604561,1.098459,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
19,0.0,0.0,0.000253676,0.002368656,0.009600486,0.030493186,0.081628586,0.17754971,0.33807073,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,wind,wind_offshore,electricity,missing,missing,missing,missing,missing,missing,EJ
20,0.0,0.0,0.000211133,0.001497133,0.005903653,0.019355453,0.053585153,0.118792853,0.22434372,45Q-2050-h,1500Mt-CostDecrease,Africa_Eastern,missing,wind,wind_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
21,0.0,0.0,0.0,0.000436254,0.00127443,0.00224436,0.00331972,0.00434576,0.00520246,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
22,0.0,0.0,0.00196385,0.00309876,0.00531845,0.00713224,0.00844716,0.00855068,0.00830978,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
23,0.0,0.0,4.72118e-06,4.0317e-06,3.65191e-06,3.4833e-06,3.29713e-06,2.80054e-06,2.59138e-06,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
24,0.0,0.0,0.0,0.00410524,0.00960427,0.0147995,0.019888,0.0254297,0.0307377,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
25,0.00796429,0.0458413,0.0870629,0.0966125,0.107427,0.114897,0.119964,0.124498,0.128039,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
26,0.0,0.0,0.000299112,0.000349932,0.000408187,0.000471317,0.000534029,0.000539425,0.000581409,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
27,0.0752972,0.198004,0.547998,0.67224,0.872836,1.08096,1.29957,1.55886,1.80023,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
28,0.0604991,0.284393,0.568589,0.601346,0.635848,0.636542,0.612569,0.581944,0.543201,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
29,0.0,0.0,0.00126108,0.000985393,0.000904993,0.000881415,0.000861054,0.000835583,0.000812084,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,gas,gas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
30,0.0,0.0,0.00886292,0.0178079,0.0306267,0.0422352,0.0522174,0.0605302,0.0620537,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
31,0.0408229,0.0516283,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
32,0.0,0.0,0.000120561,0.000249755,0.000427253,0.000658176,0.000945089,0.00129896,0.00173044,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
33,0.0,0.0,0.00108671,0.00599103,0.0176583,0.0329201,0.0494663,0.0689762,0.0889298,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
34,0.0,0.0,0.0560312,0.0744449,0.137942,0.192878,0.253795,0.326192,0.390692,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
35,0.117712,0.127327,0.182747,0.171432,0.177176,0.175872,0.174267,0.168607,0.168605,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
36,0.0,0.0,0.0711605,0.220078,0.321864,0.420822,0.52133,0.622333,0.739993,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
37,0.0,0.0,1.44014e-05,1.44014e-05,1.44014e-05,1.44014e-05,1.44014e-05,0.0,0.0,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,solar,CSP,electricity,missing,missing,missing,missing,missing,missing,EJ
38,0.0,0.0,4.18725e-06,2.67535e-05,0.000203123,0.000848095,0.00245518,0.0056072,0.0101986,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
39,0.0,7.19924e-06,0.02214261,0.06499731,0.14711701,0.22695511,0.29942911,0.3718716,0.4148013,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
40,0.0,0.0,1.4328e-05,7.24524e-05,0.0005405714,0.0025220514,0.0082677814,0.0210451814,0.0409703534,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
41,0.0,0.0028798,0.0466503,0.0782431,0.1331283,0.1905205,0.2480977,0.2928577,0.3241496,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
42,0.0,0.0,0.000278131,0.001628051,0.0086295709999999,0.025572571,0.057577871,0.11138874,0.17977452,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,wind,wind_offshore,electricity,missing,missing,missing,missing,missing,missing,EJ
43,0.0,0.0,0.000134679,0.000449336,0.0014944059999999,0.0033746159999999,0.006305356,0.0107349259999999,0.016039837,45Q-2050-h,1500Mt-CostDecrease,Africa_Northern,missing,wind,wind_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
44,0.0,0.0,0.0,8.0691e-05,0.000269659,0.00052469,0.000929555,0.00166389,0.00279327,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
45,0.0,0.0,0.00084096,0.00110708,0.00168952,0.00236772,0.00332319,0.00474261,0.00663504,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
46,0.0,0.0,8.52196e-05,7.70473e-05,6.33438e-05,5.32615e-05,4.99616e-05,4.37095e-05,4.02433e-05,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
47,0.0,0.0,0.0,0.00313002,0.00945556,0.0170117,0.0277246,0.045723,0.0713153,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
48,0.0213304,0.0204676,0.0387974,0.0477276,0.0642771,0.081919,0.10539,0.143522,0.195881,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
49,0.0,0.0,3.63707e-05,5.19493e-05,6.91868e-05,9.01556e-05,0.000123789,0.000153178,0.000196145,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
50,0.0,0.000782675,0.0139246,0.0197457,0.0341866,0.0530617,0.0810835,0.133162,0.206981,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
51,0.0,0.00337894,0.0214617,0.0244244,0.0295485,0.0329913,0.0356727,0.0395786,0.0430751,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
52,0.0,0.0,0.00037108,0.00119025,0.00352607,0.00687735,0.0119734,0.0201445,0.0302426,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
53,0.0548817,0.120117,0.175234,0.188839,0.202445,0.216051,0.229657,0.243262,0.256868,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
54,0.0,0.0,0.000351279,0.00078096,0.00134182,0.00197417,0.0030076,0.00483549,0.007144,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
55,0.0,0.0,3.56525e-05,0.000320255,0.0013686,0.00315509,0.00605131,0.011554,0.0203437,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
56,0.0,0.0,0.0162405,0.0399396,0.107677,0.200096,0.324106,0.500417,0.701249,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
57,0.00254618,0.00617975,0.0374483,0.0568793,0.0886732,0.113608,0.131996,0.144639,0.153,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
58,0.0,0.0,0.0406575,0.0855573,0.154315,0.24162,0.353034,0.497243,0.672108,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
59,0.0,0.0,2.08548e-07,3.43389e-06,4.39598e-05,0.000198437,0.000674547,0.00203394,0.00494617,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
60,0.0,1.12e-05,0.0006336439999999999,0.0016802039999999,0.004159614,0.007329914,0.011806244,0.019402308,0.03004975,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
61,0.0,0.0,6.29881e-07,7.917801e-06,0.000101596401,0.000511843401,0.001972593401,0.006667013401,0.01735108352,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
62,0.0,2.20001e-06,0.0005653014000000001,0.0018686714,0.0058062714,0.0114086914,0.0199017714,0.034376282,0.0543870699999999,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
63,0.0,0.0,6.89911e-06,7.697361e-05,0.0006946436099999999,0.00278302361,0.00912537361,0.0275352744999999,0.0658048,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,wind,wind_offshore,electricity,missing,missing,missing,missing,missing,missing,EJ
64,0.0,0.0,2.11679e-06,1.139017e-05,6.095067e-05,0.00018178967,0.00046913167,0.00116865467,0.00250104788,45Q-2050-h,1500Mt-CostDecrease,Africa_Southern,missing,wind,wind_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
65,0.0,0.0,0.0,0.000469211,0.00179015,0.00367459,0.00654489,0.0106563,0.016367,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
66,0.000169199,0.0006156,0.00194474,0.00328678,0.0073931,0.0120281,0.0178717,0.0235051,0.0301007,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
67,0.0,0.0,0.000554559,0.000543237,0.000615311,0.000731799,0.000861765,0.000930961,0.00101938,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
68,0.0,0.0,0.0,0.000245121,0.000919104,0.0018964,0.00339276,0.00579434,0.00944308,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
69,0.000469068,0.00274717,0.00166554,0.00239026,0.0042374,0.00671628,0.0102944,0.0157581,0.0237577,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
70,0.0,0.0,0.00014399,0.000203339,0.000323457,0.00051472,0.000807482,0.00115071,0.0015886,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
71,0.00903382,0.0270922,0.0204281,0.0442698,0.133986,0.284351,0.517401,0.871362,1.36116,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
72,0.0176241,0.046229,0.149306,0.164134,0.207205,0.238671,0.258332,0.273791,0.288053,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
73,0.0,0.0,0.00175329,0.00595745,0.0193207,0.0377087,0.0613016,0.0897723,0.117763,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
74,0.0804331,0.108752,0.160889,0.203657,0.246425,0.289193,0.331962,0.37473,0.417498,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
75,0.0,0.0,0.000361043,0.000835116,0.00184823,0.00361686,0.00665405,0.0121604,0.0209614,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
76,0.0,0.0,0.000170869,0.0017087,0.00885237,0.0224796,0.0443184,0.0800187,0.134224,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
77,0.0,0.0,0.00378215,0.00875157,0.0323762,0.0656871,0.120087,0.20412,0.287858,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
78,0.0167247,0.0221465,0.0308373,0.0307102,0.0383162,0.0443184,0.0503268,0.0556017,0.0564566,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
79,0.0,0.0,0.0279394,0.072234,0.134625,0.239638,0.405912,0.656581,1.01336,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
80,0.0,0.0,1.39099e-06,1.68878e-05,0.000255235,0.0014176,0.00521028,0.014765,0.0344389,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
81,0.0,1.95e-05,0.0071210299999999,0.01859483,0.05167843,0.09183203,0.14090993,0.20363069,0.2817513,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
82,0.0,0.0,3.75782e-06,3.507612e-05,0.00052780312,0.00328833312,0.01369653312,0.04322533312,0.1078572753,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
83,0.0,9e-06,0.004011725,0.014085325,0.050251425,0.105676725,0.186046725,0.30355504,0.463472,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
84,0.0,0.0,2.70532e-05,0.0003385382,0.0038023682,0.0163916682,0.0494176682,0.114358415,0.20971423,45Q-2050-h,1500Mt-CostDecrease,Africa_Western,missing,wind,wind_offshore,electricity,missing,missing,missing,missing,missing,missing,EJ
