1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.999992,1.22952,0.127432,0.116446,0.106408,0.0972347,0.0888524,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,1975$/GJ
0.0,0.0,0.216445,0.117179,0.1153,0.10226,0.0860364,0.0689552,0.0543872,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,1975$/kg
0.0,0.0,0.347868,0.252492,0.148027,0.137488,0.127369,0.115499,0.104732,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,1975$/kg
0.216323,0.221615,0.347868,0.354075,0.334577,0.321129,0.319033,0.315211,0.306962,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,1975$/kg
0.0,0.0,0.206773,0.266238,0.258389,0.243201,0.227943,0.226517,0.223031,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,1975$/kg
-4.37906E-52,-1.125,-6.98056E-20,9.44288E-10,3.48154E-9,1.85602E-8,2.54229E-8,3.26734E-8,3.8496E-8,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,1975$/GJ
8.71699,8.46752,4.81938,6.06386,6.88312,7.51626,7.9018,8.46847,8.79894,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,1975$/GJ
0.0033073,0.0053824,0.0094297,0.0113582,0.00777951,0.0105016,0.012817,0.013556,0.0168168,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
0.0,0.0,10.5979,8.90345,6.65912,6.43153,6.64216,5.70864,5.709,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.00326867,0.0108029,0.0346784,0.0421021,0.0424464,0.0550427,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,carbon-storage,missing,missing,missing,1990$/tC
0.0,0.0,14968.0,14867.2,13.6715,13.5712,13.1783,13.6146,13.5382,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,coal to liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22127E-9,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,coal to liquids-fixed-output,missing,missing,missing,EJ
11.2971,12.0119,12.7815,13.0067,16.2543,16.8104,16.86,18.9726,19.4439,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm cooking,missing,missing,missing,1975$/GJ
6.9515,6.97418,6.05135,6.26724,6.46526,6.73007,6.94835,7.18778,7.26012,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm cooling,missing,missing,missing,1975$/GJ
5.63737,6.49692,8.34242,8.47532,10.1181,10.3105,10.3984,11.4359,11.735,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm heating,missing,missing,missing,1975$/GJ
8.28091,7.27526,8.37076,8.4631,10.7052,10.7795,10.5193,11.8635,12.0365,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm hot water,missing,missing,missing,1975$/GJ
1.64074,1.59649,1.02687,1.03718,0.929805,0.962667,0.989938,1.02243,1.0322,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm lighting,missing,missing,missing,1975$/megalumen-hours
15.1117,14.5061,11.4428,12.2829,13.3656,14.5422,15.5368,16.7411,17.1072,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm non-building,missing,missing,missing,1975$/GJ
59.2987,58.6931,50.7726,51.352,52.0986,52.2711,52.328,53.056,53.2059,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm office,missing,missing,missing,1975$/GJ
34.5678,41.3008,31.8022,32.032,34.9512,35.6477,35.9598,37.6772,38.0521,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm other,missing,missing,missing,1975$/GJ
50.2489,49.9548,49.5715,49.8165,50.1317,50.4738,50.7625,51.1116,51.2176,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm refrigeration,missing,missing,missing,1975$/GJ
77.0488,76.2702,71.1512,72.2406,72.6307,73.9775,73.9861,75.3476,76.6628,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm ventilation,missing,missing,missing,1975$/million m3
0.00436357,0.00521097,0.00410546,0.0039165,0.00375963,0.00355224,0.0036874,0.0038038,0.00393519,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,comm-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
2.05137,2.09109,2.10935,2.13381,-0.707384,-0.962633,-0.787015,-2.17825,-2.20308,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,delivered biomass,missing,missing,missing,1975$/GJ
1.0,1.0,26.1669,25.8224,26.4746,25.8759,25.1879,24.4174,23.1291,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,distributed_solar,missing,missing,missing,1975$/GJ
15.1117,14.5061,11.4428,12.2829,13.3656,14.5422,15.5368,16.7411,17.1072,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,elect_td_bld-fixed-output,missing,missing,missing,EJ
12.9167,12.3961,9.45084,10.326,11.4395,12.6357,13.6434,14.8472,15.2214,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,missing,1975$/GJ
15.1117,14.5061,11.4408,12.276,13.3495,14.5057,15.4734,16.6372,16.9714,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,missing,1975$/GJ
0.0,0.0,6.74331,6.78204,6.82335,6.82771,6.72262,6.8873,6.96207,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,gas to liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.237E-4,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,gas to liquids-fixed-output,missing,missing,missing,EJ
0.273833,-0.543104,0.001,0.001,0.316877,0.317408,0.317982,0.319509,0.32095,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,geothermal,missing,missing,missing,1975$/GJ
5.34875,5.83748,7.07371,7.19002,9.17846,9.43495,9.29289,10.4294,10.5842,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,industrial energy use,missing,missing,missing,1975$/GJ
2.80216,3.00029,6.36661,6.39602,6.26474,6.05628,6.00261,5.90479,5.8827,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,industrial feedstocks,missing,missing,missing,1975$/GJ
30.2975,30.807,31.9494,32.0504,33.6661,33.8408,33.7143,34.6337,34.7574,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,industry,missing,missing,missing,1975$/GJ
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,industry-tfe,missing,missing,missing,EJ
11.9192,12.3898,12.2159,12.7078,14.829,16.6269,18.198,20.1195,20.4745,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,intermediate generation,missing,missing,missing,1975$/GJ
0.0,0.0,0.00726349,0.0066684,0.00540723,0.00485355,0.00591053,0.00663611,0.00815692,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,intermediate generation-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.100152,0.0971313,0.0981718,0.0981931,0.0989185,0.100767,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,lime,missing,missing,missing,1975$/kg
0.195886,0.195889,0.195824,0.195832,0.1958,0.195789,0.195776,0.195761,0.19575,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,municipal water,missing,missing,missing,1975$/m^3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,municipal water-tfe,missing,missing,missing,EJ
0.0390184,-1.04209,-1.35699,0.001,0.158422,0.185223,0.195801,0.218564,0.228776,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,offshore wind resource,missing,missing,missing,1975$/GJ
2.47738,2.64236,6.05079,6.07869,5.92853,5.71449,5.65603,5.55531,5.52679,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,oil refining,missing,missing,missing,1975$/GJ
0.0,0.0,0.272286,0.291995,0.284395,0.26518,0.223077,0.156066,0.0937374,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,oil refining-fixed-output,missing,missing,missing,EJ
0.0390184,0.0636993,0.313852,0.286934,0.527348,0.606001,0.64966,0.698241,0.73636,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,onshore wind resource,missing,missing,missing,1975$/GJ
48.3923,49.8953,22.1758,17.8409,13.2945,15.8334,20.0682,23.2129,24.1672,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,peak generation,missing,missing,missing,1975$/GJ
0.0,0.0,1.11227E-4,1.01092E-4,7.27061E-5,7.87135E-5,9.33929E-5,1.02409E-4,1.24726E-4,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,peak generation-fixed-output,missing,missing,missing,EJ
1.91137,1.95109,1.96935,1.99381,-0.847384,-1.10263,-0.927015,-2.31825,-2.34308,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,regional biomass,missing,missing,missing,1975$/GJ
0.0,10.27,11.1092,11.199,8.63315,7.82192,7.04689,5.66926,4.53183,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,regional biomassOil,missing,missing,missing,1975$/GJ
3.24646,3.24646,3.34874,3.3898,0.909398,0.590039,0.469458,-0.815918,-1.13892,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,regional corn for ethanol,missing,missing,missing,1975$/GJ
7.24102,6.94545,7.26433,7.31068,4.92253,4.84779,5.12311,4.05745,4.13399,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,regional sugar for ethanol,missing,missing,missing,1975$/GJ
0.0556895,0.0548954,0.0584754,0.0597313,0.0623901,0.064224,0.0655973,0.0679774,0.0686351,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid clothes dryers,missing,missing,missing,1975$/kg
0.0,0.125489,0.13439,0.134715,0.135133,0.135587,0.135971,0.136436,0.136577,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid clothes washers,missing,missing,missing,1975$/cycle
0.0,34.5061,27.6285,26.4647,25.569,24.8474,24.0886,24.4056,24.5019,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid computers,missing,missing,missing,1975$/GJ
28.5418,27.7548,29.6745,30.3841,33.7551,34.978,35.7135,38.1443,38.7372,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid cooking,missing,missing,missing,1975$/GJ
10.4931,10.294,8.59906,8.82861,9.12553,9.44969,9.72485,10.0595,10.1616,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid cooling,missing,missing,missing,1975$/GJ
0.0,0.259603,0.241462,0.244765,0.24897,0.253477,0.257238,0.261739,0.263096,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid dishwashers,missing,missing,missing,1975$/cycle
31.0772,30.4698,26.4661,27.0577,27.8198,28.6477,29.3472,30.1941,30.4514,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid freezers,missing,missing,missing,1975$/GJ
0.0,34.5061,28.6036,28.1886,28.0033,27.9466,27.7684,28.3706,28.5536,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid furnace fans,missing,missing,missing,1975$/GJ
8.39821,8.30167,7.06963,7.32696,7.84285,8.22989,8.53432,9.00013,9.09924,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid heating,missing,missing,missing,1975$/GJ
19.2765,18.9082,18.5772,19.1447,21.082,21.9896,22.4516,23.7858,24.0737,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid hot water,missing,missing,missing,1975$/GJ
2.92965,2.81956,0.692908,0.548323,0.502533,0.529622,0.551883,0.579576,0.587987,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid lighting,missing,missing,missing,1975$/megalumen-hours
32.9298,33.1781,30.1726,30.7748,32.1762,32.9491,33.4887,34.677,34.9815,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid other,missing,missing,missing,1975$/GJ
16.9388,16.6232,15.0218,15.3475,15.7657,16.2185,16.5998,17.0599,17.1994,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid refrigerators,missing,missing,missing,1975$/GJ
35.1117,34.5061,29.1542,29.0985,29.9004,30.772,31.5087,32.4008,32.672,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid televisions,missing,missing,missing,1975$/GJ
0.00218662,0.00440212,0.00327547,0.00312451,0.00319794,0.00329948,0.00344024,0.00357051,0.00369047,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,resid-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
24.7909,25.3738,22.0146,18.8771,14.2559,16.999,21.1723,24.1034,24.9161,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,subpeak generation,missing,missing,missing,1975$/GJ
0.0,0.0,8.0079E-4,7.28891E-4,5.52479E-4,5.53246E-4,6.57973E-4,7.34588E-4,8.94281E-4,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,subpeak generation-fixed-output,missing,missing,missing,EJ
0.135761,0.134178,0.138139,0.137848,0.146066,0.148389,0.152858,0.160921,0.166864,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_aviation_intl,missing,missing,missing,1990$/pass-km
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_aviation_intl-tfe,missing,missing,missing,EJ
0.0643878,0.0659824,0.0802505,0.0803941,0.0879046,0.088025,0.0880143,0.0915183,0.0921089,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_freight,missing,missing,missing,1990$/ton-km
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_freight-tfe,missing,missing,missing,EJ
0.128124,0.129834,0.157074,0.155035,0.171087,0.168723,0.165743,0.172609,0.172639,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_freight_road,missing,missing,missing,1990$/ton-km
0.315422,0.280579,0.321719,0.321281,0.340694,0.34677,0.357258,0.376396,0.390406,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_pass,missing,missing,missing,1990$/pass-km
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_pass-tfe,missing,missing,missing,EJ
0.475536,0.463115,0.497901,0.504942,0.523068,0.547304,0.573428,0.60593,0.639198,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_pass_road,missing,missing,missing,1990$/pass-km
0.472565,0.46084,0.496319,0.503298,0.520916,0.54472,0.570399,0.602451,0.635283,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_pass_road_LDV,missing,missing,missing,1990$/pass-km
0.139209,0.13991,0.157534,0.154269,0.151634,0.150405,0.149004,0.14959,0.149596,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_pass_road_LDV_4W,missing,missing,missing,1990$/pass-km
0.00174563,0.00179218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_shipping_intl,missing,missing,missing,1990$/ton-km
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,trn_shipping_intl-tfe,missing,missing,missing,EJ
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_an_C,missing,missing,missing,1975$/m^3
5.86463E-4,5.88523E-4,5.24158E-4,5.31685E-4,4.99866E-4,4.89082E-4,4.76414E-4,4.60916E-4,4.50286E-4,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_an_W,missing,missing,missing,1975$/m^3
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_elec_C,missing,missing,missing,1975$/m^3
5.86463E-4,5.88523E-4,5.24158E-4,5.31685E-4,4.99866E-4,4.89082E-4,4.76414E-4,4.60916E-4,4.50286E-4,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_elec_W,missing,missing,missing,1975$/m^3
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_ind_C,missing,missing,missing,1975$/m^3
5.86463E-4,5.88523E-4,5.24158E-4,5.31685E-4,4.99866E-4,4.89082E-4,4.76414E-4,4.60916E-4,4.50286E-4,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_ind_W,missing,missing,missing,1975$/m^3
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_irr_PacArctic_C,missing,missing,missing,1975$/m^3
2.93232E-5,2.94262E-5,2.62079E-5,2.65842E-5,2.49933E-5,2.44541E-5,2.38207E-5,2.30458E-5,2.25143E-5,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_irr_PacArctic_W,missing,missing,missing,1975$/m^3
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_muni_C,missing,missing,missing,1975$/m^3
5.86463E-4,5.88523E-4,5.24158E-4,5.31685E-4,4.99866E-4,4.89082E-4,4.76414E-4,4.60916E-4,4.50286E-4,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_muni_W,missing,missing,missing,1975$/m^3
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_pri_C,missing,missing,missing,1975$/m^3
5.86463E-4,5.88523E-4,5.24158E-4,5.31685E-4,4.99866E-4,4.89082E-4,4.76414E-4,4.60916E-4,4.50286E-4,45Q-2050,high,AK,missing,missing,missing,missing,missing,missing,water_td_pri_W,missing,missing,missing,1975$/m^3
0.0,0.0,1.0,1.22952,0.127432,0.116446,0.106408,0.0972347,0.0888524,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,1975$/GJ
0.0,0.0,0.216445,0.117179,0.1153,0.10226,0.0860364,0.0689552,0.0543872,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,1975$/kg
0.0,0.0,0.216029,0.122041,0.120962,0.109127,0.095787,0.0797824,0.0665338,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,1975$/kg
0.232103,0.22768,0.216029,0.223449,0.215067,0.200848,0.18621,0.171461,0.16089,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,1975$/kg
0.0,0.0,0.165296,0.162741,0.152184,0.142062,0.132007,0.126733,0.12198,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,1975$/kg
-6.84228E-54,-1.125,6.54962E-4,9.92514E-4,0.00217668,0.00261839,0.00294156,0.00381769,0.00437168,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,1975$/GJ
0.228788,0.0621878,0.229756,0.229827,0.195676,0.163805,0.139012,0.124117,0.112808,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,TEW,missing,missing,missing,1975$/kg
8.12786,8.08672,6.03581,6.07401,9.18978,9.0588,8.87089,7.7818,7.36343,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,1975$/GJ
0.0351811,0.0372978,0.307628,0.33432,0.258769,0.260226,0.237133,0.222402,0.311009,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
0.0,12.5439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.00550846,0.0053433,0.00494155,0.00410156,0.00280529,0.00150895,6.68821E-4,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
0.0,0.0,10.3131,8.78388,5.66286,5.49966,5.8037,4.93759,5.03801,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.00384927,0.0120202,0.0752235,0.0944793,0.0959515,0.128412,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
1.53666,1.53666,1.53666,10.3488,10.4188,10.5262,10.6753,10.996,11.5253,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,carbon-storage,missing,missing,missing,1990$/tC
0.0235283,0.0223286,0.0235983,0.0233553,0.0505225,0.0511908,0.0507936,0.0561596,0.0565519,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,cement,missing,missing,missing,1975$/kg
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,cement-tfe,missing,missing,missing,EJ
0.0,0.0,14965.4,14864.6,7.80936,7.73426,7.37265,7.80652,7.76523,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,coal to liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2253E-4,45Q-2050,high,AL,missing,missing,missing,missing,missing,missing,coal to liquids-fixed-output,missing,missing,missing,EJ
