,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,15.2079,14.539,14.4842,13.3459,12.8925,12.352,12.0447,11.7394,11.426,4gt,4gt,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
1,13.0129,12.429,12.8474,11.8097,11.6613,11.4643,11.2632,10.8167,10.3086,4gt,4gt,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
2,15.2079,14.539,14.8374,13.7597,13.5713,13.3343,13.0932,12.6067,12.0586,4gt,4gt,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
3,10.3317,9.61029,9.53448,8.75158,8.64963,8.5164,8.37984,8.04964,7.67001,4gt,4gt,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
4,11.5037,10.525,12.9376,12.0237,11.419,11.2376,11.8868,11.7875,11.6341,4gt,4gt,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
5,9.30874,8.41504,11.012,10.3256,9.71248,9.53902,10.3487,10.2963,10.1596,4gt,4gt,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
6,11.5037,10.525,13.002,12.2756,11.6225,11.409,12.1787,12.0863,11.9096,4gt,4gt,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
7,6.93394,6.51421,8.44993,7.9083,7.43012,7.30726,7.99306,7.97128,7.88007,4gt,4gt,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
8,11.9595,12.3177,15.8292,14.7856,13.6636,12.977,12.7255,12.5258,12.4411,4gt,4gt,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
9,9.76452,10.2077,14.8992,14.3288,13.4642,13.2535,14.0645,14.0247,13.7504,4gt,4gt,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
10,11.9595,12.3177,16.8892,16.2788,15.3742,15.1235,15.8945,15.8147,15.5004,4gt,4gt,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
11,8.23199,7.96576,12.1042,11.6342,10.9349,10.7806,11.4986,11.4907,11.2818,4gt,4gt,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
12,11.4045,11.2863,13.0748,12.1524,11.6222,11.5359,11.8321,11.8112,11.7829,4gt,4gt,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
13,9.20954,9.17629,11.2954,10.6014,10.0627,10.0728,10.6699,10.7599,10.7588,4gt,4gt,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
14,11.4045,11.2863,13.2854,12.5514,11.9727,11.9428,12.4999,12.5499,12.5088,4gt,4gt,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
15,6.95912,6.5606,8.33072,7.80801,7.40508,7.4319,7.92312,8.01476,8.03476,4gt,4gt,Africa_Western,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
16,10.5399,10.487,10.8383,10.1967,9.73577,9.75533,10.4631,10.5793,10.5267,4gt,4gt,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
17,8.34493,8.37701,8.81781,8.20198,7.75629,7.79118,8.5175,8.64975,8.61613,4gt,4gt,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
18,10.5399,10.487,10.8078,10.152,9.66629,9.66118,10.3475,10.4398,10.3661,4gt,4gt,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
19,6.67367,6.71122,7.3284,6.78882,6.40585,6.45291,7.12202,7.25701,7.24269,4gt,4gt,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
20,14.1434,12.1058,12.5183,11.5688,10.8416,10.6004,11.0205,11.0667,11.0324,4gt,4gt,Brazil,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
21,11.9484,9.99584,10.5057,9.73549,9.04091,8.79182,9.23722,9.28061,9.24788,4gt,4gt,Brazil,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
