1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.0409842,0.104365,0.171358,0.313512,0.613001,1.39247,500Mt-CostDecrease,500Mt-CostDecrease,AL,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0286052,0.0363401,0.0295895,0.0515941,0.105228,0.236669,500Mt-CostDecrease,500Mt-CostDecrease,AL,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.00268873,0.0048803,0.0580087,0.127472,0.215866,0.421871,500Mt-CostDecrease,500Mt-CostDecrease,AL,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,7.70636E-4,0.00190633,0.0299486,0.0829894,0.212974,0.47851,500Mt-CostDecrease,500Mt-CostDecrease,AL,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0216645,0.0493424,0.0848124,0.172422,0.37307,0.457869,500Mt-CostDecrease,500Mt-CostDecrease,AK,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0015792,0.00147028,0.00360715,0.00652456,0.0124167,0.0203692,500Mt-CostDecrease,500Mt-CostDecrease,AK,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,3.06339E-4,4.25948E-4,0.00472689,0.0105398,0.0176417,0.0291967,500Mt-CostDecrease,500Mt-CostDecrease,AK,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0330022,0.0845722,0.165244,0.316827,0.5989,1.34344,500Mt-CostDecrease,500Mt-CostDecrease,AZ,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0295722,0.0422022,0.0331207,0.06149,0.122403,0.27886,500Mt-CostDecrease,500Mt-CostDecrease,AZ,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,7.24326E-4,0.00197727,0.040769,0.129366,0.348828,0.781926,500Mt-CostDecrease,500Mt-CostDecrease,AZ,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0322445,0.0837101,0.16353,0.31551,0.596911,1.33529,500Mt-CostDecrease,500Mt-CostDecrease,AR,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0227491,0.0295204,0.0284064,0.0522437,0.103155,0.228728,500Mt-CostDecrease,500Mt-CostDecrease,AR,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,5.34484E-4,0.00132727,0.0247471,0.0732417,0.188301,0.445896,500Mt-CostDecrease,500Mt-CostDecrease,AR,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.134656,0.335919,0.54709,0.997198,1.80655,1.97316,500Mt-CostDecrease,500Mt-CostDecrease,CA,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0761499,0.094139,0.0868539,0.155598,0.323308,0.649994,500Mt-CostDecrease,500Mt-CostDecrease,CA,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0121106,0.0219275,0.26126,0.57344,0.964352,1.82841,500Mt-CostDecrease,500Mt-CostDecrease,CA,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.00377226,0.010376,0.183905,0.568043,1.60992,3.54468,500Mt-CostDecrease,500Mt-CostDecrease,CA,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0396899,0.10192,0.199831,0.38287,0.721472,1.61106,500Mt-CostDecrease,500Mt-CostDecrease,CO,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0355649,0.0508588,0.0400531,0.0743078,0.147454,0.33441,500Mt-CostDecrease,500Mt-CostDecrease,CO,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,8.13481E-4,0.00215447,0.0434834,0.136909,0.381,0.968598,500Mt-CostDecrease,500Mt-CostDecrease,CO,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0140585,0.0346785,0.0530827,0.0971676,0.192422,0.461414,500Mt-CostDecrease,500Mt-CostDecrease,CT,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.00443309,0.00497586,0.00585612,0.0101369,0.0196252,0.0384464,500Mt-CostDecrease,500Mt-CostDecrease,CT,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,9.62469E-4,0.00169636,0.0187696,0.040822,0.0694448,0.14171,500Mt-CostDecrease,500Mt-CostDecrease,CT,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,4.04983E-4,0.00107534,0.0157067,0.038756,0.078305,0.109137,500Mt-CostDecrease,500Mt-CostDecrease,CT,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.00439739,0.0109042,0.0179503,0.0328862,0.064278,0.145097,500Mt-CostDecrease,500Mt-CostDecrease,DE,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.00241575,0.00292672,0.00276433,0.00485181,0.0100916,0.0218217,500Mt-CostDecrease,500Mt-CostDecrease,DE,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,4.25549E-4,7.87958E-4,0.00968669,0.0216238,0.0374951,0.0737822,500Mt-CostDecrease,500Mt-CostDecrease,DE,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,1.47861E-4,4.15296E-4,0.00751109,0.0227623,0.0607968,0.123915,500Mt-CostDecrease,500Mt-CostDecrease,DE,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
