1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
2.50413,6.07188,11.1546,14.7084,20.5097,28.2303,38.7695,53.0327,72.0753,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
33.1879,72.1022,100.443,107.346,113.859,119.545,124.442,128.587,131.676,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
2.39525,4.9915,6.34426,7.89659,10.2436,13.0811,16.8906,22.0545,28.8861,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
8.35825,12.8808,18.1507,22.6819,32.2806,44.8528,61.5348,83.5095,112.586,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Western,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
9.45778,11.5822,11.9563,13.05,14.0859,15.0461,15.9875,16.9572,17.9109,CDRIA-2035-h,1500Mt-CostDecrease,Australia_NZ,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
34.0103,51.0203,63.1337,68.4383,73.9558,78.3873,81.996,84.4421,85.6554,CDRIA-2035-h,1500Mt-CostDecrease,Brazil,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
12.8504,15.5723,12.6013,13.4924,14.5003,15.505,16.5031,17.4638,18.366,CDRIA-2035-h,1500Mt-CostDecrease,Canada,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
12.4933,17.7249,20.2637,23.3795,26.5615,29.521,32.3475,34.9835,37.2948,CDRIA-2035-h,1500Mt-CostDecrease,Central America and Caribbean,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
25.6017,15.6084,20.7378,23.9732,27.1991,29.6854,31.5523,32.9677,33.8776,CDRIA-2035-h,1500Mt-CostDecrease,Central Asia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
255.449,1290.29,1720.78,1622.54,1536.79,1462.0,1389.47,1317.34,1246.9,CDRIA-2035-h,1500Mt-CostDecrease,China,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
54.1222,45.3239,45.711,46.8517,47.5791,47.9637,48.0044,47.8089,47.5193,CDRIA-2035-h,1500Mt-CostDecrease,EU-12,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
238.425,254.589,209.904,215.456,220.545,225.246,229.306,233.1,235.916,CDRIA-2035-h,1500Mt-CostDecrease,EU-15,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
36.1586,18.9386,16.9302,17.8602,18.7981,19.5087,20.0537,20.4829,20.7498,CDRIA-2035-h,1500Mt-CostDecrease,Europe_Eastern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
35.7183,57.398,68.3799,70.7283,72.9426,74.8002,76.1326,76.9626,77.4596,CDRIA-2035-h,1500Mt-CostDecrease,Europe_Non_EU,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
7.83395,6.8547,6.98509,7.3863,7.76052,8.10825,8.42639,8.71426,8.9929,CDRIA-2035-h,1500Mt-CostDecrease,European Free Trade Association,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
54.7149,161.912,284.51,353.882,408.147,456.111,500.412,540.967,576.718,CDRIA-2035-h,1500Mt-CostDecrease,India,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
14.1746,34.8361,51.0373,63.8359,74.8182,84.0013,91.6786,97.6787,102.266,CDRIA-2035-h,1500Mt-CostDecrease,Indonesia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
106.2,87.6214,61.6238,61.1082,60.2653,59.2834,58.2921,57.3149,56.2216,CDRIA-2035-h,1500Mt-CostDecrease,Japan,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
26.7952,42.1587,39.3313,43.1403,47.1994,50.9328,54.2316,57.1945,59.8129,CDRIA-2035-h,1500Mt-CostDecrease,Mexico,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
