1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.00190689,0.00442199,0.00856026,0.0154183,0.0245379,0.0344421,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0012925,0.00210251,0.00815307,0.0140828,0.0215696,0.0325403,0.047275,0.0584292,0.06001,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,5.49295E-5,4.96871E-5,6.24237E-5,7.40072E-5,7.84868E-5,7.11605E-5,5.82876E-5,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.00203622,0.00419884,0.00720772,0.0117764,0.0182315,0.0274213,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
6.61901E-4,0.00468252,0.0126143,0.0186169,0.0242809,0.0315283,0.0419282,0.0559264,0.0752198,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,9.31487E-6,1.45612E-5,2.62145E-5,4.33614E-5,6.45157E-5,8.27528E-5,9.60602E-5,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00189441,0.00451409,0.00813289,0.0143145,0.0253395,0.0429841,0.0695108,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00424196,0.00676952,0.00854267,0.0101247,0.0116201,0.0129166,0.0137626,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.00117369,0.00361098,0.0350802,0.0543454,0.0706669,0.0855663,0.0979054,0.103119,0.108364,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
