,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0213837,0.0194331,0.0286105,0.0283,0.0282156,0.0279748,0.0276342,0.0271976,0.0268279,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
1,0.0193061,0.0185248,0.0285934,0.0282134,0.0277599,0.0273843,0.0271413,0.0269411,0.0268075,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
2,0.0180969,0.0177835,0.0296733,0.0295743,0.0292343,0.0289059,0.0287553,0.0285783,0.0285333,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
3,0.0190805,0.0186745,0.0277412,0.0274742,0.0271848,0.0270057,0.0269123,0.0267916,0.0266489,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Western,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
4,0.0165085,0.01604,0.0200889,0.0198226,0.0196212,0.0195689,0.0195653,0.0194811,0.0193828,CDRIA-2035-h,1500Mt-CostDecrease,Australia_NZ,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
5,0.0172359,0.0172693,0.024209,0.0237225,0.0233154,0.0230902,0.02305,0.0233175,0.0235926,CDRIA-2035-h,1500Mt-CostDecrease,Brazil,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
6,0.020464,0.018817,0.0221271,0.021942,0.0215569,0.0212333,0.0209558,0.0207426,0.0206,CDRIA-2035-h,1500Mt-CostDecrease,Canada,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
7,0.0232441,0.0207505,0.0294036,0.028785,0.0284414,0.0281826,0.0279824,0.0277366,0.0275086,CDRIA-2035-h,1500Mt-CostDecrease,Central America and Caribbean,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
8,0.0177307,0.0178561,0.026666,0.0263951,0.0257635,0.0255289,0.0255782,0.0256085,0.0258157,CDRIA-2035-h,1500Mt-CostDecrease,Central Asia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
9,0.0167166,0.0150053,0.019443,0.019257,0.0191762,0.0191454,0.0190893,0.0190154,0.0189262,CDRIA-2035-h,1500Mt-CostDecrease,China,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
10,0.0199957,0.0198342,0.0304347,0.0300554,0.029745,0.02942,0.0292446,0.0291334,0.0289467,CDRIA-2035-h,1500Mt-CostDecrease,EU-12,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
