,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0012925,0.00210251,0.00815307,0.01598969,0.02599159,0.04110056,0.0626933,0.0829671,0.0944521,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
1,0.000661901,0.00468252,0.0126143,0.0206531199999999,0.02847974,0.03873602,0.0537046,0.0741579,0.1026411,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
2,0.0,0.0,0.00613637,0.01128361,0.01667556,0.0244392,0.0369596,0.0559007,0.0832734,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
3,0.00117369,0.00361098,0.0350802,0.0543454,0.0706669,0.0855663,0.0979054,0.103119,0.108364,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
4,0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
5,0.0,0.0,0.00217662,0.0183064,0.0466433,0.097335,0.176093,0.287063,0.441708,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
6,0.0092828,0.0284467,0.1102937,0.1416851,0.1454728,0.1583478,0.1843026999999999,0.1971757,0.2297623,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
7,0.0,0.0,0.0287641,0.0661923,0.149627,0.292373,0.47072,0.678235,0.913425,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
8,0.0,5.21026e-05,0.0302895459,0.0908511690999999,0.1565062091,0.2562133291,0.4310323290999999,0.7170533921,1.152922892,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
9,0.0,1.03005e-05,0.065466903,0.1719037729999999,0.298206013,0.478681513,0.7598379129999999,1.165420231,1.71195675,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Eastern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
10,0.0,0.0,0.00196384,0.0035475819999999,0.00664933,0.00946877,0.01182079,0.01266002,0.01118836,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
11,0.00796429,0.0458413,0.0870629,0.10071549,0.1170327499999999,0.1297048,0.1398727,0.1502214,0.1594351,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
12,0.1357962999999999,0.482397,1.116578,1.273534,1.508621,1.717378,1.912119,2.146486,2.358677,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
13,0.0,0.0,0.00886284,0.0178066,0.0306275,0.0422343,0.0522217,0.0606238,0.0622182,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
14,0.0408229,0.0516283,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
15,0.0,0.0,0.00108671,0.0059902,0.0176598,0.0329188,0.049461,0.0692557,0.0896222,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
16,0.117712,0.127327,0.2387769,0.2457586,0.314725,0.36846,0.42771,0.495789,0.562207,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
17,0.0,0.0,0.0711614,0.220068,0.321838,0.420797,0.520987,0.622382,0.738697,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
18,0.0,7.19924e-06,0.0221757268499999,0.0651019067,0.1478615581999999,0.2303031831999999,0.3101932662,0.4002204048,0.4703803766,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
19,0.0,0.0028798,0.047063414,0.080315196,0.1432581459999999,0.219460346,0.3119861659999999,0.416683332,0.524244432,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Northern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
20,0.0,0.0,0.000840943,0.001187954,0.001964164,0.0029049949999999,0.004275374,0.00638568,0.00887133,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
21,0.0213304,0.0204676,0.0387961,0.05078187,0.07356381,0.0987907,0.1332528,0.1900308,0.2732877,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
22,0.0,0.004161615,0.0353852,0.0441076,0.0635891,0.0859324,0.1168987,0.173614,0.2569009,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
23,0.0,0.0,0.000371043,0.00118564,0.00351319,0.00686761,0.0119963,0.0202338,0.0308498,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
24,0.0548817,0.120117,0.175234,0.188839,0.202445,0.216051,0.229657,0.243262,0.256868,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
25,0.0,0.0,3.5649e-05,0.000318624,0.00136285,0.00315048,0.0060667,0.0116295,0.0209948,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
26,0.00254618,0.00617975,0.0536846,0.0964547,0.1951935,0.312541,0.456527,0.646231,0.880601,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
27,0.0,0.0,0.0406568,0.0854883,0.154197,0.24154,0.35268,0.49819,0.675917,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
28,0.0,1.12e-05,0.000634425351,0.001684249092,0.0042787707119999,0.008010176312,0.014475253312,0.028277224312,0.05429163349,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
29,0.0,2.20001e-06,0.0005742573399999999,0.0019489034199999,0.00653631512,0.01435376512,0.02957814312,0.06351469739,0.12684462428,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Southern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
30,0.000169199,0.0006156,0.00194473,0.003756638,0.0092185,0.01578862,0.0244956099999999,0.0339087,0.0418032,CDRIA-2035-h,1500Mt-CostDecrease,Africa_Western,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
