,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,21.76892801836,44.87565489472,,158.14372214949998,207.8311913849,326.12561044270007,439.4428365030001,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,biomass,missing,thous km2
1,1194.934301690902,1183.685847017779,1167.9886247515512,1193.1394202780934,,1209.192659803674,1215.68871910967,1192.1474926891178,1155.4900570125542,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,crops,missing,thous km2
2,452.7770994,412.99928759,378.2780581,394.4040297,,422.8392809,435.5182125,443.4079133,450.2894435,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,forest (managed),missing,thous km2
3,1726.5740868099997,1785.76380466,1861.1851334499995,1848.00038347,,1817.52308601,1804.3565898199995,1785.7964380899996,1770.3924700099997,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,forest (unmanaged),missing,thous km2
4,1103.0072308,1188.816418,1196.5534054000004,1191.4104296000005,,1178.5974881000004,1172.5765143000003,1163.4439023000002,1155.3535918000002,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,grass,missing,thous km2
5,672.8889338,494.7405526,354.6293126,328.09615850000006,,262.12501910000003,233.58711414,191.03787653,157.38362673,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,otherarable,missing,thous km2
6,65.79371250300002,11.797713690000002,45.552467044,48.22679149399999,,53.72013416899999,56.52157197300001,58.704488661,60.62411637400001,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,pasture (grazed),missing,thous km2
7,2308.519931833001,2425.005541689,2452.570704912,2433.377891925999,,2387.396122723,2367.5760258899995,2339.340508489999,2317.1289815039995,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,pasture (other),missing,thous km2
8,145.46686029999998,145.34609899999998,145.619419,145.619419,,145.619419,145.619419,145.619419,145.619419,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,rock and desert,missing,thous km2
9,972.5063557,974.6476179,984.0173442,981.0125175,,973.0062203,968.8877956,962.53893407,956.43881861,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,shrubs,missing,thous km2
10,391.78589380000005,383.7462889,381.57617,381.57617,,381.57617,381.57617,381.57617,381.57617,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,tundra,missing,thous km2
11,89.93841053999999,117.64160989,134.4523699,134.4523699,,134.4523699,134.4523699,134.4523699,134.4523699,CDRIA-2035,low,USA,missing,missing,missing,missing,missing,missing,missing,missing,urban,missing,thous km2
12,0.0,0.0,18.81644061128569,37.390494797691005,,97.85887644356902,123.166658261035,152.055610001108,171.25546329658602,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,biomass,missing,thous km2
13,320.4424736000004,439.2825964000001,491.3121317466618,510.8782285220112,,533.074716177802,536.5533190513258,535.5839596882889,533.427257626201,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,crops,missing,thous km2
14,87.732962,115.7667624,142.721605,157.56323,,186.877035,199.332043,209.297624,217.379844,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,forest (managed),missing,thous km2
15,72.48546809999999,27.0552276,0.0,0.0,,0.0,0.0,0.0,0.0,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,forest (unmanaged),missing,thous km2
16,1088.73021,1090.66736,963.7829124000002,955.4163580000002,,934.3734335,924.3100407600002,914.36643213,906.21685321,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,grass,missing,thous km2
17,114.9641426,116.1975009,206.9237197,178.5979971,,114.8391584,88.3641518,64.2225185,46.4951277,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,otherarable,missing,thous km2
18,156.94031099999998,216.341785,250.60726100000005,277.08585200000005,,337.701024,365.585751,387.818118,405.732711,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,pasture (grazed),missing,thous km2
19,2440.863409,2306.1859900000004,2261.526668,2223.084378,,2147.072535,2120.586245,2100.6340605,2088.5536521000004,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,pasture (other),missing,thous km2
20,937.66218,923.4152800000002,914.4023400000002,914.4023400000002,,914.4023400000002,914.4023400000002,914.4023400000002,914.4023400000002,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,rock and desert,missing,thous km2
21,596.2349399999999,578.7426849999999,560.93459327,556.60773723,,544.82783687,538.72649368,532.645969274,527.563808,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,shrubs,missing,thous km2
22,3.18496,5.58541,8.212760000000001,8.212760000000001,,8.212760000000001,8.212760000000001,8.212760000000001,8.212760000000001,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,missing,urban,missing,thous km2
23,0.0,0.0,1.3694304506499997,3.172761252640001,,12.677741179999998,19.203113710800007,28.545564289469997,37.96411396009999,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,missing,biomass,missing,thous km2
24,164.21609005726003,176.2439674416401,190.5957281185501,194.60462337490995,,203.32065083759005,205.84708938793008,207.47951217681,207.4544689830899,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,missing,crops,missing,thous km2
25,22.479262,27.055701,31.095576200000004,33.170505600000006,,37.0513677,38.6558631,39.9823556,41.0834328,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,missing,forest (managed),missing,thous km2
26,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,missing,forest (unmanaged),missing,thous km2
27,85.9641879,53.3362512,47.8768374,47.742022,,47.3842886,47.2015689,46.9906768,46.7948114,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,missing,grass,missing,thous km2
28,102.55565891,100.73651361,102.03457551,96.15604221,,80.64299081,73.28598611000001,65.09861061000001,58.17178081000001,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,missing,otherarable,missing,thous km2
29,13.15585,21.5523,30.83094,33.02784,,37.68818,39.81182,41.73853,43.49456,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,missing,pasture (grazed),missing,thous km2
