,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,15.2079,14.539,14.4842,13.3499,,12.3512,12.0454,11.7387,11.417,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
1,13.0129,12.429,12.8474,11.8153,,11.4628,11.2635,10.814,10.2988,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
2,15.2079,14.539,14.8374,13.7653,,13.3328,13.0935,12.604,12.0488,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
3,10.3317,9.61029,9.53448,8.74989,,8.51535,8.38004,8.04749,7.66234,CDRIA-2035,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
4,11.5037,10.525,12.9376,12.017,,11.2359,11.8951,11.7973,11.6462,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
5,9.30874,8.41504,11.012,10.3177,,9.537,10.3591,10.3088,10.1746,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
6,11.5037,10.525,13.002,12.2677,,11.407,12.1891,12.0988,11.9246,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
7,6.93394,6.51421,8.44995,7.90831,,7.307,8.00162,7.98153,7.89245,CDRIA-2035,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
8,11.9595,12.3177,15.8293,14.7846,,12.9755,12.7271,12.5295,12.4456,CDRIA-2035,low,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
9,9.76452,10.2077,14.8992,14.3297,,13.2486,14.0653,14.0411,13.7617,CDRIA-2035,low,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
10,11.9595,12.3177,16.8892,16.2797,,15.1186,15.8953,15.8311,15.5117,CDRIA-2035,low,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
11,8.23199,7.96576,12.1042,11.6368,,10.7803,11.4992,11.5046,11.2915,CDRIA-2035,low,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
12,11.4045,11.2863,13.0748,12.1589,,11.5341,11.8371,11.8218,11.8044,CDRIA-2035,low,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
13,9.20954,9.17629,11.2954,10.6091,,10.071,10.6781,10.7768,10.7889,CDRIA-2035,low,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
14,11.4045,11.2863,13.2854,12.5591,,11.941,12.5081,12.5668,12.5389,CDRIA-2035,low,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
15,6.95912,6.5606,8.33073,7.8083,,7.43171,7.92964,8.02811,8.05855,CDRIA-2035,low,Africa_Western,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
16,10.5399,10.487,10.8383,10.1935,,9.75506,10.4654,10.586,10.5517,CDRIA-2035,low,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
17,8.34493,8.37701,8.81784,8.19875,,7.79088,8.5198,8.65642,8.64135,CDRIA-2035,low,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
18,10.5399,10.487,10.8078,10.1488,,9.66088,10.3498,10.4464,10.3913,CDRIA-2035,low,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
19,6.67367,6.71122,7.32843,6.78883,,6.45283,7.12409,7.26301,7.26541,CDRIA-2035,low,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
20,14.1434,12.1058,12.5183,11.5677,,10.6014,11.0262,11.0765,11.0512,CDRIA-2035,low,Brazil,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
21,11.9484,9.99584,10.5057,9.73406,,8.79287,9.24334,9.29195,9.27177,CDRIA-2035,low,Brazil,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
22,14.1434,12.1058,12.4957,11.6841,,10.6629,11.0733,11.0819,11.0218,CDRIA-2035,low,Brazil,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
23,9.53315,7.66063,8.15814,7.55412,,6.84927,7.26577,7.34568,7.36781,CDRIA-2035,low,Brazil,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
24,11.5958,11.4474,12.4442,12.1112,,11.0853,11.1375,10.8263,10.5043,CDRIA-2035,low,Canada,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
25,9.40085,9.33738,10.4485,10.1238,,9.12378,9.20589,8.9369,8.65416,CDRIA-2035,low,Canada,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
26,11.5958,11.4474,12.4385,12.0738,,10.9938,11.0359,10.7269,10.4042,CDRIA-2035,low,Canada,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
27,7.80106,7.64528,8.55301,8.28769,,7.44263,7.53022,7.31038,7.07828,CDRIA-2035,low,Canada,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
28,14.5905,12.7525,14.3806,13.085,,12.552,12.7093,12.4569,12.0311,CDRIA-2035,low,Central America and Caribbean,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
29,12.3955,10.6425,12.4288,11.1539,,10.7239,11.0016,10.766,10.2991,CDRIA-2035,low,Central America and Caribbean,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
30,14.5905,12.7525,14.4188,13.1039,,12.5939,12.8316,12.556,12.0491,CDRIA-2035,low,Central America and Caribbean,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
31,9.97867,8.34278,9.95094,8.92177,,8.64092,8.9235,8.76586,8.40691,CDRIA-2035,low,Central America and Caribbean,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
32,11.5436,12.0655,12.5147,12.0936,,11.2247,12.0644,12.326,12.4017,CDRIA-2035,low,Central Asia,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
33,9.34861,9.9555,10.4913,10.1068,,9.29758,10.1477,10.4105,10.4966,CDRIA-2035,low,Central Asia,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
34,11.5436,12.0655,12.4813,12.0568,,11.1676,11.9777,12.2005,12.2466,CDRIA-2035,low,Central Asia,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
35,7.49762,7.52981,7.59722,7.31043,,6.71675,7.38878,7.60662,7.68782,CDRIA-2035,low,Central Asia,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
36,11.4441,11.0946,11.3632,10.8751,,10.5323,11.3268,11.5363,11.5517,CDRIA-2035,low,China,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
37,9.24915,8.98464,9.34123,8.93535,,8.61976,9.46011,9.7039,9.75354,CDRIA-2035,low,China,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
38,11.4441,11.0946,11.3312,10.8853,,10.4898,11.2901,11.4939,11.5035,CDRIA-2035,low,China,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
39,7.31741,7.06214,7.60545,7.26595,,7.02004,7.77303,8.00304,8.06269,CDRIA-2035,low,China,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
40,12.6529,12.1253,12.4594,12.0755,,11.4493,12.0591,12.1088,12.1066,CDRIA-2035,low,EU-12,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
41,10.4579,10.0153,10.4524,10.0629,,9.46429,10.0806,10.1457,10.1588,CDRIA-2035,low,EU-12,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
42,12.6529,12.1253,12.4424,12.0129,,11.3343,11.9106,11.9357,11.9088,CDRIA-2035,low,EU-12,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
43,7.93701,7.72241,8.22626,7.9202,,7.44211,7.9758,8.04614,8.07279,CDRIA-2035,low,EU-12,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
44,11.8479,11.4095,12.0217,11.4057,,10.8176,11.1979,10.9869,10.9141,CDRIA-2035,low,EU-15,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
45,9.65286,9.29947,10.0154,9.40882,,8.86053,9.25192,9.06246,9.00727,CDRIA-2035,low,EU-15,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
46,11.8479,11.4095,12.0054,11.3588,,10.7305,11.0819,10.8525,10.7573,CDRIA-2035,low,EU-15,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
47,7.81516,7.60704,8.32389,7.79672,,7.34407,7.70876,7.5559,7.52262,CDRIA-2035,low,EU-15,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
48,12.1297,12.9756,12.8842,12.6203,,11.8913,12.3208,12.2945,12.1579,CDRIA-2035,low,Europe_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
49,9.93467,10.8656,10.8745,10.6006,,9.90121,10.332,10.3163,10.1963,CDRIA-2035,low,Europe_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
50,12.1297,12.9756,12.8645,12.5506,,11.7712,12.162,12.1063,11.9463,CDRIA-2035,low,Europe_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
