1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
14.8319,9.87658,9.53341,10.7755,11.146922,11.853496,12.218314,,11.859314000000001,12.167696500000002,12.415033799999998,12.40941405,12.416250100000001,12.503059499999999,12.4177893,12.247133999999999,12.1357733,12.0660806,12.0190285,11.8800026,11.6063466,SSP1,LowBiocharCost baseline,USA,ammonia,gas,gas,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,0.0272032,0.2118399,,1.3966442,1.9845087,2.4795507,2.89759909,3.276594419,3.57817075,3.70065748,3.71900201,3.72849854,3.73786786,3.7423292300000006,3.7079571700000002,3.6242907,SSP1,LowBiocharCost baseline,USA,ammonia,hydrogen,hydrogen,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.00259843,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,0.0,,SSP1,LowBiocharCost baseline,Africa_Eastern,ammonia,gas,gas,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0133397,0.0,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,0.0,,SSP1,LowBiocharCost baseline,Africa_Eastern,ammonia,refined liquids,refined liquids,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
1.67257,3.24172,4.13521,4.59664,4.990906000000001,5.087199,5.487501,,5.739845,5.8913525,6.0255911,5.93897031,5.82109364,5.7707358,5.7094931,5.6645827,5.6130927,5.523596599999999,5.406976800000001,5.1911451,4.971703,SSP1,LowBiocharCost baseline,Africa_Northern,ammonia,gas,gas,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,0.00570292,0.10428561,,0.6505519,0.89411189,1.1032861999999999,1.260163293,1.3932457046,1.4990483300000002,1.54849696,1.5717793,1.5821987199999998,1.5780739199999998,1.5639153300000002,1.5185465699999998,1.4714954500000001,SSP1,LowBiocharCost baseline,Africa_Northern,ammonia,hydrogen,hydrogen,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0970418,0.0545991,0.0281095,0.0223474,0.02358431,0.023686099000000002,0.025642351999999997,,0.031758157,0.034391472,0.038402267999999996,0.040345815800000004,0.042415483899999995,0.0443927828,0.046201619,0.047399528999999996,0.0484128011,0.0489853572,0.04924988300000001,0.048978316,0.049747362,SSP1,LowBiocharCost baseline,Africa_Southern,ammonia,gas,gas,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,1.88956E-5,4.60385E-4,,0.0035763078,0.00501006716,0.00685717527,0.008358078014,0.009938580697,0.01129423969,0.0122970892,0.0129338391,0.0134501471,0.0138139764,0.0140748732,0.014181901100000002,0.0145883444,SSP1,LowBiocharCost baseline,Africa_Southern,ammonia,hydrogen,hydrogen,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSP1,LowBiocharCost baseline,Africa_Southern,ammonia,refined liquids,refined liquids,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.331656,0.0290555,0.0881377,0.296869,0.3415978,0.48537379999999997,0.6234582,,0.8728528999999999,1.0109787700000001,1.12701471,1.139900899,1.14737454,1.17919225,1.20921135,1.2401787,1.27143519,1.2948779300000002,1.3180913699999999,1.31733927,1.31085428,SSP1,LowBiocharCost baseline,Africa_Western,ammonia,gas,gas,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,0.00326934,0.019398650000000003,,0.09174278,0.14535051,0.20526260000000002,0.23843875,0.26766840569999995,0.29856317,0.321739362,0.339237129,0.353884472,0.36514393200000006,0.375803847,0.37947063699999994,0.381712082,SSP1,LowBiocharCost baseline,Africa_Western,ammonia,hydrogen,hydrogen,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSP1,LowBiocharCost baseline,Africa_Western,ammonia,refined liquids,refined liquids,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.320958,0.559979,0.515029,0.632783,0.6897872,0.8798727999999999,1.0162928,,1.0032295000000002,1.0388483,1.06558315,1.065086145,1.1147045599999998,1.1888587,1.2534924,1.3083205100000002,1.36607746,1.40847059,1.43701697,1.45573457,1.4687837999999998,SSP1,LowBiocharCost baseline,Australia_NZ,ammonia,gas,gas,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,0.00531686,0.02815368,,0.1091248,0.16757018,0.22816912099999997,0.273298174,0.32325749579999996,0.370077383,0.40193765,0.421988249,0.438606341,0.44831718100000006,0.452791656,0.45416254,0.45411871000000004,SSP1,LowBiocharCost baseline,Australia_NZ,ammonia,hydrogen,hydrogen,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.800071,1.02396,0.973124,0.819708,0.797669,0.889818,0.898902,,0.8338226,0.8479913,0.8678191,0.8620667,0.82916868,0.8198932999999999,0.79600023,0.7644825199999999,0.7396205100000001,0.7194155,0.7083860100000001,0.70028791,0.69397584,SSP1,LowBiocharCost baseline,Brazil,ammonia,gas,gas,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,0.00256365,0.01432112,,0.09437795,0.13535898,0.172897826,0.20181231100000002,0.2201837251,0.240155634,0.246626388,0.244888685,0.242851745,0.240720977,0.239940868,0.23854213200000002,0.236348737,SSP1,LowBiocharCost baseline,Brazil,ammonia,hydrogen,hydrogen,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
3.24208,3.38987,3.84147,4.27953,4.744318,5.322938,5.834988,,6.283019,6.5237575,6.6667502999999995,6.657893349999999,6.668762500000001,6.7375712,6.7709541,6.8119138,6.8815028,6.9313263,6.9258616,6.841891500000001,6.6567481,SSP1,LowBiocharCost baseline,Canada,ammonia,gas,gas,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,0.0178704,0.13104470000000001,,0.7489385,1.0707649399999999,1.3582215999999998,1.5959880869999998,1.813838506,1.99310199,2.09002848,2.1437484700000002,2.1871412900000005,2.21621886,2.2234283799999996,2.2034785400000003,2.1499805100000002,SSP1,LowBiocharCost baseline,Canada,ammonia,hydrogen,hydrogen,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.458945,0.383802,0.666329,0.744154,0.8196994,0.9304414,1.0122889000000002,,1.0759385,1.1187498999999999,1.15778688,1.165544591,1.16039782,1.1534665300000002,1.14251666,1.13202761,1.11861119,1.1021023399999998,1.07946611,1.05114337,1.01697573,SSP1,LowBiocharCost baseline,Central America and Caribbean,ammonia,gas,gas,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,0.00296178,0.02082992,,0.11728470999999999,0.16866807,0.21713794199999997,0.254911551,0.28503658379999997,0.306808843,0.317670047,0.322476071,0.323903186,0.32335806300000003,0.3204578189999999,0.31556879200000004,0.30874449699999995,SSP1,LowBiocharCost baseline,Central America and Caribbean,ammonia,hydrogen,hydrogen,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
1.79815,1.24503,1.71252,1.80997,1.905252,2.051155,2.12231,,2.1482474,2.2033328,2.2722630299999995,2.25578103,2.2161258999999998,2.1627085800000003,2.10110259,2.0601771199999996,2.02701595,1.9838825900000001,1.91993121,1.8410458299999997,1.75167934,SSP1,LowBiocharCost baseline,Central Asia,ammonia,gas,gas,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
0.0,0.0,0.0,0.0,0.0,0.0047035,0.037350610000000006,,0.25268753,0.35415972,0.446283445,0.511686475,0.5635323951,0.593407409,0.60018689,0.60098214,0.59955034,0.5938513000000001,0.58135782,0.56451601,0.5452769,SSP1,LowBiocharCost baseline,Central Asia,ammonia,hydrogen,hydrogen,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
11.7456,22.6295,26.9023,29.1285,31.13757,31.694390000000002,32.97132,,30.4636,29.076162,27.770236000000004,25.7709597,23.3856474,21.186103699999997,19.3892192,17.847424699999998,16.4411234,15.104459399999998,13.7948599,12.531857500000001,11.2898078,SSP1,LowBiocharCost baseline,China,ammonia,coal,coal,ammonia,missing,missing,missing,missing,missing,missing,Mt NH3
