1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.0,0.0,8.63505E-5,0.0,,0.00894056,0.0225615,0.0208716,0.0140512,0.00796203,0.00682577,0.00673435,0.0129584,0.0177337,0.0178376,0.0144521,0.0105332,0.0086579,SSP1,LowGCAMManurePrice baseline,USA,refining,biomass liquids,BTL with hydrogen,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0386915,0.04123881,0.03958212,,0.10256262,0.26911816,0.43296399,0.54414905,0.601064951,0.638795555,0.644346,0.6533,0.6720944799999999,0.69843897,0.7234407,0.74186906,0.75290553,SSP1,LowGCAMManurePrice baseline,USA,refining,biomass liquids,FT biofuels,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0114843,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSP1,LowGCAMManurePrice baseline,USA,refining,biomass liquids,FT biofuels CCS level 1,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.00899435,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSP1,LowGCAMManurePrice baseline,USA,refining,biomass liquids,FT biofuels CCS level 2,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0123897,0.0358294,0.251892,0.2960703,0.29276334000000004,0.26409888,,0.36186578,0.58217015,0.74954574,0.8365991500000001,0.8689902810000001,0.878204175,0.8248845,0.756272,0.71493778,0.7035488,0.7065376999999999,0.71029561,0.70615209,SSP1,LowGCAMManurePrice baseline,USA,refining,biomass liquids,biodiesel,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.00965978,0.00927784,,0.22384300000000001,0.7922891000000001,1.3631126199999999,1.75573448,1.9491135099999999,2.067605141,2.071719,2.0737567,2.0996946000000003,2.15306,2.2115538,2.2578118,2.2854912,SSP1,LowGCAMManurePrice baseline,USA,refining,biomass liquids,cellulosic ethanol,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0463716,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSP1,LowGCAMManurePrice baseline,USA,refining,biomass liquids,cellulosic ethanol CCS level 1,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0240083,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SSP1,LowGCAMManurePrice baseline,USA,refining,biomass liquids,cellulosic ethanol CCS level 2,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.325437,0.941609,1.31053,1.5501399999999999,1.5289397,1.3809475,,1.2757189,1.6927817000000003,2.0720415,2.3153371,2.42581582,2.526113051,2.479881,2.4071852000000002,2.3686583,2.3776956,2.4041955,2.4209018,2.4144512,SSP1,LowGCAMManurePrice baseline,USA,refining,biomass liquids,corn ethanol,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.00107649,0.00103477,,0.05353066,0.20810802,0.36375557300000005,0.46629756999999994,0.515490714,0.5421887209,0.5341988999999999,0.50866677,0.46897329,0.42809545,0.39447362999999996,0.36861457999999997,0.34485187,SSP1,LowGCAMManurePrice baseline,USA,refining,coal to liquids,coal to liquids,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.00151635,0.00145728,,0.11584827,0.48024670999999997,0.87050024,1.159302598,1.3386840880000002,1.4831990908000001,1.566621,1.7219016999999999,1.93722219,2.1630473,2.3447077000000003,2.4477564000000003,2.4764169099999997,SSP1,LowGCAMManurePrice baseline,USA,refining,gas to liquids,gas to liquids,refining,missing,missing,missing,missing,missing,missing,EJ
31.766,39.1979,34.8561,33.9523,34.68036,34.307644,32.041479,,27.839274999999997,25.640431000000003,23.868364999999997,22.9224038,22.5181467,22.214262,22.544924,22.897237000000004,23.0659581,23.069199,23.064187999999998,23.136929000000002,23.240002000000004,SSP1,LowGCAMManurePrice baseline,USA,refining,oil refining,oil refining,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,1.21901E-5,2.52055E-4,,7.18773E-4,0.00108103,0.00137447,0.00147856,0.00141134,0.00150477,0.00172158,0.00197666,0.00216904,0.00222205,0.00215361,0.00205809,0.0020445,SSP1,LowGCAMManurePrice baseline,Africa_Eastern,refining,biomass liquids,BTL with hydrogen,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.00140187,0.0032397299999999997,0.0088076,,0.06167515,0.10934197,0.164736194,0.217945113,0.2593233749,0.29385299029999995,0.323496648,0.34857691500000004,0.36978252,0.3869553,0.40050629,0.41015546,0.41512166,SSP1,LowGCAMManurePrice baseline,Africa_Eastern,refining,biomass liquids,FT biofuels,refining,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,5.39361E-8,2.74164E-7,1.9306868E-6,,3.26725811E-5,9.718590359999998E-5,2.200378725E-4,3.6353971615E-4,5.1587602566E-4,7.061511492E-4,9.547203275E-4,0.001260930173,0.00160777135,0.00196906658,0.00232726454,0.0026768084399999997,0.0030312239700000005,SSP1,LowGCAMManurePrice baseline,Africa_Eastern,refining,biomass liquids,biodiesel,refining,missing,missing,missing,missing,missing,missing,EJ
