1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0012925,0.00210251,0.00815307,0.01597181723,0.02577357,-0.721471636,-1.7510765794899998,-2.8390484376000003,-4.2394104117,excess,excess,Africa_Eastern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
6.61901E-4,0.00468252,0.0126143,0.02066080882,0.02867471,0.0392465477,0.048217356703,0.054243625090000004,0.058603011979999994,excess,excess,Africa_Eastern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00613637,0.011278861099999999,0.01678665,0.02359064,0.030897601089999997,0.039436563169999994,0.04945035521999999,excess,excess,Africa_Eastern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.00117369,0.00361098,0.0350802,0.0543144,0.0709115,0.0862886,0.101786,0.107806,0.11218,excess,excess,Africa_Eastern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,excess,excess,Africa_Eastern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00217662,0.0182666,0.047201,0.100364,0.200531,0.334628,0.505952,excess,excess,Africa_Eastern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0092828,0.0284467,0.1102937,0.1415636,0.14649,0.1522667,0.1408389,0.1229666,0.1158274,excess,excess,Africa_Eastern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0287641,0.0661499,0.150134,0.29428,0.476269,0.674552,0.888711,excess,excess,Africa_Eastern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,5.21026E-5,0.0302895459,0.09076225909999999,0.1577938911,0.2622600811,0.47895735109999993,0.8169812141,1.2966559140000002,excess,excess,Africa_Eastern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,1.03005E-5,0.065466903,0.171734003,0.300387913,0.487568613,0.825772013,1.288412731,1.8672209199999998,excess,excess,Africa_Eastern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00196384,0.003556276,0.0064951,-0.15594889016799998,-0.299903007843,-0.540346665434,-0.8414516825799999,excess,excess,Africa_Northern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.00796429,0.0458413,0.0870629,0.10079434000000001,0.11714399,0.12807469594624998,0.12796315593989996,0.124373864808,0.117112167352,excess,excess,Africa_Northern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.13579629999999998,0.482397,1.116578,1.274349,1.508829,1.6669829063499997,1.68355824605,1.7756727376,1.8575594101000001,excess,excess,Africa_Northern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00886284,0.0178388,0.0306222,0.0414954,0.0522462,0.0674279,0.0750067,excess,excess,Africa_Northern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0408229,0.0516283,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,excess,excess,Africa_Northern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00108671,0.00601049,0.0176431,0.0316471,0.0480282,0.0809598,0.122109,excess,excess,Africa_Northern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.117712,0.127327,0.2387769,0.24589889999999998,0.316189,0.3439467,0.3603323,0.419094,0.45087299999999997,excess,excess,Africa_Northern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0711614,0.219961,0.321908,0.429478,0.638565,0.824996,1.0035,excess,excess,Africa_Northern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,7.19924E-6,0.022175726849999997,0.06531976710000001,0.1479235017,0.21712184069999999,0.2646725647,0.3573897333,0.46332160510000003,excess,excess,Africa_Northern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0028798,0.047063414,0.08044958999999999,0.14320632,0.21331477000000001,0.30422236,0.47838983599999996,0.689855196,excess,excess,Africa_Northern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,8.40943E-4,0.0011843919999999998,0.00195413,-0.0321766938705,-0.066217813518,-0.156028892523,-0.325647185937,excess,excess,Africa_Southern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0213304,0.0204676,0.0387961,0.050648210000000006,0.07410155,0.0929303347109,0.103857440873,0.12570763523999998,0.15601130450999998,excess,excess,Africa_Southern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0041616150000000005,0.0353852,0.043991100000000005,0.0640371,0.077979398888,0.08799053601,0.12017138776000001,0.1714673611,excess,excess,Africa_Southern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,3.71043E-4,0.00117724,0.00355965,0.00622355,0.010198,0.0207573,0.0352279,excess,excess,Africa_Southern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0548817,0.120117,0.175234,0.188839,0.202445,0.216051,0.229657,0.243262,0.256868,excess,excess,Africa_Southern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,3.5649E-5,3.15671E-4,0.00138587,0.00277833,0.00492127,0.0121246,0.0260881,excess,excess,Africa_Southern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.00254618,0.00617975,0.0536846,0.0959675,0.19945390000000002,0.27047540000000003,0.3244583,0.47804899999999995,0.6436126,excess,excess,Africa_Southern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0406568,0.0854088,0.154421,0.256086,0.424174,0.606453,0.816515,excess,excess,Africa_Southern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,1.12E-5,6.34425351E-4,0.0016685327619999997,0.004367045231999999,0.006974583531999999,0.011050599532,0.027033871532,0.06316223071,excess,excess,Africa_Southern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,2.20001E-6,5.7425938E-4,0.0019340981100000002,0.00663399781,0.012755515509999999,0.024005073510000002,0.06728975575,0.15649283282999998,excess,excess,Africa_Southern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
1.69199E-4,6.156E-4,0.00194473,0.003762477,0.00912806,-0.316647474345,-0.68793568095,-1.24580759101,-2.0959075926,excess,excess,Africa_Western,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
4.69068E-4,0.00274717,0.00166561,0.0026323979999999998,0.0051954259999999995,0.008363981379579999,0.0105508227936,0.013522915670000002,0.017078854744,excess,excess,Africa_Western,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.02665792,0.0733212,0.169736,0.2082077,0.342845,0.48792972576000004,0.6025975174,0.7910076063,1.0359066218999997,excess,excess,Africa_Western,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00175342,0.00594355,0.0194418,0.0367916,0.0610794,0.0952563,0.130134,excess,excess,Africa_Western,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0804331,0.108752,0.160889,0.203657,0.246425,0.289193,0.331962,0.37473,0.417498,excess,excess,Africa_Western,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.70882E-4,0.0017031,0.00893017,0.0216328,0.0439909,0.0886174,0.159513,excess,excess,Africa_Western,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0167247,0.0221465,0.03462023,0.03939252,0.0715075,0.0967963,0.1203902,0.17348990000000003,0.2137424,excess,excess,Africa_Western,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0279396,0.0722578,0.134957,0.247926,0.485679,0.828372,1.29552,excess,excess,Africa_Western,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,1.95E-5,0.00712652921,0.018608559710000003,0.05286108191000001,0.08939316691,0.13987691691,0.24682947691,0.4391217788,excess,excess,Africa_Western,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,9.0E-6,0.004050330800000001,0.0144599208,0.05500778380000001,0.11970846379999998,0.23503365379999996,0.44781061350000007,0.7466518830000001,excess,excess,Africa_Western,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.00187915,0.00266559,0.003627672,0.004699007,-0.084501362391,-0.211857504346,-0.45368707189,-0.7295408686,excess,excess,Australia_NZ,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
