,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0,0.0,0.181193,0.242234,0.258766,0.418747,0.474233,excess,excess,AK,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,EJ_or_Share
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excess,excess,AK,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,Mt
2,0.0,0.0,0.0,0.00226983,0.0298191,0.171594,0.306499,0.538283,0.85787,excess,excess,AK,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,Mt
3,0.0,0.0,0.0,0.00189002,0.00431168,0.00748163,0.0175816,0.0420718,0.135055,excess,excess,AK,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,Mt
4,0.0,0.0,0.0,0.00037225,0.0013145,0.0102864,0.0301517,0.0774638,0.248581,excess,excess,AK,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,Mt
5,0.0,0.0,1.6538400000000001e-18,2.1117700000000002e-18,0.000219958,0.0013565,0.00194667,0.00262902,0.00307561,excess,excess,AK,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,EJ
6,0.0108474,0.017128,0.00769012,0.00796331,0.0107774,0.0130824,0.0148106,0.0172727,0.0189921,excess,excess,AK,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,EJ
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excess,excess,AK,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excess,excess,AK,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,EJ
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excess,excess,AK,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
10,0.0,0.0,0.00327175,0.010799,0.0350506,0.0432157,0.0451072,0.0614838,0.0635675,excess,excess,AK,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,EJ
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excess,excess,AK,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
12,0.0,0.0,0.0,0.00232803,0.193476,0.271947,0.316892,0.549377,0.766846,excess,excess,AK,missing,missing,missing,missing,missing,missing,carbon-storage,missing,missing,missing,MtC
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48701e-08,1.66951e-06,excess,excess,AK,missing,missing,missing,missing,missing,missing,coal to liquids,missing,missing,missing,EJ
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excess,excess,AK,missing,missing,missing,missing,missing,missing,coal to liquids-fixed-output,missing,missing,missing,EJ
15,0.0004433,0.0005935,0.000415642,0.000422921,0.000423581,0.000448621,0.000478221,0.000491662,0.000528879,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm cooking,missing,missing,missing,EJ
16,0.0001986,0.0005012,0.000435999,0.000432502,0.000445613,0.000464712,0.000483781,0.000505893,0.000529075,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm cooling,missing,missing,missing,EJ
17,0.0281321,0.0191924,0.0164555,0.0163986,0.0163561,0.0171899,0.0180326,0.0186652,0.0197901,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm heating,missing,missing,missing,EJ
18,0.0022874,0.0021134,0.00199081,0.00202461,0.00206328,0.00218777,0.00232217,0.00239935,0.00253727,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm hot water,missing,missing,missing,EJ
19,0.0452007,0.0396061,0.0316189,0.0321277,0.0340082,0.0357536,0.0374661,0.0389835,0.040396,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm lighting,missing,missing,missing,petalumen-hours
20,0.0008271,0.0010368,0.00184044,0.00186619,0.00195511,0.00205218,0.00214745,0.00223156,0.00231081,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm non-building,missing,missing,missing,EJ
21,0.0006188,0.0010143,0.00115171,0.00117285,0.0012393,0.00131551,0.00139049,0.00145634,0.00151935,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm office,missing,missing,missing,EJ
22,0.0014005,0.002341,0.00933321,0.00947865,0.00991935,0.0104373,0.0109466,0.0113859,0.0118051,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm other,missing,missing,missing,EJ
23,0.0007657,0.0023177,0.00288358,0.00292876,0.00307583,0.00323585,0.00339128,0.00352854,0.00365293,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm refrigeration,missing,missing,missing,EJ
24,0.0004249,0.000906,0.00100453,0.00101956,0.00107008,0.00112475,0.00117829,0.00122528,0.00126794,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm ventilation,missing,missing,missing,million km3
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excess,excess,AK,missing,missing,missing,missing,missing,missing,comm-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
26,0.00781089,0.0012203,0.00574623,0.00556263,0.0056161,0.00593364,0.00611429,0.0063834,0.006148,excess,excess,AK,missing,missing,missing,missing,missing,missing,delivered biomass,missing,missing,missing,EJ
27,0.0,0.0,1.12248e-06,3.56524e-06,1.74327e-05,5.52842e-05,0.000100973,0.000190813,0.000233075,excess,excess,AK,missing,missing,missing,missing,missing,missing,distributed_solar,missing,missing,missing,EJ
28,0.0136552,0.0179787,0.0186462,0.0188177,0.0208692,0.0229013,0.0247153,0.0269941,0.0279812,excess,excess,AK,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,missing,EJ
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excess,excess,AK,missing,missing,missing,missing,missing,missing,elect_td_bld-fixed-output,missing,missing,missing,EJ
30,0.00246441,0.00415012,0.00241392,0.00214699,0.00247314,0.00242404,0.00224051,0.00241012,0.00294941,excess,excess,AK,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,missing,EJ
31,0.0,0.0,0.000135907,0.000710021,0.00212395,0.00359365,0.0047186,0.00582155,0.0069623,excess,excess,AK,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,missing,EJ
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023082,0.00359083,excess,excess,AK,missing,missing,missing,missing,missing,missing,gas to liquids,missing,missing,missing,EJ
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,excess,excess,AK,missing,missing,missing,missing,missing,missing,gas to liquids-fixed-output,missing,missing,missing,EJ
