1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0128577,0.0220477,0.0575415,0.04507072,0.06693618,0.04118960000000001,0.0674284,high,high,USA,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0445233,0.0837129,0.144165,0.172808,0.271036,0.2788,0.471148,high,high,USA,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.458524,0.812073,1.62846,7.33903,10.5821,14.1848,16.7273,high,high,USA,backup_electricity,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0218958,0.0199604,0.0265457,0.129773,0.0885096,0.189683,0.195586,high,high,USA,biogas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,-0.900086,-0.820526,-1.09123,-5.33467,-3.63842,-7.79743,-8.04009,high,high,USA,biogas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.00986624,0.0151519,0.0306176,0.153556,0.255996,0.534091,0.727885,high,high,USA,csp_backup,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
9.16221,8.10091,9.73787,10.1313,10.6074,10.1848,10.3104,9.55146,10.1566,high,high,USA,gas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.844259,-1.0095200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high,high,USA,gas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.0,0.0,0.0,-0.1633563,-0.2597124,-0.37503299999999995,high,high,Africa_Eastern,CDR_regional,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.03403108,0.0926729,0.21179599999999998,0.42889749999999993,0.24484115799999998,0.25011568,0.2932845,high,high,Africa_Eastern,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.015959,0.0405844,0.0894425,0.17553,0.280348,0.454244,0.672692,high,high,Africa_Eastern,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0118274,0.00133626,0.0632956,0.1324942,0.21959849999999997,0.31128849999999997,0.38882911,0.4540563100000001,0.4890309500000001,high,high,Africa_Eastern,N fertilizer,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0529132,0.303417,0.922787,1.91286,3.42808,4.89979,6.18435,high,high,Africa_Eastern,backup_electricity,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.00431213,0.00665153,0.0106462,0.0177804,0.0333052,0.046852,0.0637404,high,high,Africa_Eastern,biogas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.32455585589999997,0.8863077861999998,1.8384873364000003,3.1509780092000006,5.213039058400001,6.746685826499998,8.450535478300004,high,high,Africa_Eastern,biorefining,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.299,0.725,1.33855,1.76517,2.46079,3.3913,2.948709,3.1365659999999997,3.498499,high,high,Africa_Eastern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0113065,0.024432354,0.038905286,0.044517696,0.054980473,0.069375733,0.0839001,0.1053284778,0.13481812640000002,high,high,Africa_Eastern,comm heating,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.8068150000000001,2.14949878,2.458101125,2.503903962,2.692524348,2.6429903340000003,2.3885183740000007,2.05426927,1.83962098,high,high,Africa_Eastern,comm others,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
5.33494E-4,5.082416E-4,5.479892E-4,6.304536E-4,7.900843E-4,0.0010036429,0.0011670663,0.0012559181,0.0013319090999999999,high,high,Africa_Eastern,desalinated water,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
