1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
2.50413,6.07188,11.1546,14.7077,20.5079,28.2269,38.765,53.0248,72.0893,innovation-DACHubs-l,500Mt-CostDecrease,Africa_Eastern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
33.1879,72.1022,100.443,107.33,113.828,119.514,124.423,128.603,131.813,innovation-DACHubs-l,500Mt-CostDecrease,Africa_Northern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
2.39525,4.9915,6.34425,7.89627,10.243,13.0801,16.8886,22.0561,28.8977,innovation-DACHubs-l,500Mt-CostDecrease,Africa_Southern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
8.35825,12.8808,18.1507,22.6809,32.278,44.848,61.5263,83.5103,112.609,innovation-DACHubs-l,500Mt-CostDecrease,Africa_Western,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
9.45778,11.5822,11.9563,13.0499,14.0857,15.0455,15.9865,16.9576,17.9101,innovation-DACHubs-l,500Mt-CostDecrease,Australia_NZ,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
34.0103,51.0203,63.1337,68.4186,73.9111,78.3446,81.9725,84.4842,86.0968,innovation-DACHubs-l,500Mt-CostDecrease,Brazil,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
12.8504,15.5723,12.6013,13.4916,14.4985,15.5031,16.5017,17.4643,18.3724,innovation-DACHubs-l,500Mt-CostDecrease,Canada,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
12.4933,17.7249,20.2637,23.3776,26.5577,29.5167,32.3421,34.985,37.3143,innovation-DACHubs-l,500Mt-CostDecrease,Central America and Caribbean,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
25.6017,15.6084,20.7378,23.9722,27.1983,29.6843,31.5507,32.9658,33.8758,innovation-DACHubs-l,500Mt-CostDecrease,Central Asia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
255.449,1290.29,1720.78,1622.53,1536.75,1461.94,1389.43,1317.23,1246.84,innovation-DACHubs-l,500Mt-CostDecrease,China,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
