,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,1.0,0.474694,0.127432,0.116446,0.106408,0.111812,0.143329,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,1975$/GJ
1,0.0,0.0,0.206403,0.106403,0.0993027,0.122868,0.10983,0.103425,0.108481,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,1975$/kg
2,0.0,0.0,0.336304,0.250334,0.147959,0.135537,0.125776,0.132626,0.17028,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,1975$/kg
3,0.206422,0.21168,0.336304,0.342355,0.314441,0.29485,0.280701,0.286182,0.29477,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,1975$/kg
4,0.0,0.0,0.206773,0.266281,0.248534,0.226157,0.211054,0.21134,0.210084,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,1975$/kg
5,-3.50325e-51,-1.125,-5.56645e-23,9.22975e-10,3.44747e-09,1.83193e-08,2.54187e-08,3.27365e-08,3.86014e-08,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,1975$/GJ
6,8.71699,8.46752,4.81938,6.06387,6.88156,7.5265,7.92431,8.48016,8.79896,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,1975$/GJ
7,0.0033073,0.0053824,0.00942969,0.0113571,0.00778061,0.010478,0.0127873,0.0135926,0.0168694,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,1975$/GJ
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
10,0.0,0.0,10.5979,8.90378,6.66437,6.37374,6.56302,5.59613,5.46693,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,1975$/GJ
11,0.0,0.0,0.0,0.00326868,0.010839,0.0346682,0.0427329,0.0433601,0.0561651,innovation-DACHubs,high,AK,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
