,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0,0.00191049,0.00443071,0.00856599,0.0154143,0.024459,0.035124,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
1,0.0012925,0.00210251,0.00815307,0.0140535,0.0214657,0.0323481,0.0470416,0.0584462,0.0644329,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
2,0.0,0.0,5.49296e-05,4.94949e-05,6.19355e-05,7.34927e-05,7.81282e-05,7.17878e-05,6.23997e-05,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
3,0.0,0.0,0.0,0.00204171,0.00421465,0.00722833,0.0117935,0.0181563,0.0270216,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
4,0.000661901,0.00468252,0.0126142,0.0186334,0.0243256,0.0315835,0.0419701,0.0557571,0.0743448,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
5,0.0,0.0,9.31489e-06,1.454e-05,2.61295e-05,4.32228e-05,6.44074e-05,8.31875e-05,0.000100748,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
6,0.0,0.0,0.00189441,0.00452074,0.00815592,0.0143485,0.0253571,0.0427471,0.0682558,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
7,0.0,0.0,0.00424195,0.00677662,0.00855909,0.0101437,0.011627,0.012906,0.0136714,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
8,0.00117369,0.00361098,0.0350802,0.0543837,0.0707535,0.0856391,0.0979308,0.103053,0.107821,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
9,0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
10,0.0,0.0,0.000271835,0.000598998,0.00136832,0.0026716,0.0047198,0.00804543,0.0123849,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
11,0.0,0.0,0.00217662,0.0183502,0.0468228,0.0976119,0.176362,0.285797,0.435088,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
12,0.0,0.0,0.0296021,0.0516866,0.0636034,0.0845024,0.117347,0.142646,0.177716,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
13,0.0092828,0.0284467,0.0806916,0.090109,0.0821175,0.0740725,0.0667969,0.0542653,0.0464696,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
14,0.0,0.0,0.028764,0.0662229,0.149806,0.292621,0.470478,0.678672,0.911522,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
15,0.0,0.0,1.22088e-05,0.000188437,0.00135873,0.00600976,0.0193365,0.0469247,0.09652,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
16,0.0,5.21026e-05,0.030238437,0.090336737,0.152236137,0.234286137,0.351964137,0.5037054,0.6767327000000001,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
17,0.0,0.0,3.89e-05,0.000460384,0.003336104,0.016526504,0.060351404,0.1627974039999999,0.359063504,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
18,0.0,1.03005e-05,0.06500202,0.16827102,0.28341602,0.42974902,0.62535202,0.8627721,1.112527,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
19,0.0,0.0,0.000253662,0.002368262,0.009598762,0.030498162,0.081656562,0.1784546,0.3450769999999999,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,wind,wind_offshore,electricity,missing,missing,missing,missing,missing,missing,EJ
20,0.0,0.0,0.00021112,0.00149683,0.00590229,0.01935839,0.05360289,0.11943419,0.2292630699999999,innovation-maintain-l,500Mt-CostDecrease,Africa_Eastern,missing,wind,wind_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
21,0.0,0.0,0.0,0.000436276,0.00127462,0.00224425,0.00331819,0.00430674,0.0048796,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
22,0.0,0.0,0.00196384,0.00309946,0.00532073,0.00713093,0.00843667,0.00837781,0.00738028,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
23,0.0,0.0,4.72148e-06,4.03324e-06,3.65364e-06,3.48228e-06,3.29313e-06,2.75273e-06,2.36991e-06,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
24,0.0,0.0,0.0,0.00410525,0.00960465,0.0148,0.0198889,0.0254479,0.0308434,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
25,0.00796429,0.0458413,0.0870627,0.0966125,0.107427,0.114899,0.119966,0.124538,0.128264,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
26,0.0,0.0,0.000299112,0.000350002,0.000408296,0.000471195,0.000533497,0.00053196,0.000538943,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
27,0.0752972,0.198004,0.547996,0.672236,0.872846,1.08098,1.29964,1.56028,1.80853,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
28,0.0604991,0.284393,0.568582,0.601347,0.635851,0.636551,0.612592,0.582162,0.54424,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
29,0.0,0.0,0.00126108,0.000985373,0.000904972,0.000881403,0.000861034,0.000835847,0.000814135,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,gas,gas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
30,0.0,0.0,0.00886283,0.0178079,0.0306271,0.0422355,0.0522176,0.0605461,0.0621389,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
31,0.0408229,0.0516283,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
32,0.0,0.0,0.000120562,0.000249753,0.000427246,0.000658175,0.000945058,0.00129896,0.00173112,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
33,0.0,0.0,0.00108671,0.00599104,0.017659,0.0329209,0.0494676,0.0690368,0.0893063,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
34,0.0,0.0,0.0560319,0.0744442,0.137941,0.192884,0.253849,0.326567,0.392355,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
35,0.117712,0.127327,0.182745,0.171429,0.177167,0.175874,0.174292,0.168522,0.16809,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
36,0.0,0.0,0.0711614,0.220078,0.321863,0.42082,0.521312,0.622145,0.73874,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
37,0.0,0.0,1.44014e-05,1.44014e-05,1.44014e-05,1.44014e-05,1.44014e-05,0.0,0.0,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,solar,CSP,electricity,missing,missing,missing,missing,missing,missing,EJ
38,0.0,0.0,4.18724e-06,2.67536e-05,0.000203132,0.000848088,0.00245505,0.00561397,0.0102599,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
39,0.0,7.19924e-06,0.02214281,0.06499741,0.14712201,0.22696271,0.29945301,0.3722605,0.4169011,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
40,0.0,0.0,1.43282e-05,7.2453e-05,0.0005406,0.00252204,0.00826735,0.0210728499999999,0.0412356218,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
41,0.0,0.0028798,0.0466506,0.0782433999999999,0.1331316,0.1905237,0.2481029,0.2930494,0.3252678,innovation-maintain-l,500Mt-CostDecrease,Africa_Northern,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
