1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.0,0.0,0.0114827,0.026455,0.0399973,0.0518756,innovation-maintain,high,Africa_Eastern,missing,biomass,biomass (IGCC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0019127,0.00445128,0.00638925,0.0103167,0.014468,0.0182243,innovation-maintain,high,Africa_Eastern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,3.23655E-4,0.00264088,0.00890315,0.0224386,innovation-maintain,high,Africa_Eastern,missing,biomass,biomass (conv CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0012925,0.00210251,0.0081531,0.0141059,0.0213305,0.0250329,0.0306921,0.0307674,0.0288342,innovation-maintain,high,Africa_Eastern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,5.49302E-5,4.96523E-5,6.09226E-5,7.0585E-5,7.41244E-5,6.50848E-5,5.74229E-5,innovation-maintain,high,Africa_Eastern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,5.2986E-5,4.37045E-4,0.00134024,0.00302585,innovation-maintain,high,Africa_Eastern,missing,coal,coal (IGCC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0020429,0.00424985,0.00731211,0.0104746,0.0129548,0.0146453,innovation-maintain,high,Africa_Eastern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,6.49421E-5,4.76267E-4,0.00131074,0.00272517,innovation-maintain,high,Africa_Eastern,missing,coal,coal (conv pul CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
6.61901E-4,0.00468252,0.0126142,0.0186386,0.0244374,0.0317964,0.0367002,0.0384515,0.0378114,innovation-maintain,high,Africa_Eastern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,9.31491E-6,1.45604E-5,2.59383E-5,4.22473E-5,7.74887E-5,1.08633E-4,1.42424E-4,innovation-maintain,high,Africa_Eastern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.00149228,0.0051623,0.0103983,0.0173561,innovation-maintain,high,Africa_Eastern,missing,gas,gas (CC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0018944,0.00452108,0.00820241,0.0125455,0.0171906,0.022145,0.0273542,innovation-maintain,high,Africa_Eastern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00424193,0.00677627,0.00858743,0.00952915,0.00845024,0.00685461,0.00503789,innovation-maintain,high,Africa_Eastern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.00117369,0.00361098,0.0350801,0.0543857,0.0709135,0.0863456,0.101848,0.107984,0.112608,innovation-maintain,high,Africa_Eastern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,innovation-maintain,high,Africa_Eastern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.71834E-4,5.97261E-4,0.00138023,0.00339049,0.00436271,0.00615936,0.00846911,innovation-maintain,high,Africa_Eastern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00217661,0.0183546,0.0471826,0.100545,0.200941,0.336552,0.51221,innovation-maintain,high,Africa_Eastern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0234359,0.042868,0.0492568,0.0537584,innovation-maintain,high,Africa_Eastern,missing,refined liquids,refined liquids (CC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.029602,0.0516461,0.0640719,0.0595042,0.0540886,0.0487957,0.0494213,innovation-maintain,high,Africa_Eastern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0092828,0.0284467,0.0806914,0.0900287,0.0823404,0.0689561,0.0433726,0.025004,0.0153202,innovation-maintain,high,Africa_Eastern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.028764,0.0661504,0.150115,0.294286,0.476062,0.674404,0.88979,innovation-maintain,high,Africa_Eastern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.22087E-5,1.88356E-4,0.00137354,0.00626625,0.0235737,0.0586098,0.118612,innovation-maintain,high,Africa_Eastern,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,5.21026E-5,0.030238236999999998,0.090402837,0.153075637,0.239058737,0.381801737,0.558415,0.7540345,innovation-maintain,high,Africa_Eastern,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,3.88998E-5,4.601888E-4,0.0033725288,0.017249228800000002,0.07419802880000001,0.2043750288,0.441935129,innovation-maintain,high,Africa_Eastern,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,1.03005E-5,0.06500172,0.16828672,0.28469372,0.43635572,0.66786172,0.9384598,1.214994,innovation-maintain,high,Africa_Eastern,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.5366E-4,0.0023692300000000004,0.00968589,0.03144939,0.09300089,0.20450423,0.38687666,innovation-maintain,high,Africa_Eastern,missing,wind,wind_offshore,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.11119E-4,0.001497229,0.005962299,0.020199599,0.065406699,0.150330299,0.28529118,innovation-maintain,high,Africa_Eastern,missing,wind,wind_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.00248013,0.00463128,0.00758438,0.0101277,innovation-maintain,high,Africa_Northern,missing,biomass,biomass (IGCC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,4.37972E-4,0.00126825,0.0016084,0.00219519,0.00317407,0.00413804,innovation-maintain,high,Africa_Northern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,7.14661E-5,4.06477E-4,0.00178312,0.00462403,innovation-maintain,high,Africa_Northern,missing,biomass,biomass (conv CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00196386,0.00311637,0.00523094,0.00518197,0.00616357,0.0065336,0.00649968,innovation-maintain,high,Africa_Northern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,4.72154E-6,4.05088E-6,3.5765E-6,3.54635E-6,5.07079E-6,4.54411E-6,4.18797E-6,innovation-maintain,high,Africa_Northern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,7.42385E-5,4.00594E-4,0.00142988,0.00310583,innovation-maintain,high,Africa_Northern,missing,coal,coal (IGCC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.00411882,0.00962229,0.0142282,0.016975,0.0198773,0.0215906,innovation-maintain,high,Africa_Northern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,9.15334E-5,4.45933E-4,0.00141102,0.00283588,innovation-maintain,high,Africa_Northern,missing,coal,coal (conv pul CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.00796429,0.0458413,0.0870629,0.0966557,0.107516,0.113511,0.109974,0.101371,0.0887075,innovation-maintain,high,Africa_Northern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.99114E-4,3.51088E-4,4.02384E-4,4.69151E-4,8.99431E-4,0.00109285,0.00130212,innovation-maintain,high,Africa_Northern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0265329,0.071968,0.16262,0.265012,innovation-maintain,high,Africa_Northern,missing,gas,gas (CC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0752972,0.198004,0.547996,0.672649,0.872887,1.01317,1.06305,1.14851,1.21812,innovation-maintain,high,Africa_Northern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0604991,0.284393,0.568582,0.601477,0.635925,0.625091,0.546695,0.463325,0.374557,innovation-maintain,high,Africa_Northern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00126108,9.82794E-4,9.05154E-4,9.83934E-4,0.00103889,9.0161E-4,7.64701E-4,innovation-maintain,high,Africa_Northern,missing,gas,gas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00886284,0.0178298,0.0306218,0.0414732,0.0523565,0.0676377,0.0753194,innovation-maintain,high,Africa_Northern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0408229,0.0516283,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,innovation-maintain,high,Africa_Northern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.20562E-4,2.49409E-4,4.27695E-4,7.67652E-4,0.0012238,0.00164074,0.00213878,innovation-maintain,high,Africa_Northern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00108671,0.00600579,0.0176459,0.0316134,0.048231,0.0815362,0.123309,innovation-maintain,high,Africa_Northern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0379714,0.0578485,0.109479,0.148828,innovation-maintain,high,Africa_Northern,missing,refined liquids,refined liquids (CC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0560319,0.0745463,0.13834,0.136014,0.143314,0.173992,0.188371,innovation-maintain,high,Africa_Northern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.117712,0.127327,0.182745,0.171341,0.177878,0.170084,0.159734,0.136039,0.115755,innovation-maintain,high,Africa_Northern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0711614,0.220089,0.3219,0.430393,0.640429,0.826875,1.00562,innovation-maintain,high,Africa_Northern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.44014E-5,1.44014E-5,1.44014E-5,1.44014E-5,1.44014E-5,0.0,0.0,innovation-maintain,high,Africa_Northern,missing,solar,CSP,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,4.18724E-6,2.67997E-5,2.02639E-4,8.38904E-4,0.00303741,0.0101898,0.0226007,innovation-maintain,high,Africa_Northern,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,7.19924E-6,0.02214281,0.06516960999999999,0.14718461,0.21309781,0.25108451,0.30852440000000003,0.3499388,innovation-maintain,high,Africa_Northern,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.43282E-5,7.25718E-5,5.392898E-4,0.0024949798,0.0103785798,0.0394750798,0.0935215516,innovation-maintain,high,Africa_Northern,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0028798,0.0466506,0.0783333,0.1331016,0.18576959999999998,0.24307179999999998,0.3266209,0.40952619999999995,innovation-maintain,high,Africa_Northern,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.78134E-4,0.001632824,0.008619344000000001,0.024154244000000002,0.056021844,0.14054231,0.25952362,innovation-maintain,high,Africa_Northern,missing,wind,wind_offshore,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.3468E-4,4.5027900000000004E-4,0.001493039,0.003216269,0.006200588999999999,0.014125869,0.026569289,innovation-maintain,high,Africa_Northern,missing,wind,wind_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,5.27478E-4,0.00101986,0.00209177,0.00352409,innovation-maintain,high,Africa_Southern,missing,biomass,biomass (IGCC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,8.09263E-5,2.71557E-4,3.61901E-4,5.03675E-4,9.36577E-4,0.00167834,innovation-maintain,high,Africa_Southern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,1.5946E-5,9.80219E-5,6.24286E-4,0.00224716,innovation-maintain,high,Africa_Southern,missing,biomass,biomass (conv CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,8.40944E-4,0.00111007,0.00168295,0.00186465,0.00214247,0.00283175,0.00385906,innovation-maintain,high,Africa_Southern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,8.52366E-5,7.75014E-5,6.11628E-5,6.37351E-5,9.25459E-5,8.33263E-5,7.27594E-5,innovation-maintain,high,Africa_Southern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,1.01883E-4,6.31107E-4,0.00346044,0.0105063,innovation-maintain,high,Africa_Southern,missing,coal,coal (IGCC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.00313631,0.0095519,0.0152318,0.0196671,0.0279347,0.0376371,innovation-maintain,high,Africa_Southern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,1.27561E-4,7.0001E-4,0.00332211,0.009204,innovation-maintain,high,Africa_Southern,missing,coal,coal (conv pul CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0213304,0.0204676,0.0387959,0.0477472,0.0645789,0.0772474,0.082457,0.0906308,0.0984066,innovation-maintain,high,Africa_Southern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,3.63695E-5,5.20586E-5,6.81584E-5,9.75794E-5,2.09966E-4,3.04264E-4,4.11439E-4,innovation-maintain,high,Africa_Southern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.00267488,0.00749567,0.0232328,0.0507082,innovation-maintain,high,Africa_Southern,missing,gas,gas (CC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,7.82675E-4,0.013924,0.0197551,0.0343956,0.0445292,0.0511615,0.0686096,0.0944296,innovation-maintain,high,Africa_Southern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.00337894,0.0214611,0.0244298,0.0296443,0.0305995,0.0290089,0.0282303,0.0272205,innovation-maintain,high,Africa_Southern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,3.71038E-4,0.00119163,0.00355481,0.0062088,0.0101739,0.0208352,0.0355205,innovation-maintain,high,Africa_Southern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0548817,0.120117,0.175234,0.188839,0.202445,0.216051,0.229657,0.243262,0.256868,innovation-maintain,high,Africa_Southern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,3.5129E-4,7.78284E-4,0.00134048,0.00296908,0.00449556,0.0066793,0.00935629,innovation-maintain,high,Africa_Southern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,3.56485E-5,3.20795E-4,0.00138219,0.00276883,0.00490507,0.0121922,0.0264528,innovation-maintain,high,Africa_Southern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.031609,0.0646802,0.158466,0.270757,innovation-maintain,high,Africa_Southern,missing,refined liquids,refined liquids (CC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0162387,0.0399432,0.109537,0.139744,0.160293,0.222331,0.290523,innovation-maintain,high,Africa_Southern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.00254618,0.00617975,0.0374453,0.0568536,0.0897085,0.0984598,0.0983846,0.0975167,0.0921795,innovation-maintain,high,Africa_Southern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0406567,0.0855025,0.154398,0.256459,0.424638,0.607296,0.817828,innovation-maintain,high,Africa_Southern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
