1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0146787,0.0245119,0.03969215,0.048597930000000004,0.06614905,0.0370326,0.0513164,innovation-maintain,low,USA,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0444442,0.0811414,0.116868,0.179491,0.2713,0.256904,0.373182,innovation-maintain,low,USA,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.458562,0.812182,4.37891,7.75712,11.1387,14.0441,14.8528,innovation-maintain,low,USA,backup_electricity,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0218986,0.019979,0.0959205,0.0823628,0.0931705,0.195837,0.210838,innovation-maintain,low,USA,biogas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,-0.9002,-0.821289,-3.94307,-3.38574,-3.83002,-8.05042,-8.66707,innovation-maintain,low,USA,biogas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.00986757,0.0151402,0.0821122,0.16821,0.280417,0.564846,0.773502,innovation-maintain,low,USA,csp_backup,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
9.16221,8.10091,9.73797,10.1326,9.98818,9.9715,10.0679,9.05204,8.3446,innovation-maintain,low,USA,gas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.844259,-1.0095200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,innovation-maintain,low,USA,gas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.0,0.0,-0.0890847,-0.1657205,-0.2635675,-0.3838521,innovation-maintain,low,Africa_Eastern,CDR_regional,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0340308,0.0926884,0.2153732,0.28961519799999996,0.25792431,0.26078186,0.30253959999999996,innovation-maintain,low,Africa_Eastern,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0159589,0.0406015,0.0908168,0.174543,0.284175,0.460896,0.687778,innovation-maintain,low,Africa_Eastern,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0118274,0.00133626,0.0632948,0.13258730000000002,0.2265707,0.30572484000000005,0.37509832000000004,0.44406445,0.48768385999999997,innovation-maintain,low,Africa_Eastern,N fertilizer,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
