1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.00191021,0.00442835,0.00856304,0.015414,0.0244639,0.0351281,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0012925,0.00210251,0.00815299,0.0140503,0.0214778,0.0323747,0.0470895,0.0584965,0.0644587,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,5.49501E-5,4.95033E-5,6.20509E-5,7.36206E-5,7.82389E-5,7.18452E-5,6.24255E-5,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.00204126,0.0042112,0.00722295,0.0117878,0.0181526,0.0270188,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
6.61901E-4,0.00468252,0.0126127,0.0186303,0.0243141,0.0315673,0.0419535,0.0557448,0.0743342,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,9.31383E-6,1.45371E-5,2.61423E-5,4.32446E-5,6.44329E-5,8.31979E-5,1.00739E-4,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00189432,0.00452031,0.00815098,0.0143398,0.0253486,0.042746,0.0682596,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00424178,0.00677606,0.00855593,0.0101396,0.0116234,0.0129036,0.0136695,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.00117369,0.00361098,0.0350791,0.0543807,0.0707346,0.0856202,0.0979203,0.103051,0.107821,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.71846E-4,5.99059E-4,0.00136742,0.00267025,0.00471842,0.00804521,0.012386,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00217643,0.0183473,0.0467814,0.0975345,0.176275,0.285742,0.435046,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0296007,0.0516824,0.0635623,0.0844616,0.117321,0.1426,0.177693,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0092828,0.0284467,0.0806898,0.0901053,0.0821012,0.0740555,0.0667784,0.0542265,0.0464512,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0287639,0.0662226,0.14977,0.292568,0.470436,0.678666,0.911532,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.22077E-5,1.88407E-4,0.0013571,0.006005,0.0193306,0.0469283,0.0965299,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,5.21026E-5,0.030236137,0.090325037,0.152144437,0.23413663699999998,0.35180363699999995,0.5035979,0.6766595,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,3.88965E-5,4.603125E-4,0.0033321024999999997,0.016513602500000002,0.0603348025,0.1628148025,0.359104906,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,1.03005E-5,0.06499772,0.16825372,0.28327072,0.42953372,0.6251437200000001,0.8626518,1.112456,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.53641E-4,0.0023679210000000003,0.009589471,0.030477071,0.081634971,0.17846583,0.34510855,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,wind,wind_offshore,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.111E-4,0.0014965800000000002,0.00589559,0.01934139,0.05358169,0.11943579,0.22927968999999998,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Eastern,missing,wind,wind_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,4.36312E-4,0.00127512,0.00224581,0.00332059,0.0043092,0.00488057,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00196404,0.00309927,0.00532911,0.00714657,0.00845372,0.0083886,0.0073839,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,4.72087E-6,4.03177E-6,3.66021E-6,3.48831E-6,3.29677E-6,2.75351E-6,2.3695E-6,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.00410551,0.00960423,0.0147999,0.0198892,0.0254496,0.0308451,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.00796429,0.0458413,0.0870634,0.0966133,0.107426,0.114899,0.119968,0.124543,0.128268,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.99094E-4,3.4993E-4,4.08792E-4,4.71765E-4,5.33928E-4,5.32081E-4,5.38879E-4,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0752972,0.198004,0.548027,0.672289,0.872882,1.08103,1.29971,1.56047,1.80873,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0604991,0.284393,0.568604,0.601377,0.635881,0.636584,0.612626,0.582207,0.544282,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0012606,9.85001E-4,9.04566E-4,8.81001E-4,8.60658E-4,8.35519E-4,8.13817E-4,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,gas,gas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0088636,0.0178094,0.0306276,0.0422362,0.0522185,0.0605486,0.0621405,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0408229,0.0516283,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.20554E-4,2.49738E-4,4.27194E-4,6.58097E-4,9.44952E-4,0.00129884,0.00173098,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00108682,0.00599169,0.0176587,0.0329205,0.0494676,0.0690416,0.0893103,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0560382,0.0744559,0.137909,0.192866,0.253833,0.326526,0.392321,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.117712,0.127327,0.182756,0.171448,0.177136,0.175862,0.174281,0.168485,0.168077,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0711634,0.220088,0.321865,0.420826,0.521318,0.622152,0.738753,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.44016E-5,1.44016E-5,1.44016E-5,1.44016E-5,1.44016E-5,0.0,0.0,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,solar,CSP,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,4.18768E-6,2.67564E-5,2.03124E-4,8.48083E-4,0.00245508,0.00561481,0.0102607,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,7.19924E-6,0.02214502,0.06500542000000001,0.14712292,0.22696842,0.29946682,0.3723018,0.41694570000000003,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.43297E-5,7.246060000000001E-5,5.405736E-4,0.0025220036000000003,0.0082674236,0.0210761236,0.0412385939,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0028798,0.0466537,0.07825009999999999,0.13313399999999997,0.19052739999999996,0.24810949999999996,0.2930735,0.3252893,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.78165E-4,0.001628255,0.008629655,0.025573155,0.057581255,0.11155829,0.18093910000000002,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,wind,wind_offshore,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.34694E-4,4.49389E-4,0.0014944289999999998,0.003374679,0.006305649,0.010749959,0.016141765000000002,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Northern,missing,wind,wind_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,8.06867E-5,2.69491E-4,5.24743E-4,9.29837E-4,0.00166588,0.00278785,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Southern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,8.40889E-4,0.00110702,0.00169047,0.00236999,0.00332551,0.00471771,0.00635905,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Southern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,8.52786E-5,7.71051E-5,6.36E-5,5.3387E-5,4.99778E-5,4.2991E-5,3.66703E-5,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Southern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.00312898,0.00944499,0.0170042,0.0277223,0.0458625,0.0723262,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Southern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0213304,0.0204676,0.0387897,0.047716,0.0642375,0.081888,0.105372,0.143827,0.198077,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Southern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,3.63671E-5,5.19451E-5,6.92706E-5,9.0209E-5,1.23744E-4,1.51651E-4,1.84814E-4,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Southern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,7.82675E-4,0.0139225,0.0197421,0.0341623,0.0530482,0.0810883,0.133652,0.210574,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Southern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.00337894,0.0214597,0.0244215,0.0295363,0.0329827,0.0356673,0.0396357,0.0434027,innovation-rhodium18b-l,500Mt-CostDecrease,Africa_Southern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
