1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0213837,0.0194331,0.0286105,0.0282978,0.0281937,0.0289466,0.0370147,0.040682,0.0427725,innovation-rhodium18b,high,Africa_Eastern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0193061,0.0185248,0.0285934,0.0281985,0.02778,0.028346,0.034746,0.0376552,0.0394737,innovation-rhodium18b,high,Africa_Northern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0180969,0.0177835,0.0296734,0.0295677,0.0292185,0.0301488,0.0382729,0.0419358,0.0441155,innovation-rhodium18b,high,Africa_Southern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0190805,0.0186745,0.0277412,0.0274668,0.0271686,0.028041,0.0359745,0.0395283,0.0417821,innovation-rhodium18b,high,Africa_Western,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0165085,0.01604,0.020089,0.019822,0.0196084,0.0201942,0.0274667,0.0307282,0.0325269,innovation-rhodium18b,high,Australia_NZ,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0172359,0.0172693,0.024209,0.0237041,0.0233676,0.0238366,0.0286521,0.0311242,0.0324705,innovation-rhodium18b,high,Brazil,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.020464,0.018817,0.0221272,0.0219369,0.021557,0.0219482,0.0288535,0.0320742,0.0338234,innovation-rhodium18b,high,Canada,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0232441,0.0207505,0.0294037,0.028781,0.0284328,0.0291948,0.036367,0.0395839,0.0413726,innovation-rhodium18b,high,Central America and Caribbean,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0177319,0.0178561,0.026666,0.0263994,0.0257622,0.0264339,0.0336155,0.0367797,0.0388636,innovation-rhodium18b,high,Central Asia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0167166,0.0150053,0.019443,0.0192559,0.0191713,0.019777,0.0283644,0.0331988,0.0362729,innovation-rhodium18b,high,China,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0199957,0.0198342,0.0304347,0.0300503,0.029749,0.0304436,0.0379857,0.0414557,0.0434843,innovation-rhodium18b,high,EU-12,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0194011,0.0185404,0.0303029,0.0296903,0.0291962,0.0297362,0.037583,0.0410421,0.0432229,innovation-rhodium18b,high,EU-15,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0191009,0.0194043,0.0281447,0.0277857,0.0270955,0.0275175,0.0340555,0.0368108,0.0385181,innovation-rhodium18b,high,Europe_Eastern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.020677,0.0199432,0.0306114,0.030266,0.0297878,0.0303972,0.0384199,0.0421931,0.044475,innovation-rhodium18b,high,Europe_Non_EU,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0196128,0.0193637,0.0297476,0.0288668,0.0283194,0.0288495,0.0359817,0.0394598,0.0415513,innovation-rhodium18b,high,European Free Trade Association,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.018346,0.0145703,0.0197248,0.0195951,0.0194496,0.0199189,0.0277212,0.0319017,0.0344101,innovation-rhodium18b,high,India,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0173383,0.0162917,0.0207756,0.0208025,0.0207962,0.0215722,0.0307506,0.0355759,0.0384745,innovation-rhodium18b,high,Indonesia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0146743,0.0147479,0.0220266,0.0218146,0.0217003,0.0223319,0.0319787,0.0369299,0.0397208,innovation-rhodium18b,high,Japan,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.020192,0.0184928,0.0289819,0.0284697,0.0279817,0.0284607,0.0355045,0.0387503,0.040836,innovation-rhodium18b,high,Mexico,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0201169,0.0201479,0.0346896,0.0338288,0.0325557,0.0328726,0.0396739,0.0425126,0.0442773,innovation-rhodium18b,high,Middle East,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0169772,0.0165802,0.0221546,0.0215773,0.0214357,0.0221316,0.0307874,0.035375,0.0382646,innovation-rhodium18b,high,Pakistan,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0182507,0.0181966,0.0264702,0.0258969,0.0252488,0.0258258,0.0327961,0.0356754,0.0376417,innovation-rhodium18b,high,Russia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0255158,0.0236521,0.0298272,0.0294178,0.0290143,0.0298028,0.0373508,0.0404419,0.0424687,innovation-rhodium18b,high,South Africa,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0196527,0.0207627,0.0301334,0.030131,0.0287948,0.0292865,0.035659,0.0382728,0.0397602,innovation-rhodium18b,high,South America_Northern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0197003,0.0189096,0.0284553,0.0280986,0.0276377,0.0283418,0.0356788,0.0389168,0.0408131,innovation-rhodium18b,high,South America_Southern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0170065,0.0162509,0.0211075,0.0207414,0.0203812,0.0208573,0.029491,0.0342664,0.03721,innovation-rhodium18b,high,South Asia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0180982,0.0164095,0.0211905,0.0209637,0.0206626,0.0209077,0.0298947,0.0356671,0.0397307,innovation-rhodium18b,high,South Korea,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0172343,0.0157142,0.0202832,0.0201813,0.0199874,0.0205113,0.029045,0.0335966,0.0362319,innovation-rhodium18b,high,Southeast Asia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0183869,0.0160892,0.0193391,0.0191782,0.0189308,0.0193267,0.0278809,0.0331505,0.0368011,innovation-rhodium18b,high,Taiwan,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0198243,0.0193153,0.0286611,0.0281063,0.0274021,0.0277882,0.0346529,0.0375767,0.0394395,innovation-rhodium18b,high,Argentina,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0193005,0.0187943,0.0281698,0.0280337,0.0277694,0.0285591,0.0358109,0.0390368,0.0409862,innovation-rhodium18b,high,Colombia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0235283,0.0223286,0.0235984,0.0233507,0.0510482,0.052057,0.051831,0.0562592,0.0564052,innovation-rhodium18b,high,AL,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
