1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0012925,0.00210251,0.00815309,0.01599372047,0.02581315,-0.31576967594,-0.9100634854,-1.7341527396,-2.9659148855,innovation-rhodium18b,low,Africa_Eastern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
6.61901E-4,0.00468252,0.012614,0.02067339167,0.02866431,0.0390735037275,0.047737474512,0.053661653979999994,0.05787214840000001,innovation-rhodium18b,low,Africa_Eastern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00613633,0.01128875855,0.01677953,0.02348271836,0.0306205479,0.0393711765,0.050366719399999996,innovation-rhodium18b,low,Africa_Eastern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.00117369,0.00361098,0.0350802,0.0543297,0.0708835,0.0864811,0.101951,0.108225,0.113234,innovation-rhodium18b,low,Africa_Eastern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,innovation-rhodium18b,low,Africa_Eastern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00217662,0.018298,0.0471432,0.101079,0.201727,0.339237,0.521447,innovation-rhodium18b,low,Africa_Eastern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0092828,0.0284467,0.1102937,0.1416887,0.1464103,0.1503042,0.1388202,0.12274070000000001,0.1201094,innovation-rhodium18b,low,Africa_Eastern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0287641,0.066121,0.150073,0.294237,0.47543,0.673897,0.890568,innovation-rhodium18b,low,Africa_Eastern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,5.21026E-5,0.0302895459,0.0908352251,0.15767131510000001,0.26327972510000003,0.4804204851,0.8268831480999999,1.3402904480000002,innovation-rhodium18b,low,Africa_Eastern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
0.0,1.03005E-5,0.065466903,0.171883663,0.300180643,0.488929643,0.8266705430000001,1.298802261,1.91494887,innovation-rhodium18b,low,Africa_Eastern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
