1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
2.50413,6.07188,11.1546,14.7077,20.5081,28.2275,38.7656,53.0279,72.0944,innovation-rhodium6b-h,1500Mt-CostDecrease,Africa_Eastern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
33.1879,72.1022,100.443,107.33,113.832,119.52,124.43,128.641,131.943,innovation-rhodium6b-h,1500Mt-CostDecrease,Africa_Northern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
2.39525,4.9915,6.34426,7.89627,10.2431,13.0802,16.8886,22.0583,28.9075,innovation-rhodium6b-h,1500Mt-CostDecrease,Africa_Southern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
8.35825,12.8808,18.1507,22.6809,32.2784,44.8489,61.5267,83.5156,112.626,innovation-rhodium6b-h,1500Mt-CostDecrease,Africa_Western,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
9.45778,11.5822,11.9563,13.0499,14.0858,15.0456,15.9864,16.9575,17.9083,innovation-rhodium6b-h,1500Mt-CostDecrease,Australia_NZ,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
34.0103,51.0203,63.1337,68.4185,73.9177,78.3539,81.9874,84.5801,86.5117,innovation-rhodium6b-h,1500Mt-CostDecrease,Brazil,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
12.8504,15.5723,12.6013,13.4916,14.4988,15.5035,16.5021,17.4663,18.3779,innovation-rhodium6b-h,1500Mt-CostDecrease,Canada,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
12.4933,17.7249,20.2638,23.3776,26.5583,29.5175,32.3427,34.99,37.3323,innovation-rhodium6b-h,1500Mt-CostDecrease,Central America and Caribbean,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
25.6017,15.6084,20.7378,23.9729,27.1985,29.6845,31.5506,32.9638,33.8645,innovation-rhodium6b-h,1500Mt-CostDecrease,Central Asia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
255.449,1290.29,1720.78,1622.53,1536.76,1461.95,1389.45,1317.23,1246.75,innovation-rhodium6b-h,1500Mt-CostDecrease,China,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
54.1222,45.3239,45.711,46.8483,47.5741,47.9595,47.9986,47.8287,47.5857,innovation-rhodium6b-h,1500Mt-CostDecrease,EU-12,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
238.425,254.589,209.905,215.44,220.518,225.223,229.281,233.179,236.265,innovation-rhodium6b-h,1500Mt-CostDecrease,EU-15,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
36.1586,18.9386,16.9302,17.8602,18.7983,19.5087,20.0524,20.4828,20.7441,innovation-rhodium6b-h,1500Mt-CostDecrease,Europe_Eastern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
35.7183,57.398,68.3799,70.722,72.933,74.7915,76.121,76.9931,77.5662,innovation-rhodium6b-h,1500Mt-CostDecrease,Europe_Non_EU,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
7.83395,6.8547,6.98509,7.38572,7.7594,8.10702,8.42542,8.71808,9.01417,innovation-rhodium6b-h,1500Mt-CostDecrease,European Free Trade Association,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
54.7149,161.912,284.51,353.88,408.145,456.093,500.375,540.918,576.565,innovation-rhodium6b-h,1500Mt-CostDecrease,India,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
14.1746,34.8361,51.0373,63.8348,74.8156,83.996,91.6724,97.6691,102.248,innovation-rhodium6b-h,1500Mt-CostDecrease,Indonesia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
106.2,87.6214,61.6238,61.1071,60.2629,59.2784,58.287,57.3046,56.207,innovation-rhodium6b-h,1500Mt-CostDecrease,Japan,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
26.7952,42.1587,39.3313,43.1379,47.1954,50.9286,54.2255,57.2074,59.8738,innovation-rhodium6b-h,1500Mt-CostDecrease,Mexico,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
56.4439,110.052,170.763,186.307,201.681,216.261,229.104,241.316,251.856,innovation-rhodium6b-h,1500Mt-CostDecrease,Middle East,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
8.6615,19.652,44.2231,51.782,63.5385,75.1153,87.1887,99.1121,110.252,innovation-rhodium6b-h,1500Mt-CostDecrease,Pakistan,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
100.39,59.8466,52.3004,54.0541,56.4722,58.151,59.4034,60.519,60.9728,innovation-rhodium6b-h,1500Mt-CostDecrease,Russia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
8.3898,12.3161,12.2445,13.5777,15.5289,17.1754,18.6562,20.0117,21.1787,innovation-rhodium6b-h,1500Mt-CostDecrease,South Africa,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
5.98413,6.71757,3.74815,3.65484,4.38129,5.09796,5.81539,6.49829,7.1225,innovation-rhodium6b-h,1500Mt-CostDecrease,South America_Northern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
9.09,17.6413,23.34,26.2704,29.4518,32.2243,34.6688,36.7958,38.6101,innovation-rhodium6b-h,1500Mt-CostDecrease,South America_Southern,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
1.105,8.228,11.4265,15.9343,21.3166,27.4728,34.9054,43.7794,54.3186,innovation-rhodium6b-h,1500Mt-CostDecrease,South Asia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
35.1958,53.8257,48.534,47.3312,46.1206,44.7713,43.2213,41.4883,39.5874,innovation-rhodium6b-h,1500Mt-CostDecrease,South Korea,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
58.2561,123.942,148.941,166.089,181.396,194.681,206.466,216.59,224.911,innovation-rhodium6b-h,1500Mt-CostDecrease,Southeast Asia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
19.4571,20.9187,15.9581,15.9406,15.9628,15.971,15.9772,16.0076,16.0498,innovation-rhodium6b-h,1500Mt-CostDecrease,Taiwan,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
3.86662,8.13487,10.2048,11.7519,13.1746,14.4844,15.6479,16.659,17.5168,innovation-rhodium6b-h,1500Mt-CostDecrease,Argentina,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
7.83889,12.4869,13.1837,14.9436,16.6587,18.2877,19.8289,21.2587,22.5111,innovation-rhodium6b-h,1500Mt-CostDecrease,Colombia,cement,cement,cement,missing,missing,missing,missing,missing,missing,missing,Mt
