,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0,0.0409842,0.111189,0.182041,0.340241,0.676686,1.65357,innovation-rhodium6b-l,500Mt-CostDecrease,AL,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
1,0.0,0.0,0.0,0.0286051,0.033031,0.0265734,0.0475515,0.0994638,0.229409,innovation-rhodium6b-l,500Mt-CostDecrease,AL,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
2,0.0,0.0,0.0,0.00268873,0.00391699,0.0526132,0.117278,0.200446,0.417545,innovation-rhodium6b-l,500Mt-CostDecrease,AL,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
3,0.0,0.0,0.0,0.000770635,0.00155413,0.0272982,0.0755883,0.193798,0.458258,innovation-rhodium6b-l,500Mt-CostDecrease,AL,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
4,0.0,0.0,0.0,0.0216644,0.0524887,0.0916285,0.191003,0.418536,0.460892,innovation-rhodium6b-l,500Mt-CostDecrease,AK,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
5,0.0,0.0,0.0,0.0015792,0.00119391,0.00320288,0.00593714,0.0113871,0.018555,innovation-rhodium6b-l,500Mt-CostDecrease,AK,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
6,0.0,0.0,0.0,0.000306339,0.000319201,0.00393962,0.00895589,0.0150931,0.0258591,innovation-rhodium6b-l,500Mt-CostDecrease,AK,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
7,0.0,0.0,0.0,0.0330022,0.0881817,0.17478,0.341022,0.651947,1.56992,innovation-rhodium6b-l,500Mt-CostDecrease,AZ,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
8,0.0,0.0,0.0,0.0295722,0.0385748,0.0296675,0.0562407,0.114184,0.267597,innovation-rhodium6b-l,500Mt-CostDecrease,AZ,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
9,0.0,0.0,0.0,0.000724325,0.0016137,0.0386495,0.122714,0.329762,0.768931,innovation-rhodium6b-l,500Mt-CostDecrease,AZ,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
10,0.0,0.0,0.0,0.0322445,0.0880584,0.174285,0.34345,0.659441,1.58394,innovation-rhodium6b-l,500Mt-CostDecrease,AR,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
11,0.0,0.0,0.0,0.0227491,0.0265185,0.025597,0.0483033,0.097599,0.221528,innovation-rhodium6b-l,500Mt-CostDecrease,AR,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
12,0.0,0.0,0.0,0.000534484,0.0010646,0.0226376,0.0673325,0.173582,0.434532,innovation-rhodium6b-l,500Mt-CostDecrease,AR,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
13,0.0,0.0,0.0,0.134656,0.359236,0.573477,1.06377,1.68974,1.86529,innovation-rhodium6b-l,500Mt-CostDecrease,CA,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
14,0.0,0.0,0.0,0.0761498,0.0856942,0.0781668,0.1441,0.301894,0.606663,innovation-rhodium6b-l,500Mt-CostDecrease,CA,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
15,0.0,0.0,0.0,0.0121106,0.0177663,0.235306,0.521016,0.866491,1.7367,innovation-rhodium6b-l,500Mt-CostDecrease,CA,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
16,0.0,0.0,0.0,0.00377226,0.00876336,0.174924,0.540158,1.51143,3.44684,innovation-rhodium6b-l,500Mt-CostDecrease,CA,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
17,0.0,0.0,0.0,0.0396899,0.106272,0.211798,0.413292,0.787448,1.75707,innovation-rhodium6b-l,500Mt-CostDecrease,CO,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
18,0.0,0.0,0.0,0.0355648,0.0464885,0.0359509,0.0681593,0.137916,0.317657,innovation-rhodium6b-l,500Mt-CostDecrease,CO,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
19,0.0,0.0,0.0,0.00081348,0.00174311,0.0407058,0.12839,0.356735,0.943552,innovation-rhodium6b-l,500Mt-CostDecrease,CO,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
20,0.0,0.0,0.0,0.0140585,0.0374902,0.0560174,0.104692,0.211411,0.550214,innovation-rhodium6b-l,500Mt-CostDecrease,CT,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
21,0.0,0.0,0.0,0.0044331,0.0044293,0.00529743,0.0094529,0.0187546,0.037292,innovation-rhodium6b-l,500Mt-CostDecrease,CT,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
22,0.0,0.0,0.0,0.000962467,0.00137331,0.0167315,0.0368448,0.063347,0.138958,innovation-rhodium6b-l,500Mt-CostDecrease,CT,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
23,0.0,0.0,0.0,0.000404983,0.000912415,0.0148043,0.0365082,0.0739471,0.108638,innovation-rhodium6b-l,500Mt-CostDecrease,CT,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
24,0.0,0.0,0.0,0.00439738,0.0116768,0.0187665,0.034971,0.069257,0.16797,innovation-rhodium6b-l,500Mt-CostDecrease,DE,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
25,0.0,0.0,0.0,0.00241574,0.00264494,0.00246075,0.00443195,0.00942758,0.0206358,innovation-rhodium6b-l,500Mt-CostDecrease,DE,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
26,0.0,0.0,0.0,0.000425549,0.000643545,0.00879122,0.0197863,0.0344235,0.071996,innovation-rhodium6b-l,500Mt-CostDecrease,DE,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
