,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,21.7696137644,46.89781594429002,91.91342925250004,147.2577467651,163.7030896599,260.35994498900004,362.7482743096001,innovation-rhodium6b-l,500Mt-CostDecrease,USA,missing,missing,missing,missing,missing,missing,missing,missing,biomass,missing,thous km2
1,1194.934301690902,1183.685847017779,1167.9532960426493,1189.5567255381634,1201.1636322414283,1212.1668049548027,1225.913277440129,1209.2246688304904,1179.7673296162072,innovation-rhodium6b-l,500Mt-CostDecrease,USA,missing,missing,missing,missing,missing,missing,missing,missing,crops,missing,thous km2
2,452.7770994,412.99928759,378.274789,394.4749226,410.2482844,423.1567476,437.0362701,446.1627692,454.1117146,innovation-rhodium6b-l,500Mt-CostDecrease,USA,missing,missing,missing,missing,missing,missing,missing,missing,forest (managed),missing,thous km2
3,1726.5740868099997,1785.76380466,1861.19143824,1848.19198353,1833.76263702,1818.73373531,1809.58571243,1793.3835924599996,1778.5504992099995,innovation-rhodium6b-l,500Mt-CostDecrease,USA,missing,missing,missing,missing,missing,missing,missing,missing,forest (unmanaged),missing,thous km2
4,1103.0072308,1188.816418,1196.5560453000005,1191.5225320000004,1185.6738757000005,1179.1571893000005,1175.0984084000004,1167.3330199000004,1159.7979469000002,innovation-rhodium6b-l,500Mt-CostDecrease,USA,missing,missing,missing,missing,missing,missing,missing,missing,grass,missing,thous km2
5,672.8889338,494.7405526,354.646225,328.7285243,298.5906329,265.4304038,247.57465343,210.35076334,177.24964016000004,innovation-rhodium6b-l,500Mt-CostDecrease,USA,missing,missing,missing,missing,missing,missing,missing,missing,otherarable,missing,thous km2
6,65.79371250300002,11.797713690000002,45.550867329000006,48.285529229000005,51.140123024,53.754511037000015,56.50627348,58.66757945699999,60.63918739399999,innovation-rhodium6b-l,500Mt-CostDecrease,USA,missing,missing,missing,missing,missing,missing,missing,missing,pasture (grazed),missing,thous km2
7,2308.519931833001,2425.005541689,2452.5825543569995,2433.82236885,2412.5316433919998,2389.519871918,2376.562521359999,2351.7250754169995,2329.8041023499995,innovation-rhodium6b-l,500Mt-CostDecrease,USA,missing,missing,missing,missing,missing,missing,missing,missing,pasture (other),missing,thous km2
8,145.46686029999998,145.34609899999998,145.619419,145.619419,145.619419,145.619419,145.619419,145.619419,145.619419,innovation-rhodium6b-l,500Mt-CostDecrease,USA,missing,missing,missing,missing,missing,missing,missing,missing,rock and desert,missing,thous km2
9,972.5063557,974.6476179,984.0187957,981.0634439,977.5194669,973.3668032,970.5636732,965.33576068,959.87473084,innovation-rhodium6b-l,500Mt-CostDecrease,USA,missing,missing,missing,missing,missing,missing,missing,missing,shrubs,missing,thous km2
