1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.0,0.178269,0.240855,0.264012,0.358302,0.391636,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,EJ_or_Share
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,Mt
0.0,0.0,0.0,0.0022084,0.0210933,0.0924095,0.185335,0.39157,0.446284,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,Mt
0.0,0.0,0.0,0.00183893,0.00283358,0.0033497,0.00593175,0.0112956,0.0181677,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,Mt
0.0,0.0,0.0,3.62114E-4,8.85012E-4,0.00535961,0.0130556,0.0219731,0.0364807,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,Mt
0.0,0.0,0.0,5.40372E-5,2.38117E-4,0.001329,0.00197675,0.00267697,0.00329224,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,EJ
0.0108474,0.017128,0.00769012,0.00796345,0.0107967,0.0131052,0.0149121,0.0174657,0.02005,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.00327175,0.0108171,0.0362945,0.045395,0.0487287,0.0626894,0.0656531,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.00226506,0.188902,0.265296,0.307728,0.446622,0.527273,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,carbon-storage,missing,missing,missing,MtC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.31265E-8,8.23619E-7,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,coal to liquids,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,coal to liquids-fixed-output,missing,missing,missing,EJ
4.433E-4,5.935E-4,4.15642E-4,4.22921E-4,4.23137E-4,4.47536E-4,4.75073E-4,4.88732E-4,5.09749E-4,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm cooking,missing,missing,missing,EJ
1.986E-4,5.012E-4,4.35999E-4,4.32502E-4,4.45553E-4,4.64499E-4,4.83306E-4,5.05594E-4,5.27351E-4,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm cooling,missing,missing,missing,EJ
0.0281321,0.0191924,0.0164556,0.0163986,0.0163461,0.0171686,0.0179655,0.0186001,0.0193704,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm heating,missing,missing,missing,EJ
0.0022874,0.0021134,0.00199081,0.00202461,0.00206178,0.00218436,0.00231309,0.00239053,0.00248619,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm hot water,missing,missing,missing,EJ
0.0452007,0.0396061,0.0316189,0.0321277,0.0340072,0.0357503,0.037459,0.0389792,0.0403745,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm lighting,missing,missing,missing,petalumen-hours
8.271E-4,0.0010368,0.00184044,0.00186619,0.00195506,0.00205198,0.00214696,0.00223123,0.00230923,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm non-building,missing,missing,missing,EJ
6.188E-4,0.0010143,0.00115171,0.00117285,0.00123924,0.00131527,0.00138995,0.001456,0.00151739,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm office,missing,missing,missing,EJ
0.0014005,0.002341,0.00933321,0.00947862,0.00991856,0.010436,0.0109434,0.0113829,0.0117906,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm other,missing,missing,missing,EJ
7.657E-4,0.0023177,0.00288358,0.00292876,0.00307581,0.00323581,0.00339119,0.00352849,0.0036527,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm refrigeration,missing,missing,missing,EJ
4.249E-4,9.06E-4,0.00100453,0.00101956,0.00107007,0.00112472,0.00117823,0.00122525,0.00126782,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm ventilation,missing,missing,missing,million km3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,comm-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
0.00781089,0.0012203,0.00574623,0.00556298,0.00562241,0.00597226,0.00621623,0.0064742,0.00626144,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,delivered biomass,missing,missing,missing,EJ
0.0,0.0,1.12248E-6,3.56524E-6,1.75557E-5,5.11442E-5,1.06838E-4,1.9734E-4,2.943E-4,innovation-rhodium6b,low,AK,missing,missing,missing,missing,missing,missing,distributed_solar,missing,missing,missing,EJ
