1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.0,0.181603,0.245155,0.268013,0.361156,0.404718,low,low,AK,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,EJ_or_Share
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,Mt
0.0,0.0,0.0,0.00214381,0.0203669,0.0843775,0.17711,0.395568,0.474392,low,low,AK,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,Mt
0.0,0.0,0.0,0.00178512,0.00295076,0.0036824,0.00685372,0.0138315,0.0260061,low,low,AK,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,Mt
0.0,0.0,0.0,3.51548E-4,8.97565E-4,0.005048,0.0115498,0.0205802,0.0436679,low,low,AK,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,Mt
0.0,0.0,0.0,4.69528E-5,2.22398E-4,0.00132004,0.00197281,0.00267867,0.00329731,low,low,AK,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,EJ
0.0108474,0.017128,0.00769012,0.00796347,0.0107767,0.0130792,0.0148937,0.0174682,0.0200652,low,low,AK,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.00327175,0.0108159,0.0351249,0.0436207,0.0466616,0.0595054,0.0630984,low,low,AK,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.00219885,0.192227,0.269693,0.312426,0.452658,0.552666,low,low,AK,missing,missing,missing,missing,missing,missing,carbon-storage,missing,missing,missing,MtC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38193E-8,7.74365E-7,low,low,AK,missing,missing,missing,missing,missing,missing,coal to liquids,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,coal to liquids-fixed-output,missing,missing,missing,EJ
4.433E-4,5.935E-4,4.15642E-4,4.22917E-4,4.23495E-4,4.47942E-4,4.74983E-4,4.8824E-4,5.09209E-4,low,low,AK,missing,missing,missing,missing,missing,missing,comm cooking,missing,missing,missing,EJ
1.986E-4,5.012E-4,4.35999E-4,4.32502E-4,4.456E-4,4.64595E-4,4.8331E-4,5.05551E-4,5.27312E-4,low,low,AK,missing,missing,missing,missing,missing,missing,comm cooling,missing,missing,missing,EJ
0.0281321,0.0191924,0.0164555,0.0163985,0.0163539,0.0171748,0.0179594,0.0185858,0.0193559,low,low,AK,missing,missing,missing,missing,missing,missing,comm heating,missing,missing,missing,EJ
0.0022874,0.0021134,0.00199081,0.00202459,0.00206299,0.00218564,0.00231282,0.00238903,0.0024846,low,low,AK,missing,missing,missing,missing,missing,missing,comm hot water,missing,missing,missing,EJ
0.0452007,0.0396061,0.0316189,0.0321277,0.034008,0.0357518,0.037459,0.0389786,0.040374,low,low,AK,missing,missing,missing,missing,missing,missing,comm lighting,missing,missing,missing,petalumen-hours
8.271E-4,0.0010368,0.00184044,0.00186619,0.0019551,0.00205207,0.00214696,0.00223118,0.00230918,low,low,AK,missing,missing,missing,missing,missing,missing,comm non-building,missing,missing,missing,EJ
6.188E-4,0.0010143,0.00115171,0.00117285,0.00123929,0.00131538,0.00138996,0.00145595,0.00151734,low,low,AK,missing,missing,missing,missing,missing,missing,comm office,missing,missing,missing,EJ
0.0014005,0.002341,0.00933321,0.00947862,0.0099192,0.0104366,0.0109434,0.0113825,0.0117903,low,low,AK,missing,missing,missing,missing,missing,missing,comm other,missing,missing,missing,EJ
7.657E-4,0.0023177,0.00288358,0.00292876,0.00307582,0.00323583,0.0033912,0.00352849,0.00365269,low,low,AK,missing,missing,missing,missing,missing,missing,comm refrigeration,missing,missing,missing,EJ
4.249E-4,9.06E-4,0.00100453,0.00101956,0.00107007,0.00112473,0.00117823,0.00122524,0.00126781,low,low,AK,missing,missing,missing,missing,missing,missing,comm ventilation,missing,missing,missing,million km3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,comm-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
0.00781089,0.0012203,0.00574623,0.0055629,0.0056166,0.00594277,0.00616292,0.0064002,0.00617804,low,low,AK,missing,missing,missing,missing,missing,missing,delivered biomass,missing,missing,missing,EJ
0.0,0.0,1.12277E-6,3.56616E-6,1.74598E-5,5.05722E-5,1.06843E-4,1.9835E-4,2.95667E-4,low,low,AK,missing,missing,missing,missing,missing,missing,distributed_solar,missing,missing,missing,EJ
0.0136552,0.0179787,0.0186462,0.0188182,0.0208712,0.022911,0.0247857,0.0271645,0.0287414,low,low,AK,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,elect_td_bld-fixed-output,missing,missing,missing,EJ
0.00246441,0.00415012,0.00241392,0.00214849,0.00246759,0.00241019,0.00221873,0.00235759,0.00289523,low,low,AK,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,missing,EJ
0.0,0.0,1.35907E-4,7.10211E-4,0.00212534,0.00359981,0.00475211,0.00594186,0.00756587,low,low,AK,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84313E-4,0.00238851,low,low,AK,missing,missing,missing,missing,missing,missing,gas to liquids,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,gas to liquids-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,8.3256E-4,0.00203284,0.0034325,0.00686931,0.0103655,low,low,AK,missing,missing,missing,missing,missing,missing,geothermal,missing,missing,missing,EJ
0.1664,0.2531,0.190718,0.191231,0.188267,0.194125,0.201139,0.202667,0.208076,low,low,AK,missing,missing,missing,missing,missing,missing,industrial energy use,missing,missing,missing,EJ
0.00345271,0.0027463,0.0406973,0.0408066,0.0401742,0.0414244,0.0429209,0.043247,0.0444013,low,low,AK,missing,missing,missing,missing,missing,missing,industrial feedstocks,missing,missing,missing,EJ
0.169853,0.255846,0.231415,0.232037,0.228441,0.23555,0.244059,0.245914,0.252477,low,low,AK,missing,missing,missing,missing,missing,missing,industry,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,industry-tfe,missing,missing,missing,EJ
0.00569657,0.00899487,0.00403852,0.00418207,0.00565947,0.00686863,0.0078215,0.00917352,0.0105374,low,low,AK,missing,missing,missing,missing,missing,missing,intermediate generation,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,intermediate generation-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,2.23916E-4,5.71698E-4,0.00321529,0.00735658,0.0131084,0.027814,low,low,AK,missing,missing,missing,missing,missing,missing,lime,missing,missing,missing,Mt
0.13673,0.12413,0.147048,0.144801,0.147146,0.150357,0.153808,0.156984,0.160049,low,low,AK,missing,missing,missing,missing,missing,missing,municipal water,missing,missing,missing,km^3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,municipal water-tfe,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,1.16638E-4,2.40228E-4,3.54097E-4,5.77058E-4,7.66424E-4,low,low,AK,missing,missing,missing,missing,missing,missing,offshore wind resource,missing,missing,missing,EJ
0.667482,0.891838,0.297613,0.289819,0.232262,0.202454,0.186098,0.161211,0.147413,low,low,AK,missing,missing,missing,missing,missing,missing,oil refining,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,oil refining-fixed-output,missing,missing,missing,EJ
0.0,1.81651E-6,4.71346E-4,3.4325E-4,0.00295959,0.00486478,0.00630551,0.00810677,0.00987983,low,low,AK,missing,missing,missing,missing,missing,missing,onshore wind resource,missing,missing,missing,EJ
8.62563E-5,1.36198E-4,6.11504E-5,6.3324E-5,8.56945E-5,1.04003E-4,1.18431E-4,1.38903E-4,1.59554E-4,low,low,AK,missing,missing,missing,missing,missing,missing,peak generation,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,peak generation-fixed-output,missing,missing,missing,EJ
0.00781089,0.0012203,0.00951912,0.0218176,0.0663399,0.0819145,0.0874954,0.109347,0.115556,low,low,AK,missing,missing,missing,missing,missing,missing,regional biomass,missing,missing,missing,EJ
0.0,0.0,6.26735E-4,0.0010369,0.0017806,0.0020802,0.00221672,0.00289551,0.00311939,low,low,AK,missing,missing,missing,missing,missing,missing,regional biomassOil,missing,missing,missing,EJ
0.0,0.0,7.39834E-4,0.00169956,0.00373049,0.00456071,0.00493475,0.00675508,0.00737112,low,low,AK,missing,missing,missing,missing,missing,missing,regional corn for ethanol,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low,low,AK,missing,missing,missing,missing,missing,missing,regional sugar for ethanol,missing,missing,missing,EJ
0.101078,0.217846,0.116695,0.119357,0.12672,0.135654,0.144695,0.15294,0.161347,low,low,AK,missing,missing,missing,missing,missing,missing,resid clothes dryers,missing,missing,missing,Mt
0.0,0.0664141,0.0368073,0.0379364,0.0409027,0.0442397,0.0475525,0.0507071,0.0536343,low,low,AK,missing,missing,missing,missing,missing,missing,resid clothes washers,missing,missing,missing,billion cycles
0.0,9.77E-5,1.44816E-4,1.48713E-4,1.58291E-4,1.68455E-4,1.78133E-4,1.86501E-4,1.94003E-4,low,low,AK,missing,missing,missing,missing,missing,missing,resid computers,missing,missing,missing,EJ
1.479E-4,2.575E-4,1.97675E-4,2.01657E-4,2.12737E-4,2.25511E-4,2.37937E-4,2.48791E-4,2.58852E-4,low,low,AK,missing,missing,missing,missing,missing,missing,resid cooking,missing,missing,missing,EJ
2.04E-5,1.476E-4,1.3797E-4,1.37868E-4,1.43473E-4,1.51292E-4,1.58856E-4,1.67517E-4,1.76048E-4,low,low,AK,missing,missing,missing,missing,missing,missing,resid cooling,missing,missing,missing,EJ
0.0,0.0280388,0.0194631,0.0199364,0.0212913,0.022795,0.0242786,0.0256621,0.0269631,low,low,AK,missing,missing,missing,missing,missing,missing,resid dishwashers,missing,missing,missing,billion cycles
1.443E-4,1.258E-4,1.10879E-4,1.13111E-4,1.19689E-4,1.26836E-4,1.33735E-4,1.39895E-4,1.45438E-4,low,low,AK,missing,missing,missing,missing,missing,missing,resid freezers,missing,missing,missing,EJ
0.0,8.86E-5,1.341E-4,1.37377E-4,1.46033E-4,1.55344E-4,1.64311E-4,1.72148E-4,1.79232E-4,low,low,AK,missing,missing,missing,missing,missing,missing,resid furnace fans,missing,missing,missing,EJ
0.0211357,0.0205939,0.0203611,0.0203238,0.0210082,0.0220221,0.0229789,0.024053,0.0250632,low,low,AK,missing,missing,missing,missing,missing,missing,resid heating,missing,missing,missing,EJ
