,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0012925,0.00210251,0.00815307,0.0159948899999999,0.02608249,-0.7155073536,-1.75395715735,-2.8572810066,-4.343745606,nothing,nothing,Africa_Eastern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
1,0.000661901,0.00468252,0.0126143,0.0206507999999999,0.02840494,0.0387724615957,0.047718371656,0.0537992078099999,0.05837663473,nothing,nothing,Africa_Eastern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
2,0.0,0.0,0.00613636,0.01127989,0.0166206,0.023304050986,0.0304933021699999,0.03861112323,0.0483660325699999,nothing,nothing,Africa_Eastern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
3,0.00117369,0.00361098,0.0350802,0.0543405,0.0705808,0.0859688,0.101198,0.106761,0.111435,nothing,nothing,Africa_Eastern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
4,0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,nothing,nothing,Africa_Eastern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
5,0.0,0.0,0.00217662,0.0183008,0.0464524,0.0989123,0.196079,0.322925,0.491112,nothing,nothing,Africa_Eastern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
6,0.0092828,0.0284467,0.1102937,0.1416752,0.1450384,0.149587,0.1374885,0.1150209,0.1103796,nothing,nothing,Africa_Eastern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
7,0.0,0.0,0.028764,0.0661877,0.149442,0.292865,0.47411,0.670673,0.884307,nothing,nothing,Africa_Eastern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
8,0.0,5.21026e-05,0.0302895458,0.0908346239999999,0.1560480459999999,0.2590114759999999,0.468859176,0.787261139,1.255436739,nothing,nothing,Africa_Eastern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
9,0.0,1.03005e-05,0.065466902,0.1718745719999999,0.2974356319999999,0.482523532,0.8114855320000001,1.24991445,1.81826166,nothing,nothing,Africa_Eastern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
10,0.0,0.0,0.00196384,0.00354939,0.0067119,-0.1638967191640999,-0.31428962527,-0.566265930072,-0.88828384191,nothing,nothing,Africa_Northern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
11,0.00796429,0.0458413,0.0870628,0.10071442,0.1170045899999999,0.12775099387192,0.1280319663393999,0.125240440653,0.1183867674019999,nothing,nothing,Africa_Northern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
12,0.1357962999999999,0.482397,1.116579,1.2734420000000002,1.508168,1.66445153494,1.6852307992600002,1.7786944633999997,1.8587858143,nothing,nothing,Africa_Northern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
13,0.0,0.0,0.00886284,0.0178056,0.0306368,0.0414633,0.0522209,0.0670758,0.0746032,nothing,nothing,Africa_Northern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
14,0.0408229,0.0516283,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,nothing,nothing,Africa_Northern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
15,0.0,0.0,0.00108671,0.00598952,0.017672,0.0316164,0.0480348,0.0801468,0.120734,nothing,nothing,Africa_Northern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
16,0.117712,0.127327,0.2387767999999999,0.2457715999999999,0.314011,0.340312,0.3574989,0.4104489999999999,0.441809,nothing,nothing,Africa_Northern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
17,0.0,0.0,0.0711613,0.220083,0.32193,0.429503,0.634982,0.819175,0.999789,nothing,nothing,Africa_Northern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
18,0.0,7.19924e-06,0.0221757268499999,0.0650918036,0.147803541,0.2161773709999999,0.2641784459999999,0.3547814746,0.4587146464,nothing,nothing,Africa_Northern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
19,0.0,0.0028798,0.047063414,0.080310764,0.143312704,0.213076544,0.304103134,0.47365886,0.6822089900000001,nothing,nothing,Africa_Northern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
20,0.0,0.0,0.000840942,0.0011879203,0.0019677419999999,-0.0329342569369099,-0.068232961231,-0.160192169096,-0.338320644654,nothing,nothing,Africa_Southern,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
21,0.0213304,0.0204676,0.038796,0.05076859,0.07332748,0.09188295750245,0.10318577661,0.12516491585,0.1557605748299999,nothing,nothing,Africa_Southern,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
22,0.0,0.004161615,0.0353852,0.0440921,0.0633455,0.0770887618929,0.0872657268999999,0.11863962271,0.1693424152,nothing,nothing,Africa_Southern,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
23,0.0,0.0,0.000371042,0.0011848,0.00349546,0.00614448,0.0101122,0.0203615,0.0347578,nothing,nothing,Africa_Southern,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
24,0.0548817,0.120117,0.175234,0.188839,0.202445,0.216051,0.229657,0.243262,0.256868,nothing,nothing,Africa_Southern,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
25,0.0,0.0,3.56488e-05,0.000318325,0.00135452,0.00273634,0.00487253,0.011803,0.0255774,nothing,nothing,Africa_Southern,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
26,0.00254618,0.00617975,0.0536844,0.0964045,0.1931844999999999,0.2600872,0.3118984999999999,0.4458885999999999,0.6091376,nothing,nothing,Africa_Southern,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
27,0.0,0.0,0.0406568,0.0854772,0.154207,0.25724,0.423692,0.605554,0.814026,nothing,nothing,Africa_Southern,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
28,0.0,1.12e-05,0.000634422348,0.0016829468,0.00423611427,0.00678967927,0.01084264727,0.02616064027,0.06165863245,nothing,nothing,Africa_Southern,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
29,0.0,2.20001e-06,0.00057425633,0.00194740558,0.00649988728,0.01257340188,0.02378345088,0.06542256916,0.15327465475,nothing,nothing,Africa_Southern,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
30,0.000169199,0.0006156,0.00194473,0.003755669,0.0092533399999999,-0.320358305092,-0.69437669175,-1.25763527283,-2.13481737548,nothing,nothing,Africa_Western,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
31,0.000469068,0.00274717,0.00166561,0.002628656,0.005117085,0.0082402657890299,0.0104296716042,0.0133615586529999,0.016886849588,nothing,nothing,Africa_Western,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
32,0.02665792,0.0733212,0.169736,0.2080146,0.338843,0.48240440274,0.5953343633,0.7761642739,1.0123650576999998,nothing,nothing,Africa_Western,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
33,0.0,0.0,0.00175342,0.00593055,0.0191796,0.0364857,0.0602528,0.0932774,0.12784,nothing,nothing,Africa_Western,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
34,0.0804331,0.108752,0.160889,0.203657,0.246425,0.289193,0.331962,0.37473,0.417498,nothing,nothing,Africa_Western,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
35,0.0,0.0,0.000170881,0.00169823,0.00876761,0.021369,0.0430522,0.0853039,0.153705,nothing,nothing,Africa_Western,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
36,0.0167247,0.0221465,0.03462022,0.03935184,0.0698893999999999,0.0941123,0.1161324,0.1574168,0.1955278,nothing,nothing,Africa_Western,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
37,0.0,0.0,0.0279396,0.072195,0.134312,0.246173,0.479755,0.813379,1.27679,nothing,nothing,Africa_Western,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
38,0.0,1.95e-05,0.00712650919,0.0185665131,0.0519371172,0.0879898232,0.1369761832,0.2379607832,0.4227555051,nothing,nothing,Africa_Western,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
39,0.0,9e-06,0.0040503207,0.014429678,0.054132989,0.1183666489999999,0.2305449489999999,0.4334689087999999,0.7236176213,nothing,nothing,Africa_Western,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
40,0.0,0.00187915,0.00266559,0.00363289,0.0048670979999999,-0.0847707638949999,-0.213283097817,-0.46224715757,-0.7564653180600001,nothing,nothing,Australia_NZ,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
41,0.438993,0.672492,0.70064,0.7823698,0.8360008,0.8413528497202999,0.8117543041799999,0.7530104823,0.65507864,nothing,nothing,Australia_NZ,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
42,0.0721281,0.1086668,0.2195424,0.2400122,0.2637255,0.2690293319,0.25233203209,0.2661559605,0.2756749254,nothing,nothing,Australia_NZ,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
43,0.00746625,0.0111489,0.0418674,0.05485,0.0685026,0.0785067,0.0942217,0.100817,0.121415,nothing,nothing,Australia_NZ,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
44,0.134392,0.139082,0.142893,0.149486,0.156079,0.162672,0.169265,0.175858,0.182451,nothing,nothing,Australia_NZ,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
45,0.0,0.0,0.0,0.000925118,0.00259883,0.00422235,0.00905445,0.0234842,0.0431507,nothing,nothing,Australia_NZ,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
46,0.0128229,0.0102417,0.01843016,0.01587642,0.01506978,0.01356753,0.01370442,0.01598186,0.01523869,nothing,nothing,Australia_NZ,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
47,0.0,0.0,0.0109196,0.0478318,0.0700686,0.0926218,0.129809,0.160217,0.193283,nothing,nothing,Australia_NZ,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
48,0.0,0.00028439291,0.0500828244699999,0.121460693,0.2138450331,0.2728081771,0.3343332691,0.4219368235,0.5036004075,nothing,nothing,Australia_NZ,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
49,0.0,0.00539626,0.077543207,0.1084106609999999,0.1464546699999999,0.1786900979999999,0.2391165579999999,0.3334598839999999,0.4678068509999999,nothing,nothing,Australia_NZ,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
50,0.0,0.0,0.00470206,0.007514582,0.01133747,-0.219512067438,-0.4334361413,-0.73583243041,-1.08869251012,nothing,nothing,Brazil,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
51,0.0097564,0.0219918,0.119904,0.1683458,0.2174815,0.2511473088478,0.2628311393749999,0.26499381072,0.2534530979899999,nothing,nothing,Brazil,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
52,4.31858e-05,0.0500396,0.444353,0.648255,0.8878600000000001,1.04162101171,1.0734326685,1.1550318860000002,1.205804274,nothing,nothing,Brazil,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
53,0.0,0.0,0.00914145,0.0259892,0.0509207,0.0741165,0.100468,0.139727,0.170894,nothing,nothing,Brazil,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
54,0.744149,1.21485,1.33772,1.38037,1.42302,1.46567,1.50832,1.55097,1.59362,nothing,nothing,Brazil,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
55,0.00805056,0.0354828,0.0580832099999999,0.0674541999999999,0.0798808,0.0897897,0.1011652999999999,0.1234016,0.1491806,nothing,nothing,Brazil,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
56,0.00848962,0.0296789,0.1268679,0.1423017999999999,0.169104,0.1521137,0.1324857,0.1269811,0.1191245,nothing,nothing,Brazil,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
57,0.0,0.0,0.0383778,0.196584,0.309992,0.388807,0.483414,0.562696,0.646881,nothing,nothing,Brazil,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
58,0.0,0.0,0.01212135577,0.06493203917,0.1726825011699999,0.27166477217,0.3563953321699999,0.4710323751699999,0.5747579786,nothing,nothing,Brazil,missing,solar,missing,missing,missing,missing,missing,missing,missing,missing,EJ
59,0.0,0.000334846,0.1824325761999999,0.3139271621999999,0.4843579722,0.6326451222000001,0.7921488522000001,0.961183888,1.1148688529999995,nothing,nothing,Brazil,missing,wind,missing,missing,missing,missing,missing,missing,missing,missing,EJ
60,0.0142055,0.0305674,0.0516193,0.05691903,0.06037052,-0.247779702044,-0.71188617901,-1.18491150296,-1.68053468542,nothing,nothing,Canada,missing,biomass,missing,missing,missing,missing,missing,missing,missing,missing,EJ
61,0.29599,0.362107,0.310108,0.3573872,0.3909972,0.4013538692986999,0.403880510128,0.38488447533,0.33931013697,nothing,nothing,Canada,missing,coal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
62,0.03483692,0.1445786,0.30839,0.3507127,0.396422,0.41481292368,0.4187371,0.4199499996999999,0.4032713175,nothing,nothing,Canada,missing,gas,missing,missing,missing,missing,missing,missing,missing,missing,EJ
63,0.0,0.0,0.00675931,0.0119709,0.0173047,0.0213337,0.0315261,0.0424431,0.047086,nothing,nothing,Canada,missing,geothermal,missing,missing,missing,missing,missing,missing,missing,missing,EJ
64,1.06835,1.30301,1.40009,1.42433,1.44857,1.4728,1.49704,1.52128,1.54552,nothing,nothing,Canada,missing,hydro,missing,missing,missing,missing,missing,missing,missing,missing,EJ
65,0.262679,0.331342,0.4643359999999999,0.552921,0.635392,0.682191,0.790574,0.920783,1.037424,nothing,nothing,Canada,missing,nuclear,missing,missing,missing,missing,missing,missing,missing,missing,EJ
66,0.0592843,0.0563432,0.03503043,0.0417211,0.0484798,0.04786448,0.0504996,0.0493759,0.04525575,nothing,nothing,Canada,missing,refined liquids,missing,missing,missing,missing,missing,missing,missing,missing,EJ
67,0.0,0.0,0.000780587,0.0109995,0.0312675,0.0463412,0.0497246,0.0471428,0.0486508,nothing,nothing,Canada,missing,rooftop_pv,missing,missing,missing,missing,missing,missing,missing,missing,EJ
