,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,16.936642,16.920482000000014,17.28600400000001,,16.60018800000001,,14.748661999999996,13.681553999999998,12.724862,nzn,nzn,Global,DAC,DAC,DAC_solvent (oxy CCS),missing,missing,missing,missing,missing,missing,missing,1975$/kg
1,24.184808999999994,23.88300200000001,23.618697,,21.079859,,16.321976,14.334819,12.612521999999997,nzn,nzn,Global,DAC,DAC,DAC_sorbent (oxy CCS),missing,missing,missing,missing,missing,missing,missing,1975$/kg
2,4.379353999999999,4.447355,4.79638,,4.353143,,4.064322999999999,3.912672,3.777425000000001,nzn,nzn,Global,OEW,lime,ocean liming,missing,missing,missing,missing,missing,missing,missing,1975$/kg
3,0.183477,0.185819,0.206773,,0.267037,,0.255494,0.254,0.251136,nzn,nzn,Global,OEW,lime,ocean liming (AK lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
4,2.228952,2.229603,2.808711,,2.7446330000000008,,2.5542709999999995,2.508467,2.453527,nzn,nzn,Global,OEW,lime,ocean liming (AL lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
5,1.310864,1.323638,1.6247319999999998,,1.599809,,1.4946610000000002,1.472803,1.444014,nzn,nzn,Global,OEW,lime,ocean liming (AR lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
6,0.28219,0.293224,0.368409,,0.3609369999999999,,0.337491,0.332541,0.325911,nzn,nzn,Global,OEW,lime,ocean liming (AZ lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
7,0.3920939999999999,0.413022,0.5182,,0.504011,,0.469085,0.462172,0.454224,nzn,nzn,Global,OEW,lime,ocean liming (CA lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
8,0.297988,0.313565,0.365523,,0.367731,,0.346292,0.344897,0.3409689999999999,nzn,nzn,Global,OEW,lime,ocean liming (CO lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
9,0.103741,0.104506,0.144385,,0.136792,,0.124117,0.119402,0.115547,nzn,nzn,Global,OEW,lime,ocean liming (CT lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
10,1.8984312,1.894866,2.465833,,2.338091,,2.137166,2.0683233,2.0023299,nzn,nzn,Global,OEW,lime,ocean liming (DE lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
11,1.8290535,1.8434506,2.320746,,2.276063,,2.1228438,2.0888887,2.0453182,nzn,nzn,Global,OEW,lime,ocean liming (FL lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
12,2.3687059999999995,2.376701,2.9990179999999995,,2.927323999999999,,2.7243319999999995,2.6745970000000003,2.615397,nzn,nzn,Global,OEW,lime,ocean liming (GA lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
13,1.072054,1.101455,1.4004180000000002,,1.39857,,1.319306,1.308037,1.287992,nzn,nzn,Global,OEW,lime,ocean liming (IA lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
14,0.396188,0.416651,0.502706,,0.492891,,0.458178,0.4510579999999999,0.442269,nzn,nzn,Global,OEW,lime,ocean liming (ID lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
15,2.6114649999999995,2.630693,3.4095090000000003,,3.3690430000000005,,3.172421,3.137057,3.0844500000000004,nzn,nzn,Global,OEW,lime,ocean liming (IL lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
16,2.9503070000000005,2.966804,3.766799,,3.6986000000000008,,3.4643210000000004,3.415655,3.350227,nzn,nzn,Global,OEW,lime,ocean liming (IN lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
