,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0,0.0409836,0.528333,0.966065,1.07326,1.63153,1.86689,procure-Rhodium-l,500Mt-CostDecrease,AL,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
1,0.0,0.0,0.0,0.028607,0.18466,0.14414,0.224401,0.379326,0.786077,procure-Rhodium-l,500Mt-CostDecrease,AL,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
2,0.0,0.0,0.0,0.00268869,0.0194443,0.288186,0.598417,0.956123,1.66525,procure-Rhodium-l,500Mt-CostDecrease,AL,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
3,0.0,0.0,0.0,0.000770627,0.0078613,0.147325,0.363851,0.776555,1.37665,procure-Rhodium-l,500Mt-CostDecrease,AL,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
4,0.0,0.0,0.0,0.0216696,0.159711,0.299662,0.334354,0.496143,0.557069,procure-Rhodium-l,500Mt-CostDecrease,AK,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
5,0.0,0.0,0.0,0.00157779,0.00565612,0.0154751,0.0223224,0.0326976,0.0494199,procure-Rhodium-l,500Mt-CostDecrease,AK,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
6,0.0,0.0,0.0,0.000306411,0.00142837,0.0187722,0.0376481,0.05717,0.0898009,procure-Rhodium-l,500Mt-CostDecrease,AK,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
7,0.0,0.0,0.0,0.033002,0.530411,0.979669,1.09265,1.67505,1.92118,procure-Rhodium-l,500Mt-CostDecrease,AZ,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
8,0.0,0.0,0.0,0.029572,0.229487,0.163438,0.276295,0.473663,0.999828,procure-Rhodium-l,500Mt-CostDecrease,AZ,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
9,0.0,0.0,0.0,0.000724322,0.00860181,0.209889,0.561279,1.1654,1.92739,procure-Rhodium-l,500Mt-CostDecrease,AZ,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
10,0.0,0.0,0.0,0.0322439,0.639891,0.931294,1.04067,1.59802,1.82921,procure-Rhodium-l,500Mt-CostDecrease,AR,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
11,0.0,0.0,0.0,0.0227505,0.158133,0.138936,0.224071,0.369789,0.752094,procure-Rhodium-l,500Mt-CostDecrease,AR,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
12,0.0,0.0,0.0,0.000534476,0.00572616,0.124076,0.330976,0.74607,1.41671,procure-Rhodium-l,500Mt-CostDecrease,AR,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
13,0.0,0.0,0.0,0.134656,0.698696,1.45672,1.6592,2.71297,3.2374,procure-Rhodium-l,500Mt-CostDecrease,CA,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
14,0.0,0.0,0.0,0.0761494,0.410675,0.3994,0.666773,1.12166,2.2799,procure-Rhodium-l,500Mt-CostDecrease,CA,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
