1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.042089,0.165133,0.329083,0.740139,1.57421,2.07014,procure-scaling-maintain-h,1500Mt-CostDecrease,AL,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0281815,0.0466349,0.0458583,0.0965166,0.259776,0.89952,procure-scaling-maintain-h,1500Mt-CostDecrease,AL,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.00256217,0.0053309,0.0910044,0.239348,0.619272,1.98283,procure-scaling-maintain-h,1500Mt-CostDecrease,AL,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,7.40952E-4,0.00212503,0.0471259,0.151484,0.541416,1.6211,procure-scaling-maintain-h,1500Mt-CostDecrease,AL,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0224565,0.0778028,0.166197,0.317597,0.459673,0.894199,procure-scaling-maintain-h,1500Mt-CostDecrease,AK,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.00152048,0.00162632,0.00548881,0.0113017,0.0241688,0.0651058,procure-scaling-maintain-h,1500Mt-CostDecrease,AK,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,2.88863E-4,4.25424E-4,0.006663,0.0168938,0.039166,0.119786,procure-scaling-maintain-h,1500Mt-CostDecrease,AK,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0337346,0.130106,0.315542,0.740362,1.64536,2.16058,procure-scaling-maintain-h,1500Mt-CostDecrease,AZ,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0291711,0.0545654,0.0511906,0.114259,0.316567,1.13848,procure-scaling-maintain-h,1500Mt-CostDecrease,AZ,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,6.96508E-4,0.0022068,0.0670967,0.242845,0.847948,2.20948,procure-scaling-maintain-h,1500Mt-CostDecrease,AZ,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0330404,0.130279,0.315169,0.747371,1.57716,2.0691,procure-scaling-maintain-h,1500Mt-CostDecrease,AR,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0223681,0.0373071,0.0441907,0.0980852,0.256533,0.860232,procure-scaling-maintain-h,1500Mt-CostDecrease,AR,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,5.11768E-4,0.00144891,0.0392033,0.136561,0.509891,1.66234,procure-scaling-maintain-h,1500Mt-CostDecrease,AR,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.138491,0.534208,1.03304,1.22505,2.1202,4.87624,procure-scaling-maintain-h,1500Mt-CostDecrease,CA,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.074908,0.121031,0.134783,0.275594,0.745592,2.59558,procure-scaling-maintain-h,1500Mt-CostDecrease,CA,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0115829,0.0242461,0.406081,1.00188,2.73493,9.55884,procure-scaling-maintain-h,1500Mt-CostDecrease,CA,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.00366124,0.0121084,0.303425,1.01044,3.74905,9.79361,procure-scaling-maintain-h,1500Mt-CostDecrease,CA,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.040572,0.156796,0.382407,0.896142,1.68578,2.2592,procure-scaling-maintain-h,1500Mt-CostDecrease,CO,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0350836,0.0657588,0.0620381,0.138301,0.371873,1.40428,procure-scaling-maintain-h,1500Mt-CostDecrease,CO,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,7.80582E-4,0.00237799,0.0709286,0.262063,1.04844,3.83131,procure-scaling-maintain-h,1500Mt-CostDecrease,CO,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.0145361,0.0559203,0.101397,0.229568,0.844159,1.39567,procure-scaling-maintain-h,1500Mt-CostDecrease,CT,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
0.0,0.0,0.0,0.00434208,0.00621163,0.00916718,0.019299,0.0513778,0.148722,procure-scaling-maintain-h,1500Mt-CostDecrease,CT,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
