1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,LandLeaf,Units
0.0,0.0,0.0,0.0,0.0,0.004945082981249999,0.019793986490999997,0.03327205214,0.060354906910000006,0.08751384389999997,0.08100804970000003,0.0619461551,0.040642659809999995,0.036742636059999986,0.03757890005,0.05601787687999999,0.07124592739999999,0.07185379769999999,0.0608376465,0.048296431730000006,0.04416079597999999,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,BTL with hydrogen,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.28835578800000006,0.3933391145760001,0.5407299423590001,0.7939458216109996,1.3151524267549994,2.0966299138709985,2.7809344550380026,3.237227878926998,3.4551161369058,3.5589417061085977,3.5266256461118033,3.52597792055,3.6302779946,3.8082857915000017,3.9884921750000015,4.102473596800002,4.201494450099999,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,FT biofuels,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.029789438100000006,0.06098422002759999,0.11077766408540003,0.20378174998750004,0.4018054381174999,0.7283335966187,1.0566391625660307,1.2848494200539355,1.4006400260364646,1.4657093356467703,1.474142413401099,1.4993408189552655,1.5726945642405,1.6849127897917007,1.8047741180420998,1.8763509413445805,1.9535358965044307,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,FT biofuels CCS level 1,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.022375395600000007,0.045919276595999994,0.08306806478179998,0.15200685042389991,0.2956896376816,0.5302223795961998,0.7612082970420072,0.9178070072926393,0.9957059476702996,1.039345424058699,1.0446952986566673,1.0638216650626908,1.1195941474362703,1.20594719272881,1.2995307775767402,1.3544840787737178,1.4186532388598678,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,FT biofuels CCS level 2,refining,missing,missing,missing,missing,EJ
2.92983E-4,0.122557731,0.673565748,1.0669211140000001,1.9043846130256,2.1746464805532,2.5336119944545,2.956556399126101,3.8085464306168983,4.958995638728701,6.004282843643508,6.682997550846501,6.98693552649659,7.158029963454409,7.101702544319201,7.1064849265386005,7.251169151754001,7.445877540946001,7.602935031510998,7.660482340915998,7.651890939346998,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,biodiesel,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.45102722216999996,1.0872575814599998,2.1335089119799995,4.289564353730002,7.53321076823,10.525214703939998,12.582463046270004,13.501523646212991,13.852462437333804,13.601520903318002,13.408569649549998,13.585095814899999,14.073211176000003,14.634912920000005,15.009322941999994,15.387904764899991,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,cellulosic ethanol,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.14923730500000001,0.305887926099,0.56698588883,1.0612385599669998,2.1835659644969994,4.0495132422169995,5.934018551335999,7.255011341711998,7.941977546135798,8.325273155273505,8.3667028330002,8.436935213352003,8.696503007299993,9.116996407299995,9.5718618533,9.85895719450001,10.16360013230001,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,cellulosic ethanol CCS level 1,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.06314752700000001,0.12127848525670003,0.21140276044780004,0.3725597593179999,0.7086933305361002,1.2493774209191002,1.7664422909982753,2.102779694627191,2.26205403833066,2.3450315615529203,2.3414407400157216,2.3644277342874274,2.4679486812121407,2.645036586767181,2.8471217356336584,2.9634896260279753,3.115057051244614,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,cellulosic ethanol CCS level 2,refining,missing,missing,missing,missing,EJ
6.27858E-4,0.3928128545,1.1520275050000002,1.5909412819999997,2.1967863189999997,2.2253027396000005,2.2002318272200005,2.08890231891,2.2947292617400006,2.866880471529999,3.3542449376999977,3.6750889884599998,3.8331535020999996,3.9799515291940004,3.971986413119,4.022510504900002,4.215248507800003,4.486466558600006,4.733614781300002,4.8932248055999965,4.991322861200003,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,corn ethanol,refining,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.00493353852,0.01582393892,0.03747472970000001,0.10671904630000002,0.238416475,0.3592968920000001,0.44136982799999996,0.48493422099999994,0.48197990700000015,0.5254986969999998,0.5948759989999998,0.7473512099999999,0.8832132500000002,0.96245018,0.99634616,0.9176074900000001,0.94085177,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,manure fuel,refining,missing,missing,missing,missing,EJ
0.2985265,0.3283835798,0.545811897,0.7111177738,1.2125530955020005,1.2580144999373006,1.3054426249695197,1.3834796536036105,1.5707866911194304,1.8628810333820587,2.1071773672532004,2.257512344084795,2.3063994615450345,2.3238761141868136,2.255210661811344,2.176879391333614,2.1182298862336206,2.080718431850701,2.0502565346915005,2.005733707786681,1.9678790769965697,SSP1,pyrolysis 4p5,Global,refining,biomass liquids,sugar cane ethanol,refining,missing,missing,missing,missing,EJ
0.164955121,0.1002032,0.1422284,0.2747475,0.2698026,0.2861678427662,0.30226255259050006,0.33607651541960004,0.46483210581450013,0.7175093763106993,1.0005542900072,1.2137194015639003,1.3028111032855003,1.3290548078579494,1.2632444579665,1.1302218085189992,0.9490297481299993,0.7501465152000001,0.5641963759999996,0.44870677688000005,0.29890591848000037,SSP1,pyrolysis 4p5,Global,refining,coal to liquids,coal to liquids,refining,missing,missing,missing,missing,EJ
