1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,SSP,Version,GCAM,sector,subsector,technology,output,concentration,input,product,LandLeaf,GHG,Units
77.09526899999996,91.234481,100.76568499999996,107.77584900000004,117.70076699999998,126.646236,135.174409,143.368251,153.74430100000004,165.17821200000003,171.48960999999994,173.92521300000004,174.91257799999997,174.736667,173.25052,172.337243,172.14722200000003,172.168571,171.65238299999993,170.57819,170.25075699999996,SSP1,ref 3p7,Global,N fertilizer,N fertilizer,N fertilizer,N fertilizer,missing,missing,missing,missing,missing,Mt N
77.09526899999996,91.234481,100.76568499999996,107.77584900000004,117.13906,127.25536000000002,136.254978,143.965723,155.10905999999994,170.69496900000001,178.790322,183.348143,186.56089200000002,189.12758599999998,191.67495399999999,193.444005,194.979323,195.953979,196.04700099999997,194.97521399999997,193.189424,SSP2,ref 3p7,Global,N fertilizer,N fertilizer,N fertilizer,N fertilizer,missing,missing,missing,missing,missing,Mt N
77.09526899999996,91.234481,100.76568499999996,107.77584900000004,117.011808,128.205155,137.10789,144.36678,157.765536,160.85230299999998,163.191109,165.66951200000003,167.65633899999995,169.005158,169.46150599999999,170.09872200000004,171.61058499999996,174.287723,177.61593399999995,180.864034,185.90438000000003,SSP3,ref 3p7,Global,N fertilizer,N fertilizer,N fertilizer,N fertilizer,missing,missing,missing,missing,missing,Mt N
77.09526899999996,91.234481,100.76568499999996,107.77584900000004,117.720331,127.01359800000002,136.131876,146.055681,158.70856799999996,166.58343899999997,173.07936399999997,177.52690300000003,179.20878199999999,179.94473599999998,180.29828299999994,180.75042300000004,181.353951,181.862975,181.61449600000003,180.21952800000005,177.974623,SSP4,ref 3p7,Global,N fertilizer,N fertilizer,N fertilizer,N fertilizer,missing,missing,missing,missing,missing,Mt N
77.09526899999996,91.234481,100.76568499999996,107.77584900000004,118.754043,130.45286800000002,142.38016100000002,153.62686699999992,166.65838700000006,182.39371400000002,196.508704,206.93344000000002,213.36167400000002,216.75533000000004,220.12382400000007,222.153404,223.977432,225.389244,225.980245,225.32931499999992,223.83906099999996,SSP5,ref 3p7,Global,N fertilizer,N fertilizer,N fertilizer,N fertilizer,missing,missing,missing,missing,missing,Mt N
10.0705,11.4602,11.5201,11.7838,12.7892,13.4467,14.0012,14.4979,15.3902,16.7779,17.7886,18.406,18.7619,19.0678,19.1515,19.456,20.0616,20.8564,21.6469,22.3873,23.3819,SSP1,ref 3p7,USA,N fertilizer,N fertilizer,N fertilizer,N fertilizer,missing,missing,missing,missing,missing,Mt N
10.0705,11.4602,11.5201,11.7838,12.7582,13.587,14.2953,14.8573,16.0722,18.5066,19.8661,20.9635,21.8407,22.6527,23.4287,24.2681,25.1626,25.9748,26.5533,26.7699,26.7205,SSP2,ref 3p7,USA,N fertilizer,N fertilizer,N fertilizer,N fertilizer,missing,missing,missing,missing,missing,Mt N
10.0705,11.4602,11.5201,11.7838,12.8177,13.7243,14.3582,14.7804,16.046,16.1206,16.2389,16.4679,16.7483,17.0467,17.338,17.6165,17.8564,18.215,18.6469,19.0512,19.9226,SSP3,ref 3p7,USA,N fertilizer,N fertilizer,N fertilizer,N fertilizer,missing,missing,missing,missing,missing,Mt N
10.0705,11.4602,11.5201,11.7838,13.0223,13.8825,14.7004,15.6632,17.2369,18.6333,19.9113,20.9269,21.4448,21.8269,22.1778,22.596,23.1681,23.7682,24.2279,24.4263,24.3778,SSP4,ref 3p7,USA,N fertilizer,N fertilizer,N fertilizer,N fertilizer,missing,missing,missing,missing,missing,Mt N
10.0705,11.4602,11.5201,11.7838,13.0772,14.1971,15.2587,16.2917,17.9401,20.5559,23.4064,25.9308,27.619,28.9948,30.1229,31.1937,32.1909,32.9625,33.4539,33.7003,33.7234,SSP5,ref 3p7,USA,N fertilizer,N fertilizer,N fertilizer,N fertilizer,missing,missing,missing,missing,missing,Mt N
