1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
16.936642,16.920482000000014,17.28600500000001,17.717318999999993,16.66338099999999,15.574331,14.704583999999993,13.803524000000008,13.195344,s1-oversubBECCSitc-h,high,Global,DAC,DAC,DAC_solvent (oxy CCS),missing,missing,missing,missing,missing,missing,missing,1975$/kg
24.184808999999994,23.88300200000001,23.618696999999997,23.936870999999996,21.050429999999988,18.437697,16.434442999999995,15.651087999999998,16.960689000000006,s1-oversubBECCSitc-h,high,Global,DAC,DAC,DAC_sorbent (oxy CCS),missing,missing,missing,missing,missing,missing,missing,1975$/kg
4.379353999999999,4.447355,4.796379,4.683301999999999,4.421549999999999,4.190786999999999,4.087966000000001,3.943415,3.8498749999999995,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.183477,0.185819,0.206774,0.266282,0.258632,0.243215,0.228349,0.226769,0.223178,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (AK lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
2.228952,2.229603,2.808711,2.776078,2.67014,2.489118,2.3158269999999996,2.2718830000000003,2.217636,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (AL lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
1.310864,1.323638,1.6247319999999998,1.606713,1.5543349999999998,1.4488209999999997,1.347975,1.3265609999999999,1.295643,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (AR lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.28219,0.293224,0.368409,0.363427,0.350658,0.326809,0.303983,0.299129,0.292252,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (AZ lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.39209399999999994,0.413022,0.5182,0.509814,0.492953,0.461519,0.43168700000000004,0.424585,0.415463,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (CA lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.297988,0.313565,0.365523,0.361031,0.357136,0.33301499999999995,0.310256,0.308327,0.301329,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (CO lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.103741,0.104506,0.144385,0.144316,0.134641,0.126746,0.119175,0.11483,0.112332,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (CT lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
1.8984311999999999,1.8948660000000002,2.465833,2.4295360000000006,2.29512,2.145876,2.002677,1.9391,1.8874423999999996,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (DE lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
1.8290535,1.8434505999999997,2.320746,2.2925549999999997,2.211092,2.0588306000000003,1.9130892,1.8802213,1.8354736999999999,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (FL lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
2.3687059999999995,2.376701,2.9990179999999995,2.964127,2.8473829999999998,2.6542140000000005,2.4691520000000002,2.421567,2.363998,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (GA lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
1.072054,1.101455,1.4004180000000002,1.388638,1.3531840000000002,1.261395,1.1736270000000002,1.161933,1.137312,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (IA lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.396188,0.416651,0.502706,0.496508,0.48096099999999997,0.449136,0.418934,0.41180300000000003,0.401841,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (ID lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
2.6114649999999995,2.630693,3.4095090000000003,3.3698289999999993,3.268661,3.052994,2.8464490000000007,2.8111740000000003,2.751922,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (IL lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
2.9503070000000005,2.9668039999999998,3.766799,3.7170620000000003,3.5930940000000002,3.3514790000000003,3.1201150000000006,3.072599,3.0031769999999995,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (IN lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.720478,0.746032,0.9236190000000001,0.9127440000000001,0.8840579999999999,0.824044,0.766659,0.755307,0.73802,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (KS lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
2.878674,2.8898500000000005,3.6838720000000005,3.6336440000000003,3.502259,3.267038,3.041682,2.989754,2.92088,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (KY lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
1.246036,1.251666,1.54886,1.530394,1.469405,1.369884,1.274602,1.2485789999999999,1.2182237,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (LA lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
1.8025010000000001,1.7976875,2.4400720000000002,2.44042,2.315389,2.176058,2.0427200000000005,1.9906680000000003,1.9514640000000003,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (MA lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
2.2912874000000003,2.29719,2.9761249999999997,2.936007,2.7939779999999996,2.610995,2.435467,2.3719123,2.3127154,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (MD lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
1.5374697,1.536033,2.095326,2.0959980000000002,2.000591,1.8785569999999998,1.761733,1.7253539999999998,1.6932970000000003,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (ME lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
2.1310819999999997,2.1223759999999996,2.726601,2.691489,2.5974839999999997,2.422296,2.2541990000000007,2.221038,2.172279,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (MI lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.126037,0.126549,0.161771,0.159822,0.150627,0.140509,0.130762,0.126856,0.123608,s1-oversubBECCSitc-h,high,Global,OEW,lime,ocean liming (MN lime),missing,missing,missing,missing,missing,missing,missing,1975$/kg
