1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,1.00004,1.22952,0.127432,0.116446,0.111569,0.123609,0.158973,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,BECCS,missing,missing,missing,1975$/GJ
0.0,0.0,0.216445,0.117175,-0.0508596,-0.0534046,0.120805,0.116179,0.123675,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,CDR,missing,missing,missing,1975$/kg
0.0,0.0,0.347868,0.252498,-0.0528962,-0.0638816,0.131427,0.147141,0.188145,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,CDR_regional,missing,missing,missing,1975$/kg
0.216323,0.221615,0.347868,0.354075,0.33392,0.318361,0.303347,0.301543,0.306672,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,DAC,missing,missing,missing,1975$/kg
0.0,0.0,0.206774,0.266282,0.258632,0.243215,0.228349,0.226769,0.223178,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,OEW,missing,missing,missing,1975$/kg
-8.75812E-52,-1.125,-1.63976E-19,9.22975E-10,6.78364E-5,1.86675E-8,2.5622E-8,3.29533E-8,3.87899E-8,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,PV_resource,missing,missing,missing,1975$/GJ
8.71699,8.46752,4.81938,6.06385,6.88449,7.53545,7.94206,8.49061,8.80627,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,base load generation,missing,missing,missing,1975$/GJ
0.0033073,0.0053824,0.00942971,0.0113571,0.00775876,0.0104602,0.0128082,0.0136285,0.0169218,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,base load generation-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,biomass liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,biomass liquids-fixed-output,missing,missing,missing,EJ
0.0,0.0,10.5979,8.90449,6.6708,6.36425,6.52233,5.53858,5.38367,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,biorefining,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.00326867,0.0108356,0.0345216,0.0434717,0.0425396,0.0557838,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,biorefining-fixed-output,missing,missing,missing,EJ
212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,carbon-storage,missing,missing,missing,1990$/tC
0.0,0.0,14968.0,14867.2,13.6909,13.5991,13.2719,13.6692,13.5665,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,coal to liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88329E-9,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,coal to liquids-fixed-output,missing,missing,missing,EJ
11.2971,12.0119,12.7815,13.0067,16.3264,16.9305,17.0268,19.0869,19.4775,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm cooking,missing,missing,missing,1975$/GJ
6.9515,6.97418,6.05135,6.26724,6.47671,6.74088,6.96597,7.19696,7.26275,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm cooling,missing,missing,missing,1975$/GJ
5.63737,6.49692,8.34242,8.47596,10.176,10.3677,10.4803,11.4985,11.7694,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm heating,missing,missing,missing,1975$/GJ
8.28091,7.27526,8.37076,8.46315,10.7574,10.8666,10.6382,11.9452,12.0596,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm hot water,missing,missing,missing,1975$/GJ
1.64074,1.59649,1.02687,1.03717,0.931258,0.964116,0.992318,1.02372,1.03257,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm lighting,missing,missing,missing,1975$/megalumen-hours
15.1117,14.5061,11.4428,12.2829,13.4171,14.5947,15.6243,16.7893,17.1212,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm non-building,missing,missing,missing,1975$/GJ
59.2987,58.6931,50.7726,51.352,52.1341,52.3073,52.3884,53.0893,53.2155,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm office,missing,missing,missing,1975$/GJ
34.5678,41.3008,31.8022,32.037,35.0117,35.7194,36.0792,37.757,38.0463,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm other,missing,missing,missing,1975$/GJ
50.2489,49.9548,49.5715,49.8165,50.1467,50.4891,50.7879,51.1256,51.2217,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm refrigeration,missing,missing,missing,1975$/GJ
77.0488,76.2702,71.1512,72.2406,72.6946,74.0417,74.0874,75.4024,76.6759,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm ventilation,missing,missing,missing,1975$/million m3
0.00436357,0.00521097,0.00410546,0.0039165,0.00372426,0.00355066,0.00368507,0.00380188,0.00393413,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,comm-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
2.05137,2.09109,2.10935,2.13417,-0.744194,-1.05891,-0.921967,-2.28223,-2.2602,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,delivered biomass,missing,missing,missing,1975$/GJ
1.0,1.0,26.1669,25.8225,20.8083,25.912,25.2441,24.4418,23.1333,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,distributed_solar,missing,missing,missing,1975$/GJ
15.1117,14.5061,11.4428,12.2829,13.4171,14.5947,15.6243,16.7893,17.1212,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,elect_td_bld-fixed-output,missing,missing,missing,EJ
12.9167,12.3961,9.45084,10.326,11.4553,12.6876,13.7294,14.8944,15.2351,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,missing,1975$/GJ
15.1117,14.5061,11.4408,12.276,13.3653,14.5576,15.5594,16.6844,16.9851,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,missing,1975$/GJ
0.0,0.0,6.74331,6.78204,6.81825,6.83648,6.7311,6.86734,6.90461,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,gas to liquids,missing,missing,missing,1975$/GJ
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43038E-4,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,gas to liquids-fixed-output,missing,missing,missing,EJ
0.273833,-0.543104,0.001,0.001,0.316913,0.31742,0.31802,0.319563,0.321007,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,geothermal,missing,missing,missing,1975$/GJ
5.34875,5.83748,7.07371,7.19002,9.22664,9.52923,9.53865,10.7173,10.7904,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,industrial energy use,missing,missing,missing,1975$/GJ
2.80216,3.00029,6.36661,6.40505,6.26096,6.03288,5.99065,5.88027,5.79229,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,industrial feedstocks,missing,missing,missing,1975$/GJ
30.2975,30.807,31.9494,32.052,33.7051,33.9144,33.9147,34.8667,34.9114,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,industry,missing,missing,missing,1975$/GJ
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,industry-tfe,missing,missing,missing,EJ
11.9192,12.3898,12.2159,12.7078,14.888,16.7231,18.3415,20.1979,20.4949,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,intermediate generation,missing,missing,missing,1975$/GJ
0.0,0.0,0.00726349,0.0066684,0.00539198,0.00483292,0.00591482,0.00666231,0.00820875,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,intermediate generation-fixed-output,missing,missing,missing,EJ
0.0,0.0,0.0,0.100152,0.0969319,0.0981052,0.0980617,0.0984433,0.0998545,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,lime,missing,missing,missing,1975$/kg
0.195886,0.195889,0.195824,0.195831,0.195799,0.195789,0.195776,0.195762,0.19575,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,municipal water,missing,missing,missing,1975$/m^3
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,municipal water-tfe,missing,missing,missing,EJ
0.0390184,-1.04209,-1.35699,0.001,0.147063,0.185821,0.196984,0.219544,0.229554,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,offshore wind resource,missing,missing,missing,1975$/GJ
2.47738,2.64236,6.05079,6.08295,5.92607,5.69128,5.64405,5.53238,5.43763,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,oil refining,missing,missing,missing,1975$/GJ
0.0,0.0,0.272286,0.29215,0.284347,0.265276,0.223094,0.15608,0.0917789,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,oil refining-fixed-output,missing,missing,missing,EJ
0.0390184,0.0636993,0.313852,0.286933,0.530079,0.606717,0.651467,0.699881,0.737721,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,onshore wind resource,missing,missing,missing,1975$/GJ
48.3923,49.8953,22.1758,17.8409,13.3461,15.9144,20.1999,23.2865,24.1935,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,peak generation,missing,missing,missing,1975$/GJ
0.0,0.0,1.11227E-4,1.01092E-4,7.24961E-5,7.83786E-5,9.35669E-5,1.02843E-4,1.25514E-4,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,peak generation-fixed-output,missing,missing,missing,EJ
1.91137,1.95109,1.96935,1.99417,-0.884194,-1.19891,-1.06197,-2.42223,-2.4002,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,regional biomass,missing,missing,missing,1975$/GJ
0.0,10.27,11.1092,11.1872,8.51581,7.72325,6.86734,5.58477,4.95066,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,regional biomassOil,missing,missing,missing,1975$/GJ
3.24646,3.24646,3.34875,3.3884,0.842983,0.508565,0.339162,-0.912039,-1.07124,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,regional corn for ethanol,missing,missing,missing,1975$/GJ
7.24102,6.94545,7.26433,7.31374,4.83947,4.75098,4.98116,3.94784,4.07989,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,regional sugar for ethanol,missing,missing,missing,1975$/GJ
0.0556895,0.0548954,0.0584754,0.0597313,0.0624868,0.0643379,0.0657763,0.0680823,0.0686656,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid clothes dryers,missing,missing,missing,1975$/kg
0.0,0.125489,0.13439,0.134715,0.135153,0.135607,0.136005,0.136454,0.136582,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid clothes washers,missing,missing,missing,1975$/cycle
0.0,34.5061,27.6285,26.4647,25.5904,24.8649,24.1117,24.4182,24.5056,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid computers,missing,missing,missing,1975$/GJ
28.5418,27.7548,29.6745,30.388,33.8523,35.0886,35.905,38.2539,38.6437,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid cooking,missing,missing,missing,1975$/GJ
10.4931,10.294,8.59906,8.82861,9.13969,9.46417,9.74912,10.0729,10.1654,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid cooling,missing,missing,missing,1975$/GJ
0.0,0.259603,0.241462,0.244765,0.249168,0.253676,0.257567,0.261918,0.263148,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid dishwashers,missing,missing,missing,1975$/cycle
31.0772,30.4698,26.4661,27.0577,27.856,28.6846,29.4088,30.228,30.4613,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid freezers,missing,missing,missing,1975$/GJ
0.0,34.5061,28.6036,28.1886,28.0342,27.9752,27.8121,28.3947,28.5606,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid furnace fans,missing,missing,missing,1975$/GJ
8.39821,8.30167,7.06963,7.32684,7.8696,8.2543,8.57268,9.025,9.11134,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid heating,missing,missing,missing,1975$/GJ
19.2765,18.9082,18.5772,19.1451,21.1402,22.0625,22.5607,23.8499,24.0867,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid hot water,missing,missing,missing,1975$/GJ
2.92965,2.81956,0.692908,0.548323,0.50372,0.530828,0.553897,0.580683,0.588308,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid lighting,missing,missing,missing,1975$/megalumen-hours
32.9298,33.1781,30.1726,30.7762,32.228,33.0006,33.5807,34.7277,34.9401,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid other,missing,missing,missing,1975$/GJ
16.9388,16.6232,15.0218,15.3475,15.7856,16.2386,16.6333,17.0782,17.2047,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid refrigerators,missing,missing,missing,1975$/GJ
35.1117,34.5061,29.1542,29.0985,29.9386,30.8109,31.5735,32.4365,32.6824,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid televisions,missing,missing,missing,1975$/GJ
0.00218662,0.00440212,0.00327547,0.00312451,0.00322218,0.00329842,0.00343832,0.00356856,0.00368943,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,resid-internal-gains-trial-market-trial-supply,missing,missing,missing,EJ
24.7909,25.3738,22.0146,18.8771,14.3099,17.0842,21.3054,24.1793,24.9443,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,subpeak generation,missing,missing,missing,1975$/GJ
0.0,0.0,8.0079E-4,7.28891E-4,5.51181E-4,5.51005E-4,6.58973E-4,7.37554E-4,8.998E-4,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,subpeak generation-fixed-output,missing,missing,missing,EJ
0.135761,0.134178,0.138139,0.137876,0.146254,0.148451,0.153111,0.161015,0.166146,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_aviation_intl,missing,missing,missing,1990$/pass-km
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_aviation_intl-tfe,missing,missing,missing,EJ
0.0643878,0.0659824,0.0802506,0.0804242,0.0881163,0.088099,0.0883226,0.0916369,0.0911965,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_freight,missing,missing,missing,1990$/ton-km
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_freight-tfe,missing,missing,missing,EJ
0.128124,0.129834,0.157074,0.155108,0.17157,0.168884,0.166362,0.172841,0.171227,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_freight_road,missing,missing,missing,1990$/ton-km
0.315422,0.280579,0.321719,0.321347,0.341124,0.346919,0.357863,0.376623,0.38867,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_pass,missing,missing,missing,1990$/pass-km
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_pass-tfe,missing,missing,missing,EJ
0.475536,0.463115,0.497901,0.504955,0.523107,0.547335,0.573496,0.605959,0.639129,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_pass_road,missing,missing,missing,1990$/pass-km
0.472565,0.46084,0.496319,0.503311,0.520955,0.544751,0.570465,0.60248,0.635217,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_pass_road_LDV,missing,missing,missing,1990$/pass-km
0.139209,0.13991,0.157534,0.154282,0.151673,0.150436,0.14907,0.149618,0.149531,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_pass_road_LDV_4W,missing,missing,missing,1990$/pass-km
0.00174563,0.00179218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_shipping_intl,missing,missing,missing,1990$/ton-km
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,trn_shipping_intl-tfe,missing,missing,missing,EJ
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_an_C,missing,missing,missing,1975$/m^3
5.86463E-4,5.88523E-4,5.24158E-4,5.31478E-4,4.99342E-4,4.8852E-4,4.76371E-4,4.61634E-4,4.50207E-4,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_an_W,missing,missing,missing,1975$/m^3
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_elec_C,missing,missing,missing,1975$/m^3
5.86463E-4,5.88523E-4,5.24158E-4,5.31478E-4,4.99342E-4,4.8852E-4,4.76371E-4,4.61634E-4,4.50207E-4,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_elec_W,missing,missing,missing,1975$/m^3
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_ind_C,missing,missing,missing,1975$/m^3
5.86463E-4,5.88523E-4,5.24158E-4,5.31478E-4,4.99342E-4,4.8852E-4,4.76371E-4,4.61634E-4,4.50207E-4,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_ind_W,missing,missing,missing,1975$/m^3
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_irr_PacArctic_C,missing,missing,missing,1975$/m^3
2.93232E-5,2.94262E-5,2.62079E-5,2.65739E-5,2.49671E-5,2.4426E-5,2.38185E-5,2.30817E-5,2.25104E-5,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_irr_PacArctic_W,missing,missing,missing,1975$/m^3
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_muni_C,missing,missing,missing,1975$/m^3
5.86463E-4,5.88523E-4,5.24158E-4,5.31478E-4,4.99342E-4,4.8852E-4,4.76371E-4,4.61634E-4,4.50207E-4,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_muni_W,missing,missing,missing,1975$/m^3
2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,2.22808E-15,s1-oversubBECCSitc-h,high,AK,missing,missing,missing,missing,missing,missing,water_td_pri_C,missing,missing,missing,1975$/m^3
