1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.0,0.0,0.0136306,0.0316199,0.0479996,0.06258,s1-procure3B-h,high,Africa_Eastern,missing,biomass,biomass (IGCC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.00191234,0.00445165,0.00617635,0.00978785,0.0136443,0.0171876,s1-procure3B-h,high,Africa_Eastern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,2.85694E-4,0.0023836,0.00812558,0.020654,s1-procure3B-h,high,Africa_Eastern,missing,biomass,biomass (conv CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0012925,0.00210251,0.00815307,0.0141089,0.0213275,0.0243099,0.0292138,0.0289735,0.0270686,s1-procure3B-h,high,Africa_Eastern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,5.49295E-5,4.9659E-5,6.08905E-5,6.99907E-5,7.33427E-5,6.44278E-5,5.68034E-5,s1-procure3B-h,high,Africa_Eastern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,5.12265E-5,4.28972E-4,0.00132055,0.0029883,s1-procure3B-h,high,Africa_Eastern,missing,coal,coal (IGCC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.00204214,0.00424987,0.00731053,0.0105002,0.0130065,0.0147303,s1-procure3B-h,high,Africa_Eastern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,6.26192E-5,4.67154E-4,0.00129075,0.00268926,s1-procure3B-h,high,Africa_Eastern,missing,coal,coal (conv pul CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
6.61901E-4,0.00468252,0.0126143,0.0186358,0.0244364,0.0318158,0.0367994,0.0386187,0.0380434,s1-procure3B-h,high,Africa_Eastern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,9.31487E-6,1.45594E-5,2.59332E-5,4.19538E-5,7.67913E-5,1.07672E-4,1.41057E-4,s1-procure3B-h,high,Africa_Eastern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.00146106,0.00509656,0.0102793,0.0171709,s1-procure3B-h,high,Africa_Eastern,missing,gas,gas (CC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00189441,0.00452034,0.00820303,0.0125675,0.0172801,0.022298,0.0275866,s1-procure3B-h,high,Africa_Eastern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00424196,0.00677541,0.00858731,0.00954331,0.00848971,0.00689811,0.00507673,s1-procure3B-h,high,Africa_Eastern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.00117369,0.00361098,0.0350802,0.0543781,0.0709136,0.0862863,0.101802,0.107939,0.112579,s1-procure3B-h,high,Africa_Eastern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,s1-procure3B-h,high,Africa_Eastern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.71835E-4,5.96935E-4,0.00138029,0.00366248,0.00463661,0.00637109,0.00862652,s1-procure3B-h,high,Africa_Eastern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00217662,0.0183501,0.0471906,0.100245,0.200576,0.335986,0.511606,s1-procure3B-h,high,Africa_Eastern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0231973,0.0427473,0.0491024,0.0536213,s1-procure3B-h,high,Africa_Eastern,missing,refined liquids,refined liquids (CC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0296021,0.051785,0.0640989,0.0597871,0.0545281,0.0491393,0.0497785,s1-procure3B-h,high,Africa_Eastern,missing,refined liquids,refined liquids (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0092828,0.0284467,0.0806916,0.0902325,0.0823759,0.0692454,0.0436667,0.025191,0.0154346,s1-procure3B-h,high,Africa_Eastern,missing,refined liquids,refined liquids (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0287641,0.0661541,0.150111,0.294253,0.476311,0.674892,0.890361,s1-procure3B-h,high,Africa_Eastern,missing,rooftop_pv,rooftop_pv,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.22088E-5,1.8825E-4,0.00137389,0.00623433,0.0235189,0.0584816,0.11843,s1-procure3B-h,high,Africa_Eastern,missing,solar,CSP_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,5.21026E-5,0.030238437,0.09040743700000001,0.153108637,0.238746137,0.381634137,0.5582404,0.7541647,s1-procure3B-h,high,Africa_Eastern,missing,solar,PV,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,3.89001E-5,4.599381E-4,0.0033734481,0.0171585481,0.0740321481,0.2039371481,0.441285248,s1-procure3B-h,high,Africa_Eastern,missing,solar,PV_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,1.03005E-5,0.06500212,0.16823612,0.28470512,0.43598512,0.66792712,0.9386822,1.215667,s1-procure3B-h,high,Africa_Eastern,missing,wind,wind,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.53662E-4,0.002367802,0.009687982,0.031369982,0.092999182,0.20451952,0.38707438,s1-procure3B-h,high,Africa_Eastern,missing,wind,wind_offshore,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.11121E-4,0.001497141,0.005963741,0.020093441,0.065208741,0.149907241,0.28470412,s1-procure3B-h,high,Africa_Eastern,missing,wind,wind_storage,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.00295295,0.0054937,0.00903807,0.0121388,s1-procure3B-h,high,Africa_Northern,missing,biomass,biomass (IGCC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,4.37102E-4,0.00126886,0.00156133,0.00209401,0.002998,0.00390339,s1-procure3B-h,high,Africa_Northern,missing,biomass,biomass (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,6.4812E-5,3.63307E-4,0.00162308,0.00425325,s1-procure3B-h,high,Africa_Northern,missing,biomass,biomass (conv CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00196384,0.0031158,0.00523216,0.00500516,0.00587621,0.00615779,0.0061044,s1-procure3B-h,high,Africa_Northern,missing,biomass,biomass (conv),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,4.72146E-6,4.06504E-6,3.57496E-6,3.48056E-6,4.97024E-6,4.46307E-6,4.11413E-6,s1-procure3B-h,high,Africa_Northern,missing,biomass,biomass cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,7.35277E-5,3.89858E-4,0.0014024,0.00305908,s1-procure3B-h,high,Africa_Northern,missing,coal,coal (IGCC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0041097,0.00962193,0.0142691,0.016997,0.0199146,0.0216538,s1-procure3B-h,high,Africa_Northern,missing,coal,coal (IGCC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,9.06702E-5,4.3421E-4,0.00138372,0.00279193,s1-procure3B-h,high,Africa_Northern,missing,coal,coal (conv pul CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.00796429,0.0458413,0.0870629,0.0966269,0.10751,0.113646,0.110132,0.10164,0.0890578,s1-procure3B-h,high,Africa_Northern,missing,coal,coal (conv pul),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,2.99111E-4,3.51733E-4,4.02277E-4,4.61909E-4,8.83626E-4,0.00107509,0.00128088,s1-procure3B-h,high,Africa_Northern,missing,gas,biogas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0263707,0.0706154,0.159959,0.261208,s1-procure3B-h,high,Africa_Northern,missing,gas,gas (CC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0752972,0.198004,0.547996,0.672366,0.872984,1.01541,1.06498,1.15128,1.22201,s1-procure3B-h,high,Africa_Northern,missing,gas,gas (CC),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0604991,0.284393,0.568582,0.601452,0.635918,0.625617,0.547636,0.464476,0.375804,s1-procure3B-h,high,Africa_Northern,missing,gas,gas (steam/CT),electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00126108,9.86733E-4,9.0512E-4,9.76073E-4,0.00103728,9.01637E-4,7.65335E-4,s1-procure3B-h,high,Africa_Northern,missing,gas,gas cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00886284,0.0178143,0.030626,0.0415023,0.052238,0.0674811,0.0751767,s1-procure3B-h,high,Africa_Northern,missing,geothermal,geothermal,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0408229,0.0516283,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,s1-procure3B-h,high,Africa_Northern,missing,hydro,hydro,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,1.20562E-4,2.49986E-4,4.27682E-4,7.97703E-4,0.00126227,0.00166362,0.00214987,s1-procure3B-h,high,Africa_Northern,missing,hydrogen,hydrogen cogen,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00108671,0.00599548,0.0176549,0.031679,0.0480308,0.0811242,0.122764,s1-procure3B-h,high,Africa_Northern,missing,nuclear,Gen_III,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0380319,0.0569705,0.10839,0.147588,s1-procure3B-h,high,Africa_Northern,missing,refined liquids,refined liquids (CC CCS),electricity,missing,missing,missing,missing,missing,missing,EJ
