,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0128577,0.0220509,0.04260592,0.05239626,0.07491833,0.04098,0.0665101,s1-procure3B-h,high,USA,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
1,0.0,0.0,0.0445233,0.0837564,0.122698,0.18621,0.283606,0.277176,0.465053,s1-procure3B-h,high,USA,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
2,0.0,0.0,0.458524,0.813588,4.32229,7.62544,10.8307,14.5907,16.9833,s1-procure3B-h,high,USA,backup_electricity,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
3,0.0,0.0,0.0218958,0.0200805,0.0937354,0.0794059,0.0858732,0.192997,0.200196,s1-procure3B-h,high,USA,biogas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
4,0.0,0.0,-0.900086,-0.825461,-3.85324,-3.26419,-3.53005,-7.93364,-8.22957,s1-procure3B-h,high,USA,biogas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
5,0.0,0.0,0.00986624,0.0151686,0.0805602,0.163543,0.267937,0.558414,0.752727,s1-procure3B-h,high,USA,csp_backup,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
6,9.16221,8.10091,9.73787,10.1507,10.0144,10.0146,10.1743,9.49211,10.065,s1-procure3B-h,high,USA,gas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
7,0.844259,-1.0095200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s1-procure3B-h,high,USA,gas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
8,0.0,0.0,0.0,0.0,0.0,-0.0868067,-0.1612502,-0.256573,-0.3721573999999999,s1-procure3B-h,high,Africa_Eastern,CDR_regional,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
9,0.0,0.0,0.03403108,0.0926457,0.2153792,0.288605585,0.262945943,0.26444214,0.3029655,s1-procure3B-h,high,Africa_Eastern,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
10,0.0,0.0,0.015959,0.0405739,0.090823,0.175011,0.284941,0.460301,0.678698,s1-procure3B-h,high,Africa_Eastern,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
11,0.0118274,0.00133626,0.0632956,0.1326036,0.2266763,0.30711325,0.37704502,0.4439871,0.4801519499999999,s1-procure3B-h,high,Africa_Eastern,N fertilizer,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
12,0.0,0.0,0.0529132,0.304177,0.930675,2.00316,3.41282,4.87612,6.16222,s1-procure3B-h,high,Africa_Eastern,backup_electricity,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
13,0.0,0.0,0.00431213,0.0066711,0.010562,0.0175982,0.0327801,0.0463893,0.0633559,s1-procure3B-h,high,Africa_Eastern,biogas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
14,0.0,0.0,0.3245558558999999,0.8860710602,1.8093581036,3.1622000376,4.587168894399999,6.1003061544,7.8018740498999986,s1-procure3B-h,high,Africa_Eastern,biorefining,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
15,0.299,0.725,1.33855,1.76508,2.46156,3.0980944,3.055884,3.251759,3.593668,s1-procure3B-h,high,Africa_Eastern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
16,0.0113065,0.024432354,0.038905286,0.044525177,0.054960831,0.069732376,0.084312418,0.1057026495,0.1350834361,s1-procure3B-h,high,Africa_Eastern,comm heating,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
17,0.8068150000000001,2.14949878,2.458101125,2.5044760270000004,2.61995185,2.6373587350000003,2.3856660830000003,2.04897415,1.83221648,s1-procure3B-h,high,Africa_Eastern,comm others,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
18,0.000533494,0.0005082416,0.0005479892,0.0006314299000000001,0.0007904749,0.0010120259999999,0.0011719408999999,0.0012628061,0.0013359586,s1-procure3B-h,high,Africa_Eastern,desalinated water,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
19,0.0,0.0,0.0,0.0,0.0,0.1113542005,0.2411373883,0.3547936321,0.4434758616,s1-procure3B-h,high,Africa_Eastern,elec_biomass (IGCC CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
20,0.0,0.0,0.0,0.12512747,0.28464196,0.38889805,0.6006280999999999,0.8169442899999999,1.0048169500000002,s1-procure3B-h,high,Africa_Eastern,elec_biomass (IGCC),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
21,0.0,0.0,0.0,0.0,0.0,0.002880058,0.021369027,0.069872142,0.1631484219999999,s1-procure3B-h,high,Africa_Eastern,elec_biomass (conv CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
22,0.11458007,0.1993055899999999,0.71251197,1.17679918,1.7252307500000004,1.93189408,2.256106889999999,2.174636468,1.976043315,s1-procure3B-h,high,Africa_Eastern,elec_biomass (conv),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
23,0.0,0.0,0.0,0.0,0.0,0.0004172851,0.00314522047,0.00937950035,0.01978173111,s1-procure3B-h,high,Africa_Eastern,elec_coal (IGCC CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
24,0.0,0.0,0.0,0.1264711899999999,0.258707606,0.4365770799999999,0.617464639,0.7558856879999999,0.8469120839999998,s1-procure3B-h,high,Africa_Eastern,elec_coal (IGCC),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
25,0.0,0.0,0.0,0.0,0.0,0.0005750413,0.0038689053,0.0103541657999999,0.0201681742,s1-procure3B-h,high,Africa_Eastern,elec_coal (conv pul CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
26,0.06314268,0.433902,1.024918,1.40562896,1.7580492800000005,2.19302254,2.4548634700000003,2.48827532,2.39687651,s1-procure3B-h,high,Africa_Eastern,elec_coal (conv pul),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
