,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0,0.0,0.0,-0.7642707999999999,-1.823652,-2.9393480000000003,-4.35304,s1-procure3B-h,high,Africa_Eastern,missing,biomass,missing,CO2,missing,missing,missing,missing,missing,missing,MTC
1,0.0,0.0,0.0287641,0.0661541,0.150111,0.294253,0.476311,0.674892,0.890361,s1-procure3B-h,high,Africa_Eastern,missing,rooftop_pv,missing,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
2,0.0012925,0.00210251,0.00815307,0.01602124,0.02577915,0.044402544,0.07300515,0.09874298,0.1274902,s1-procure3B-h,high,Africa_Eastern,missing,biomass,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
3,0.000661901,0.00468252,0.0126143,0.02067794,0.02868627,0.0392401757,0.048195726,0.0542365,0.05845126,s1-procure3B-h,high,Africa_Eastern,missing,coal,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
4,0.0,0.0,0.00613637,0.01129575,0.01679034,0.02357187,0.0308663699999999,0.0394754099999999,0.0498342299999999,s1-procure3B-h,high,Africa_Eastern,missing,gas,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
5,0.00117369,0.00361098,0.0350802,0.0543781,0.0709136,0.0862863,0.101802,0.107939,0.112579,s1-procure3B-h,high,Africa_Eastern,missing,geothermal,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
6,0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,s1-procure3B-h,high,Africa_Eastern,missing,hydro,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
7,0.0,0.0,0.00217662,0.0183501,0.0471906,0.100245,0.200576,0.335986,0.511606,s1-procure3B-h,high,Africa_Eastern,missing,nuclear,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
8,0.0092828,0.0284467,0.1102937,0.1420175,0.1464748,0.1522298,0.1409421,0.1234327,0.1188343999999999,s1-procure3B-h,high,Africa_Eastern,missing,refined liquids,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
9,0.0,5.21026e-05,0.0302895459,0.0910556251,0.1578559751,0.2621390151,0.4791851851,0.8206591481,1.313879948,s1-procure3B-h,high,Africa_Eastern,missing,solar,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
10,0.0,1.03005e-05,0.065466903,0.172101063,0.300356843,0.4874485429999999,0.826135043,1.293108961,1.8874455,s1-procure3B-h,high,Africa_Eastern,missing,wind,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
11,0.0,0.0,0.0,1.62569e-06,0.0,6.656930000000001e-07,2.639053e-05,7.13245e-05,0.0001666644,s1-procure3B-h,high,Africa_Eastern,missing,biomass,missing,waste_heat,missing,missing,missing,missing,missing,missing,EJ
12,0.0,0.0,0.0,2.191883e-05,0.0,1.61236283e-06,3.7223913e-05,7.540504e-05,0.00014544313,s1-procure3B-h,high,Africa_Eastern,missing,coal,missing,waste_heat,missing,missing,missing,missing,missing,missing,EJ
13,0.0,0.0,0.0,8.34014e-06,0.0,7.219276999999999e-07,1.848627e-05,4.392545e-05,0.00010179742,s1-procure3B-h,high,Africa_Eastern,missing,gas,missing,waste_heat,missing,missing,missing,missing,missing,missing,EJ
14,0.0,0.0,0.0,0.0,0.0,-0.16576695,-0.31359,-0.5591729999999999,-0.8591500000000001,s1-procure3B-h,high,Africa_Northern,missing,biomass,missing,CO2,missing,missing,missing,missing,missing,missing,MTC
15,0.0,0.0,0.0711614,0.220103,0.32194,0.429133,0.638822,0.825542,1.00446,s1-procure3B-h,high,Africa_Northern,missing,rooftop_pv,missing,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
