,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,15.2079,14.539,14.4842,13.345,12.8928,12.3524,12.0456,11.7388,11.4172,s1-procure3B-l,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
1,13.0129,12.429,12.8474,11.8082,11.6617,11.4649,11.2639,10.8143,10.299,s1-procure3B-l,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
2,15.2079,14.539,14.8374,13.7582,13.5717,13.3349,13.0939,12.6043,12.049,s1-procure3B-l,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
3,10.3317,9.61029,9.53448,8.75117,8.64993,8.51714,8.38037,8.04773,7.66249,s1-procure3B-l,low,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
4,11.5037,10.525,12.9376,12.0199,11.4191,11.2359,11.8938,11.7965,11.6462,s1-procure3B-l,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
5,9.30874,8.41504,11.012,10.3213,9.71247,9.53683,10.3575,10.3079,10.1746,s1-procure3B-l,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
6,11.5037,10.525,13.002,12.2713,11.6225,11.4068,12.1875,12.0979,11.9246,s1-procure3B-l,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
7,6.93394,6.51421,8.44994,7.90901,7.43012,7.30674,8.00027,7.98077,7.89248,s1-procure3B-l,low,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
8,11.9595,12.3177,15.8293,14.7707,13.6636,12.9767,12.7267,12.5293,12.4457,s1-procure3B-l,low,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
9,9.76452,10.2077,14.8992,14.3097,13.4639,13.2524,14.0641,14.0402,13.762,s1-procure3B-l,low,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
10,11.9595,12.3177,16.8892,16.2597,15.3739,15.1224,15.8941,15.8302,15.512,s1-procure3B-l,low,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
11,8.23199,7.96576,12.1042,11.6353,10.9347,10.7797,11.4983,11.5039,11.2918,s1-procure3B-l,low,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
12,11.4045,11.2863,13.0748,12.1571,11.622,11.5343,11.8361,11.8211,11.8043,s1-procure3B-l,low,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
13,9.20954,9.17629,11.2954,10.6061,10.0625,10.0708,10.6762,10.7755,10.7887,s1-procure3B-l,low,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
14,11.4045,11.2863,13.2854,12.5561,11.9725,11.9408,12.5062,12.5655,12.5387,s1-procure3B-l,low,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
