,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0,,,0.123248,0.176694,0.258808,0.371218,s1-procure3B-n,nothing,Africa_Eastern,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
1,0.0,0.0,0.0,,,0.016851,0.0272858,0.0475466,0.0811742,s1-procure3B-n,nothing,Africa_Eastern,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
2,0.0,0.0,0.0,,,0.0516442,0.0911996,0.127601,0.17505,s1-procure3B-n,nothing,Africa_Eastern,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
3,0.0,0.0,0.0,,,0.0184725,0.040775,0.0755768,0.106246,s1-procure3B-n,nothing,Africa_Eastern,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
4,0.0,0.0,0.0,,,0.13612,0.167777,0.198003,0.234014,s1-procure3B-n,nothing,Africa_Northern,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
5,0.0,0.0,0.0,,,0.0521226,0.0644383,0.0798979,0.0989444,s1-procure3B-n,nothing,Africa_Northern,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
6,0.0,0.0,0.0,,,0.0841237,0.127415,0.143801,0.162017,s1-procure3B-n,nothing,Africa_Northern,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
7,0.0,0.0,0.0,,,0.0327228,0.0503757,0.0693832,0.0798612,s1-procure3B-n,nothing,Africa_Northern,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
8,0.0,0.0,0.0,,,0.0273044,0.032953,0.0429461,0.0579126,s1-procure3B-n,nothing,Africa_Southern,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
9,0.0,0.0,0.0,,,0.00920037,0.0110559,0.0156875,0.0232579,s1-procure3B-n,nothing,Africa_Southern,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
10,0.0,0.0,0.0,,,0.0145051,0.0212415,0.0266109,0.0347608,s1-procure3B-n,nothing,Africa_Southern,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
11,0.0,0.0,0.0,,,0.00685396,0.0114636,0.0189363,0.0256679,s1-procure3B-n,nothing,Africa_Southern,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
12,0.0,0.0,0.0,,,0.170001,0.238751,0.324532,0.433591,s1-procure3B-n,nothing,Africa_Western,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
13,0.0,0.0,0.0,,,0.0629017,0.0875506,0.125765,0.179563,s1-procure3B-n,nothing,Africa_Western,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
14,0.0,0.0,0.0,,,0.101476,0.173933,0.224051,0.2844,s1-procure3B-n,nothing,Africa_Western,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
15,0.0,0.0,0.0,,,0.0492492,0.0952232,0.159627,0.208588,s1-procure3B-n,nothing,Africa_Western,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
16,0.0,0.0,0.0,,,0.315846,0.368205,0.407109,0.463881,s1-procure3B-n,nothing,Australia_NZ,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
17,0.0,0.0,0.0,,,0.135794,0.157041,0.181011,0.217556,s1-procure3B-n,nothing,Australia_NZ,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
18,0.0,0.0,0.0,,,0.213188,0.3031,0.317134,0.343501,s1-procure3B-n,nothing,Australia_NZ,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
19,0.0,0.0,0.0,,,0.0719958,0.102712,0.130905,0.14536,s1-procure3B-n,nothing,Australia_NZ,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
20,0.0,0.0,0.0,,,0.364112,0.445549,0.502449,0.573695,s1-procure3B-n,nothing,Brazil,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
21,0.0,0.0,0.0,,,0.150367,0.189168,0.225588,0.273278,s1-procure3B-n,nothing,Brazil,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
22,0.0,0.0,0.0,,,0.233581,0.356913,0.3849,0.419424,s1-procure3B-n,nothing,Brazil,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
23,0.0,0.0,0.0,,,0.0964285,0.152991,0.206469,0.233404,s1-procure3B-n,nothing,Brazil,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
24,0.0,0.0,0.0,,,0.261575,0.317425,0.348706,0.402667,s1-procure3B-n,nothing,Canada,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
25,0.0,0.0,0.0,,,0.104075,0.129762,0.148628,0.18442,s1-procure3B-n,nothing,Canada,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
26,0.0,0.0,0.0,,,0.164937,0.251782,0.264206,0.293953,s1-procure3B-n,nothing,Canada,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
27,0.0,0.0,0.0,,,0.0612795,0.0951789,0.124838,0.141988,s1-procure3B-n,nothing,Canada,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
28,0.0,0.0,0.0,,,0.0567142,0.0691708,0.0801382,0.100511,s1-procure3B-n,nothing,Central America and Caribbean,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
29,0.0,0.0,0.0,,,0.0227933,0.0280975,0.0341173,0.0465711,s1-procure3B-n,nothing,Central America and Caribbean,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
30,0.0,0.0,0.0,,,0.0343223,0.0522231,0.0580531,0.0711651,s1-procure3B-n,nothing,Central America and Caribbean,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
31,0.0,0.0,0.0,,,0.0142833,0.0229511,0.0321211,0.0393141,s1-procure3B-n,nothing,Central America and Caribbean,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
32,0.0,0.0,0.0,,,0.0908517,0.110356,0.124265,0.140279,s1-procure3B-n,nothing,Central Asia,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
33,0.0,0.0,0.0,,,0.0381693,0.0459023,0.0534088,0.0634942,s1-procure3B-n,nothing,Central Asia,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
34,0.0,0.0,0.0,,,0.0582834,0.0863463,0.0913101,0.0972501,s1-procure3B-n,nothing,Central Asia,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
35,0.0,0.0,0.0,,,0.026068,0.0422926,0.0588448,0.0669101,s1-procure3B-n,nothing,Central Asia,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
36,0.0,0.0,0.0,,,2.29243,2.64139,2.82688,3.10097,s1-procure3B-n,nothing,China,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
37,0.0,0.0,0.0,,,0.825669,0.963919,1.08026,1.27738,s1-procure3B-n,nothing,China,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
38,0.0,0.0,0.0,,,1.39064,1.95605,1.96422,2.04524,s1-procure3B-n,nothing,China,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
39,0.0,0.0,0.0,,,0.419214,0.570485,0.694723,0.748049,s1-procure3B-n,nothing,China,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
40,0.0,0.0,0.0,,,0.221661,0.256065,0.279239,0.3061,s1-procure3B-n,nothing,EU-12,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
41,0.0,0.0,0.0,,,0.0790415,0.0939927,0.109153,0.127306,s1-procure3B-n,nothing,EU-12,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
42,0.0,0.0,0.0,,,0.132264,0.189697,0.197665,0.205984,s1-procure3B-n,nothing,EU-12,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
43,0.0,0.0,0.0,,,0.0542616,0.0813507,0.107138,0.117935,s1-procure3B-n,nothing,EU-12,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
44,0.0,0.0,0.0,,,2.11057,2.49377,2.83587,3.0959,s1-procure3B-n,nothing,EU-15,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
45,0.0,0.0,0.0,,,0.790997,0.961437,1.16134,1.32965,s1-procure3B-n,nothing,EU-15,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
46,0.0,0.0,0.0,,,1.30415,1.92445,2.10544,2.18376,s1-procure3B-n,nothing,EU-15,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
47,0.0,0.0,0.0,,,0.317181,0.427512,0.52772,0.562259,s1-procure3B-n,nothing,EU-15,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
48,0.0,0.0,0.0,,,0.0312537,0.0389252,0.0493182,0.0605094,s1-procure3B-n,nothing,Europe_Eastern,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
49,0.0,0.0,0.0,,,0.0117042,0.0142954,0.019495,0.0258887,s1-procure3B-n,nothing,Europe_Eastern,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
50,0.0,0.0,0.0,,,0.0188028,0.0285523,0.0347398,0.0409339,s1-procure3B-n,nothing,Europe_Eastern,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
51,0.0,0.0,0.0,,,0.00933874,0.0167789,0.027624,0.0348233,s1-procure3B-n,nothing,Europe_Eastern,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
52,0.0,0.0,0.0,,,0.219877,0.251256,0.270182,0.295638,s1-procure3B-n,nothing,Europe_Non_EU,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
53,0.0,0.0,0.0,,,0.0799302,0.0908329,0.10126,0.116166,s1-procure3B-n,nothing,Europe_Non_EU,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
54,0.0,0.0,0.0,,,0.135171,0.187093,0.187935,0.192483,s1-procure3B-n,nothing,Europe_Non_EU,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
55,0.0,0.0,0.0,,,0.0513685,0.073256,0.0925846,0.100236,s1-procure3B-n,nothing,Europe_Non_EU,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
56,0.0,0.0,0.0,,,0.179311,0.251809,0.329067,0.385145,s1-procure3B-n,nothing,European Free Trade Association,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
57,0.0,0.0,0.0,,,0.0709682,0.103865,0.142285,0.174627,s1-procure3B-n,nothing,European Free Trade Association,CDR_regional,CDR,DAC,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
58,0.0,0.0,0.0,,,0.113723,0.202386,0.252646,0.282024,s1-procure3B-n,nothing,European Free Trade Association,CDR_regional,CDR,OEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
59,0.0,0.0,0.0,,,0.009833,0.0126058,0.0148354,0.0156967,s1-procure3B-n,nothing,European Free Trade Association,CDR_regional,CDR,TEW,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
60,0.0,0.0,0.0,,,0.654782,0.814674,0.967425,1.15713,s1-procure3B-n,nothing,India,CDR_regional,CDR,BECCS,CDR_regional,missing,missing,missing,missing,missing,missing,Mt
