,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,15.2079,14.539,14.4842,13.351,12.8881,12.35,12.0395,11.7351,11.4196,s1-procure3B-n,nothing,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
1,13.0129,12.429,12.8474,11.8165,11.6552,11.4602,11.2559,10.8116,10.3011,s1-procure3B-n,nothing,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
2,15.2079,14.539,14.8374,13.7665,13.5652,13.3302,13.0859,12.6016,12.0511,s1-procure3B-n,nothing,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
3,10.3317,9.61029,9.53448,8.74959,8.64487,8.51214,8.37413,8.04558,7.66415,s1-procure3B-n,nothing,Africa_Eastern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
4,11.5037,10.525,12.9377,12.0216,11.4257,11.2379,11.8662,11.766,11.627,s1-procure3B-n,nothing,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
5,9.30874,8.41504,11.0121,10.3231,9.71937,9.5389,10.3226,10.2684,10.1503,s1-procure3B-n,nothing,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
6,11.5037,10.525,13.0021,12.2731,11.6294,11.4089,12.1526,12.0584,11.9003,s1-procure3B-n,nothing,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
7,6.93394,6.51421,8.45003,7.90865,7.43576,7.31175,7.97162,7.94834,7.87248,s1-procure3B-n,nothing,Africa_Northern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
8,11.9595,12.3177,15.8293,14.7758,13.695,12.9933,12.7226,12.5218,12.4386,s1-procure3B-n,nothing,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
9,9.76452,10.2077,14.8992,14.3165,13.5112,13.3191,14.075,14.053,13.747,s1-procure3B-n,nothing,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
10,11.9595,12.3177,16.8892,16.2665,15.4212,15.1891,15.905,15.843,15.497,s1-procure3B-n,nothing,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
11,8.23199,7.96576,12.1042,11.635,10.975,10.8339,11.5076,11.5148,11.2789,s1-procure3B-n,nothing,Africa_Southern,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
12,11.4045,11.2863,13.0749,12.1528,11.6272,11.5335,11.8165,11.7924,11.7777,s1-procure3B-n,nothing,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
13,9.20954,9.17629,11.2954,10.6017,10.068,10.0683,10.6452,10.7294,10.7505,s1-procure3B-n,nothing,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
14,11.4045,11.2863,13.2854,12.5517,11.978,11.9383,12.4752,12.5194,12.5005,s1-procure3B-n,nothing,Africa_Western,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
15,6.95912,6.5606,8.33073,7.80777,7.40926,7.43209,7.90369,7.99078,8.0282,s1-procure3B-n,nothing,Africa_Western,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
16,10.5399,10.487,10.8383,10.1944,9.74057,9.75686,10.4452,10.559,10.5214,s1-procure3B-n,nothing,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
17,8.34493,8.37701,8.81787,8.19965,7.76113,7.79266,8.49944,8.62933,8.61092,s1-procure3B-n,nothing,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
18,10.5399,10.487,10.8079,10.1496,9.67113,9.66266,10.3294,10.4193,10.3609,s1-procure3B-n,nothing,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
19,6.67367,6.71122,7.32845,6.78877,6.41021,6.4576,7.10576,7.23862,7.238,s1-procure3B-n,nothing,Australia_NZ,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
20,14.1434,12.1058,12.5183,11.5643,10.8456,10.6014,11.0038,11.0424,11.023,s1-procure3B-n,nothing,Brazil,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
21,11.9484,9.99584,10.5057,9.7303,9.04506,8.79215,9.2183,9.25308,9.23845,s1-procure3B-n,nothing,Brazil,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
22,14.1434,12.1058,12.4957,11.6803,10.9551,10.6621,11.0483,11.0431,10.9885,s1-procure3B-n,nothing,Brazil,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
23,9.53315,7.66063,8.15815,7.55525,7.02308,6.85171,7.24472,7.31288,7.33957,s1-procure3B-n,nothing,Brazil,missing,missing,missing,missing,missing,missing,missing,electricity,missing,missing,1975$/GJ
24,11.5958,11.4474,12.4442,12.1136,11.4634,11.0943,11.1244,10.8142,10.4981,s1-procure3B-n,nothing,Canada,missing,missing,missing,missing,missing,missing,missing,elect_td_bld,missing,missing,1975$/GJ
25,9.40085,9.33738,10.4485,10.1262,9.48329,9.13256,9.19263,8.92425,8.64716,s1-procure3B-n,nothing,Canada,missing,missing,missing,missing,missing,missing,missing,elect_td_ind,missing,missing,1975$/GJ
26,11.5958,11.4474,12.4385,12.0762,11.3933,11.0026,11.0226,10.7143,10.3972,s1-procure3B-n,nothing,Canada,missing,missing,missing,missing,missing,missing,missing,elect_td_trn,missing,missing,1975$/GJ
