1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0128576,0.0220667,0.0576435,0.1147,0.210111,0.331529,0.531752,s1-procureRhodium-n,nothing,USA,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0445233,0.0838046,0.144596,0.215562,0.32492,0.465618,0.718674,s1-procureRhodium-n,nothing,USA,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.458524,0.811616,1.64206,2.78892,4.22743,5.81174,7.13978,s1-procureRhodium-n,nothing,USA,backup_electricity,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0218958,0.019937,0.0271842,0.0311544,0.034938,0.0457771,0.0540413,s1-procureRhodium-n,nothing,USA,biogas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,-0.900087,-0.819564,-1.11748,-1.28069,-1.43622,-1.88179,-2.22151,s1-procureRhodium-n,nothing,USA,biogas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.00986624,0.0151372,0.0309813,0.0536281,0.0883362,0.151075,0.194467,s1-procureRhodium-n,nothing,USA,csp_backup,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
9.16221,8.10091,9.73787,10.1318,10.6971,11.247,11.8718,12.7833,13.9272,s1-procureRhodium-n,nothing,USA,gas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.844259,-1.0095200000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,s1-procureRhodium-n,nothing,USA,gas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.0,0.0,0.0,-0.1629547,-0.254962,-0.3668192,s1-procureRhodium-n,nothing,Africa_Eastern,CDR_regional,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.03403098,0.0926614,0.2119033,0.42391249999999997,0.250228487,0.2581962,0.297659,s1-procureRhodium-n,nothing,Africa_Eastern,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.015959,0.0405907,0.0894993,0.172907,0.27556,0.438017,0.642785,s1-procureRhodium-n,nothing,Africa_Eastern,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0118274,0.00133626,0.0632955,0.1324997,0.21969859999999997,0.3135002,0.37692933,0.43016285000000004,0.46166234,s1-procureRhodium-n,nothing,Africa_Eastern,N fertilizer,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0529132,0.303902,0.922726,1.98151,3.37583,4.80858,6.05541,s1-procureRhodium-n,nothing,Africa_Eastern,backup_electricity,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.00431213,0.00666173,0.0106279,0.0180321,0.0339059,0.0494076,0.0702353,s1-procureRhodium-n,nothing,Africa_Eastern,biogas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.32455575580000007,0.8865383845,1.8385719381999999,3.1603447469,5.3904653754,7.345112257,9.520547179400005,s1-procureRhodium-n,nothing,Africa_Eastern,biorefining,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.299,0.725,1.33855,1.76502,2.46077,3.38392,3.011786,3.2718100000000003,3.6482419999999998,s1-procureRhodium-n,nothing,Africa_Eastern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0113065,0.024432354,0.038905285,0.044508925,0.054973653,0.069710862,0.083960347,0.1053053447,0.1347226286,s1-procureRhodium-n,nothing,Africa_Eastern,comm heating,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.8068150000000001,2.14949878,2.458111094,2.504713268,2.6916464889999996,2.7281984030000004,2.525541371,2.3030122299999998,2.11718269,s1-procureRhodium-n,nothing,Africa_Eastern,comm others,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
5.33494E-4,5.082416E-4,5.479892E-4,6.308735000000001E-4,7.897504999999999E-4,0.0010101039,0.0011644705,0.0012532514999999999,0.0013248149,s1-procureRhodium-n,nothing,Africa_Eastern,desalinated water,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.0,0.0,0.0,0.13571533989999998,0.2542088638,0.3543186591,s1-procureRhodium-n,nothing,Africa_Eastern,elec_biomass (IGCC CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.12474484999999999,0.28219374999999997,0.53315774,0.7409483899999999,0.9721858799999998,1.2065659099999997,s1-procureRhodium-n,nothing,Africa_Eastern,elec_biomass (IGCC),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.0,0.0,0.0,0.020665509999999998,0.07207316999999999,0.176947,s1-procureRhodium-n,nothing,Africa_Eastern,elec_biomass (conv CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.11458007,0.19930558999999998,0.71251198,1.1751828199999999,1.7541771500000003,2.54317685,2.83519359,2.9016677379999996,2.7902815479999994,s1-procureRhodium-n,nothing,Africa_Eastern,elec_biomass (conv),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.0,0.0,0.0,0.00284408536,0.00867147471,0.018446495280000006,s1-procureRhodium-n,nothing,Africa_Eastern,elec_coal (IGCC CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.126066179,0.254559519,0.429300503,0.6051984250000001,0.736813991,0.8283600279999999,s1-procureRhodium-n,nothing,Africa_Eastern,elec_coal (IGCC),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.0,0.0,0.0,0.0034467179,0.00953427,0.0187665511,s1-procureRhodium-n,nothing,Africa_Eastern,elec_coal (conv pul CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.06314268,0.43390200000000007,1.0249159200000002,1.4042937400000002,1.7446527500000002,2.1696508599999995,2.4170826,2.45003267,2.3676560499999995,s1-procureRhodium-n,nothing,Africa_Eastern,elec_coal (conv pul),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.0,0.0,0.0,0.011009517299999999,0.024754794649999995,0.04122722261,s1-procureRhodium-n,nothing,Africa_Eastern,elec_gas (CC CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0468492668,0.11030534231000001,0.19580765214999998,0.34155086297,0.44250222909,0.5461307314900001,0.6556301820099999,s1-procureRhodium-n,nothing,Africa_Eastern,elec_gas (CC),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.157661245,0.248973047539,0.31086859058000005,0.3664071171749999,0.3161996580069999,0.25577289712,0.18625187146099995,s1-procureRhodium-n,nothing,Africa_Eastern,elec_gas (steam/CT),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0,0.0,0.0,0.0,0.16421647,0.17611856300000003,0.17758419500000003,s1-procureRhodium-n,nothing,Africa_Eastern,elec_refined liquids (CC CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,1.0260833,1.7628770999999999,2.12640561,2.8958186600000007,1.8646925199999997,1.5257833399999998,1.502895316,s1-procureRhodium-n,nothing,Africa_Eastern,elec_refined liquids (CC),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.6148708,1.7692337999999999,4.4310319,4.8348571,4.3343083,3.9992395,2.32326988,1.29811844,0.7790872839999999,s1-procureRhodium-n,nothing,Africa_Eastern,elec_refined liquids (steam/CT),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,2.66396E-4,0.00187913,0.00821167,0.0271997,0.0345133,0.0419752,0.0543367,s1-procureRhodium-n,nothing,Africa_Eastern,gas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
11.732059,17.669045,25.648038733,31.808181154,42.3551242,54.19933692000001,65.32011237,74.83459684999998,82.47294788000002,s1-procureRhodium-n,nothing,Africa_Eastern,industrial energy use,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.275358,0.408398,0.682596,1.1612,1.82863,2.51927,3.58023,4.88774,s1-procureRhodium-n,nothing,Africa_Eastern,industrial feedstocks,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.1921773,0.3814803,0.8850323,1.171526,1.631913,2.234247,2.55365,3.217684,4.148161,s1-procureRhodium-n,nothing,Africa_Eastern,process heat cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.243189,0.183647,0.562063,0.7810058000000001,1.08684838,1.7372014399999998,2.1154446699999996,2.7951927599999995,3.7240779199999996,s1-procureRhodium-n,nothing,Africa_Eastern,refining,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
-14.9672,-22.6085,-30.522,-38.5743,-51.3363,-64.5982,-84.5584,-100.436,-115.325,s1-procureRhodium-n,nothing,Africa_Eastern,regional biomass,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,-6.12115E-4,-8.57721E-4,-0.00121397,-0.00175897,-0.00211851,-0.0024585,-0.00304527,s1-procureRhodium-n,nothing,Africa_Eastern,regional biomassOil,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,-0.213243,-0.289594,-0.405587,-0.563383,-0.688787,-0.803574,-0.923658,s1-procureRhodium-n,nothing,Africa_Eastern,regional corn for ethanol,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
3.92474124,5.780069999999999,7.354120083000001,8.125522035,9.272941304,9.716296534,9.123397532,8.177169315,7.1731313282,s1-procureRhodium-n,nothing,Africa_Eastern,resid others,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.367277,0.684661,1.2229,1.48109,1.89029,2.41898,3.01052,3.77984,4.75847,s1-procureRhodium-n,nothing,Africa_Eastern,trn_aviation_intl,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
0.11083159000000001,0.02837465,0.0680414,0.0769797,0.09075910000000001,0.1075436,0.1225268,0.1450777,0.1736637,s1-procureRhodium-n,nothing,Africa_Eastern,trn_freight,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
1.352812,2.0196110000000003,5.00667019,5.6349136,6.423044182,7.194141145000001,8.21085572,9.52228412,11.197659590000004,s1-procureRhodium-n,nothing,Africa_Eastern,trn_freight_road,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
