1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0,0.0,0.0,0.0,0.0,0.0,-1.143626,-2.339869,-3.9406299999999996,s1-procureRhodium-n,nothing,Africa_Eastern,missing,biomass,missing,CO2,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0287641,0.0661877,0.149444,0.293263,0.473311,0.669797,0.88351,s1-procureRhodium-n,nothing,Africa_Eastern,missing,rooftop_pv,missing,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
0.0012925,0.00210251,0.00815307,0.015994889999999998,0.026082670000000002,0.04095,0.0700925,0.09902535000000001,0.1330992,s1-procureRhodium-n,nothing,Africa_Eastern,missing,biomass,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
6.61901E-4,0.00468252,0.0126143,0.020650799999999997,0.02840562,0.03862956,0.047311358,0.05305837,0.057246370000000005,s1-procureRhodium-n,nothing,Africa_Eastern,missing,coal,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00613636,0.01127989,0.016619500000000002,0.0244471,0.03122867,0.03894236,0.04837645,s1-procureRhodium-n,nothing,Africa_Eastern,missing,gas,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
0.00117369,0.00361098,0.0350802,0.0543405,0.0705819,0.0852828,0.101358,0.106815,0.11147,s1-procureRhodium-n,nothing,Africa_Eastern,missing,geothermal,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0220885,0.0372506,0.124544,0.152375,0.180205,0.208035,0.235866,0.263696,0.291526,s1-procureRhodium-n,nothing,Africa_Eastern,missing,hydro,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00217662,0.0183008,0.0464548,0.0973648,0.197089,0.32395,0.492089,s1-procureRhodium-n,nothing,Africa_Eastern,missing,nuclear,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0092828,0.0284467,0.1102937,0.1416752,0.14504,0.1638448,0.1408096,0.1155779,0.11053559999999998,s1-procureRhodium-n,nothing,Africa_Eastern,missing,refined liquids,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,5.21026E-5,0.0302895459,0.0908346241,0.15605273609999998,0.2559191661,0.47101975610000013,0.7891150190999999,1.2569873189999998,s1-procureRhodium-n,nothing,Africa_Eastern,missing,solar,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,1.03005E-5,0.06546690200000001,0.17187457199999998,0.29744461199999994,0.477092712,0.8142136120000001,1.25177233,1.81924254,s1-procureRhodium-n,nothing,Africa_Eastern,missing,wind,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,1.74201E-6,2.064182E-5,6.10084E-5,1.488793E-4,s1-procureRhodium-n,nothing,Africa_Eastern,missing,biomass,missing,waste_heat,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,9.62612E-6,3.8309092999999996E-5,7.478361E-5,1.3982558E-4,s1-procureRhodium-n,nothing,Africa_Eastern,missing,coal,missing,waste_heat,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,4.52886E-6,1.957503E-5,4.382048E-5,9.680522000000001E-5,s1-procureRhodium-n,nothing,Africa_Eastern,missing,gas,missing,waste_heat,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.0,0.0,0.0,0.0,-0.16801880000000002,-0.45190400000000003,-0.807501,s1-procureRhodium-n,nothing,Africa_Northern,missing,biomass,missing,CO2,missing,missing,missing,missing,missing,missing,MTC
0.0,0.0,0.0711614,0.220083,0.321947,0.430033,0.644208,0.826357,1.00443,s1-procureRhodium-n,nothing,Africa_Northern,missing,rooftop_pv,missing,elect_td_bld,missing,missing,missing,missing,missing,missing,EJ
0.0,0.0,0.00196384,0.00354939,0.00671175,0.00884617,0.013244917,0.02059936,0.02881802,s1-procureRhodium-n,nothing,Africa_Northern,missing,biomass,missing,electricity,missing,missing,missing,missing,missing,missing,EJ
