1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0.0213837,0.0194331,0.0286105,0.028299,0.0281981,0.0285447,0.0367399,0.0405872,0.0428669,s1-procureScaling-l,low,Africa_Eastern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0193061,0.0185248,0.0285933,0.0282052,0.0277876,0.0281016,0.0346078,0.0376625,0.0396814,s1-procureScaling-l,low,Africa_Northern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0180969,0.0177835,0.0296735,0.0295774,0.0292215,0.0297473,0.0379934,0.0418299,0.0441961,s1-procureScaling-l,low,Africa_Southern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0190805,0.0186745,0.0277412,0.0274756,0.0271723,0.0276574,0.0357101,0.0394255,0.0418407,s1-procureScaling-l,low,Africa_Western,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0165085,0.01604,0.0200892,0.0198228,0.0196098,0.0198656,0.0272025,0.03062,0.0325458,s1-procureScaling-l,low,Australia_NZ,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0172359,0.0172693,0.024209,0.0237015,0.0233816,0.0237242,0.0286453,0.0312739,0.0329183,s1-procureScaling-l,low,Brazil,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.020464,0.018817,0.0221273,0.021938,0.0215603,0.021614,0.0286686,0.0320667,0.0340574,s1-procureScaling-l,low,Canada,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0232441,0.0207505,0.0294037,0.0287817,0.0284381,0.0288637,0.0361675,0.0395306,0.0415079,s1-procureScaling-l,low,Central America and Caribbean,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0177319,0.0178561,0.0266659,0.0263981,0.0257639,0.0261129,0.0333662,0.0366595,0.0388266,s1-procureScaling-l,low,Central Asia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0167166,0.0150053,0.0194431,0.0192562,0.0191725,0.0194057,0.0279982,0.0329901,0.0361967,s1-procureScaling-l,low,China,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0199957,0.0198342,0.0304346,0.0300471,0.0297529,0.0300724,0.0377733,0.0414234,0.0436649,s1-procureScaling-l,low,EU-12,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0194011,0.0185404,0.0303035,0.0296952,0.0292014,0.0293591,0.037376,0.0410305,0.0434653,s1-procureScaling-l,low,EU-15,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0191009,0.0194043,0.028145,0.0277875,0.0270962,0.0272104,0.0338101,0.0366821,0.0384793,s1-procureScaling-l,low,Europe_Eastern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.020677,0.0199432,0.0306113,0.0302708,0.0297932,0.0300168,0.0382036,0.0421573,0.0446784,s1-procureScaling-l,low,Europe_Non_EU,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0196128,0.0193637,0.0297475,0.0288731,0.0283254,0.0285214,0.035819,0.039499,0.0418921,s1-procureScaling-l,low,European Free Trade Association,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.018346,0.0145703,0.0197254,0.0195987,0.019451,0.0195807,0.0273919,0.0317421,0.0344407,s1-procureScaling-l,low,India,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0173383,0.0162917,0.020776,0.0207975,0.0207986,0.02116,0.0303633,0.0353821,0.0385269,s1-procureScaling-l,low,Indonesia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0146743,0.0147479,0.0220268,0.0218174,0.0217036,0.0218928,0.0315698,0.0366976,0.0396668,s1-procureScaling-l,low,Japan,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.020192,0.0184928,0.0289819,0.0284758,0.0279853,0.0281438,0.035296,0.0387121,0.0409476,s1-procureScaling-l,low,Mexico,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0201169,0.0201479,0.0346895,0.0338337,0.0325545,0.0325491,0.039397,0.0423626,0.044229,s1-procureScaling-l,low,Middle East,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0169772,0.0165802,0.0221546,0.0215771,0.0214398,0.0217494,0.030424,0.0351869,0.0383207,s1-procureScaling-l,low,Pakistan,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0182507,0.0181966,0.0264701,0.0258916,0.0252502,0.0255099,0.0325492,0.0355684,0.0375924,s1-procureScaling-l,low,Russia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0255158,0.0236521,0.0298272,0.0294202,0.0290166,0.0294373,0.0371023,0.0403414,0.0424913,s1-procureScaling-l,low,South Africa,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0196527,0.0207627,0.0301329,0.0301286,0.0287963,0.0289626,0.0354747,0.0382359,0.0399003,s1-procureScaling-l,low,South America_Northern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0197003,0.0189096,0.0284554,0.0281043,0.0276435,0.0280047,0.0354841,0.0388929,0.0409949,s1-procureScaling-l,low,South America_Southern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0170065,0.0162509,0.0211076,0.0207431,0.0203839,0.0204789,0.0291223,0.0340666,0.0372109,s1-procureScaling-l,low,South Asia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0180982,0.0164095,0.0211908,0.0209682,0.0206658,0.0205225,0.0294807,0.0353875,0.0396656,s1-procureScaling-l,low,South Korea,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0172343,0.0157142,0.0202834,0.0201858,0.0199898,0.0201342,0.0287071,0.0334395,0.0362864,s1-procureScaling-l,low,Southeast Asia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0183869,0.0160892,0.0193392,0.0191832,0.018933,0.0189635,0.0274468,0.0328325,0.0366739,s1-procureScaling-l,low,Taiwan,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0198243,0.0193153,0.0286611,0.0281047,0.0274069,0.0274609,0.0344472,0.0375214,0.0395603,s1-procureScaling-l,low,Argentina,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0193005,0.0187943,0.02817,0.0280354,0.0277746,0.028237,0.0356223,0.0390118,0.0411617,s1-procureScaling-l,low,Colombia,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0235283,0.0223286,0.0235984,0.0233557,0.0505327,0.0515148,0.0519428,0.0566854,0.0575666,s1-procureScaling-l,low,AL,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0222368,0.0205817,0.0226452,0.0223605,0.0504988,0.0514034,0.0517306,0.0563537,0.0572403,s1-procureScaling-l,low,AZ,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0235283,0.0223286,0.0235984,0.0233557,0.0504976,0.0514789,0.0519066,0.0566499,0.0575313,s1-procureScaling-l,low,AR,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0248585,0.0240467,0.0260989,0.0258702,0.0535794,0.0546939,0.0550202,0.0599948,0.0611885,s1-procureScaling-l,low,CA,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0222368,0.0205817,0.0226452,0.0223605,0.0504988,0.0514034,0.0517306,0.0563537,0.0572403,s1-procureScaling-l,low,CO,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0241748,0.023707,0.0259493,0.0256278,0.0524363,0.0538184,0.0544354,0.0597347,0.0612292,s1-procureScaling-l,low,CT,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0223655,0.0215231,0.0236817,0.0235423,0.0512144,0.0522344,0.0526351,0.0569146,0.0578323,s1-procureScaling-l,low,FL,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0235283,0.0223286,0.0235984,0.0233557,0.0505327,0.0515148,0.0519428,0.0566854,0.0575666,s1-procureScaling-l,low,GA,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0236793,0.0219318,0.0236893,0.0234384,0.0518355,0.0527151,0.0530297,0.0579929,0.0590626,s1-procureScaling-l,low,ID,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0231321,0.0218365,0.023213,0.0229378,0.0512544,0.0522235,0.0526049,0.0573151,0.0581721,s1-procureScaling-l,low,IL,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.022908,0.0218786,0.0234651,0.0231952,0.0512556,0.0522551,0.0526266,0.0572471,0.0581091,s1-procureScaling-l,low,IN,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0224507,0.0211864,0.022685,0.0223757,0.0511886,0.0521971,0.0524927,0.0573174,0.0584053,s1-procureScaling-l,low,IA,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.020464,0.019761,0.0223444,0.0220132,0.0499431,0.0507673,0.0511209,0.055967,0.0570522,s1-procureScaling-l,low,KS,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.022908,0.0218786,0.0234651,0.0231952,0.0512556,0.0522551,0.0526266,0.0572471,0.0581091,s1-procureScaling-l,low,KY,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0235283,0.0223286,0.0235984,0.0233557,0.0505327,0.0515148,0.0519428,0.0566854,0.0575666,s1-procureScaling-l,low,LA,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0234081,0.0227633,0.024196,0.0239535,0.0518092,0.05283,0.053294,0.0579291,0.0587813,s1-procureScaling-l,low,MD,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0241748,0.023707,0.0259493,0.0256278,0.0524363,0.0538184,0.0544354,0.0597347,0.0612292,s1-procureScaling-l,low,MA,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.022908,0.0218786,0.0234651,0.0231952,0.0512556,0.0522551,0.0526266,0.0572471,0.0581091,s1-procureScaling-l,low,MI,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0224507,0.0211864,0.022685,0.0223757,0.0511886,0.0521971,0.0524927,0.0573174,0.0584053,s1-procureScaling-l,low,MN,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0235283,0.0223286,0.0235984,0.0233557,0.0505327,0.0515148,0.0519428,0.0566854,0.0575666,s1-procureScaling-l,low,MS,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0231321,0.0218365,0.023213,0.0229378,0.0512544,0.0522235,0.0526049,0.0573151,0.0581721,s1-procureScaling-l,low,MO,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0224507,0.0211864,0.022685,0.0223757,0.0511886,0.0521971,0.0524927,0.0573174,0.0584053,s1-procureScaling-l,low,NE,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0236793,0.0219318,0.0236893,0.0234384,0.0518355,0.0527151,0.0530297,0.0579929,0.0590626,s1-procureScaling-l,low,NV,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0234081,0.0227633,0.024196,0.0239535,0.0518092,0.05283,0.053294,0.0579291,0.0587813,s1-procureScaling-l,low,NJ,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0222368,0.0205817,0.0226452,0.0223605,0.0504988,0.0514034,0.0517306,0.0563537,0.0572403,s1-procureScaling-l,low,NM,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0230686,0.0229797,0.0248925,0.0246044,0.0515066,0.0527066,0.0531872,0.0582404,0.0593088,s1-procureScaling-l,low,NY,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0235283,0.0223286,0.0235984,0.0233557,0.0505327,0.0515148,0.0519428,0.0566854,0.0575666,s1-procureScaling-l,low,NC,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.022908,0.0218786,0.0234651,0.0231952,0.0512556,0.0522551,0.0526266,0.0572471,0.0581091,s1-procureScaling-l,low,OH,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.020464,0.019761,0.0223444,0.0220133,0.0499431,0.0507673,0.0511209,0.055967,0.0570522,s1-procureScaling-l,low,OK,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0236793,0.0219318,0.0236893,0.0234384,0.0518698,0.0527504,0.0530653,0.0580281,0.0590979,s1-procureScaling-l,low,OR,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0234081,0.0227633,0.024196,0.0239535,0.0517751,0.0527951,0.0532588,0.0578946,0.0587469,s1-procureScaling-l,low,PA,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0235283,0.0223286,0.0235984,0.0233557,0.0505327,0.0515148,0.0519428,0.0566854,0.0575666,s1-procureScaling-l,low,SC,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0224507,0.0211864,0.022685,0.0223757,0.0511886,0.0521971,0.0524927,0.0573174,0.0584053,s1-procureScaling-l,low,SD,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0235283,0.0223286,0.0235984,0.0233557,0.0504976,0.0514789,0.0519066,0.0566499,0.0575313,s1-procureScaling-l,low,TN,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0205796,0.01974,0.0220827,0.0218534,0.049813,0.0506817,0.0510715,0.0559216,0.0568615,s1-procureScaling-l,low,TX,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0236793,0.0219318,0.0236893,0.0234384,0.0518355,0.0527151,0.0530297,0.0579929,0.0590626,s1-procureScaling-l,low,UT,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0235283,0.0223286,0.0235984,0.0233557,0.0505327,0.0515148,0.0519428,0.0566854,0.0575666,s1-procureScaling-l,low,VA,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0236793,0.0219318,0.0236893,0.0234384,0.0518698,0.0527504,0.0530653,0.0580281,0.0590979,s1-procureScaling-l,low,WA,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.022908,0.0218786,0.0234651,0.0231952,0.0512556,0.0522551,0.0526266,0.0572471,0.0581091,s1-procureScaling-l,low,WV,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
0.0231321,0.0218365,0.023213,0.0229378,0.0512544,0.0522235,0.0526049,0.0573151,0.0581721,s1-procureScaling-l,low,WI,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,1975$/kg
