,1990,2005,2020,2025,2030,2035,2040,2045,2050,scenario,baseline,GCAM,sector,subsector,technology,output,concentration,input,product,fuel,LandLeaf,GHG,Units
0,0.0,0.0,0.0128577,0.0220263,0.04046524,,0.05290747,0.0381803,0.0660822,s2,high,USA,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
1,0.0,0.0,0.0445233,0.0837674,0.121927,,0.233608,0.256441,0.456665,s2,high,USA,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
2,0.0,0.0,0.458524,0.811692,4.44311,,10.8377,14.0073,16.7661,s2,high,USA,backup_electricity,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
3,0.0,0.0,0.0218958,0.0199296,0.0985358,,0.123409,0.188685,0.196656,s2,high,USA,biogas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
4,0.0,0.0,-0.900086,-0.819261,-4.05057,,-5.07306,-7.75642,-8.08408,s2,high,USA,biogas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
5,0.0,0.0,0.00986624,0.0151427,0.0839079,,0.268365,0.540078,0.741651,s2,high,USA,csp_backup,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
6,9.16221,8.10091,9.73787,10.131,9.99107,,10.2656,9.75057,11.0103,s2,high,USA,gas pipeline,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
7,0.844259,-1.0095200000000002,0.0,0.0,0.0,,0.0,0.0,0.0,s2,high,USA,gas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
8,0.0,0.0,0.0,0.0,0.0,,-0.1882214,-0.2982759,-0.4467854,s2,high,Africa_Eastern,CDR_regional,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
9,0.0,0.0,0.03403098,0.0926694,0.2152381,,0.24645163,0.2522094,0.3078896,s2,high,Africa_Eastern,H2 central production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
10,0.0,0.0,0.015959,0.0405974,0.0907485,,0.279848,0.451086,0.669733,s2,high,Africa_Eastern,H2 forecourt production,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
11,0.0118274,0.00133626,0.0632956,0.1325103,0.226181,,0.36713322,0.43255709,0.4677163399999999,s2,high,Africa_Eastern,N fertilizer,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
12,0.0,0.0,0.0529132,0.303817,0.929863,,3.43742,4.88934,6.17591,s2,high,Africa_Eastern,backup_electricity,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
13,0.0,0.0,0.00431213,0.00665702,0.0105841,,0.0325895,0.0467447,0.0637086,s2,high,Africa_Eastern,biogas processing,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
14,0.0,0.0,0.3245558558999999,0.8869853776999999,1.8109406987,,4.471784914200001,6.090836603600001,7.8950659899,s2,high,Africa_Eastern,biorefining,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
15,0.299,0.725,1.33855,1.76493,2.46168,,2.941484,3.0859870000000003,3.470847,s2,high,Africa_Eastern,cement,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
16,0.0113065,0.024432354,0.038905286,0.044498084,0.054966059,,0.083719912,0.104965562,0.1345315111,s2,high,Africa_Eastern,comm heating,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
17,0.8068150000000001,2.14949878,2.4581011150000003,2.506510435,2.624234211,,2.433302348,2.08211009,1.86223614,s2,high,Africa_Eastern,comm others,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
18,0.000533494,0.0005082416,0.0005479880999999999,0.0006307167,0.0007904993000000001,,0.0011618946,0.0012528827,0.0013309053,s2,high,Africa_Eastern,desalinated water,missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
19,0.0,0.0,0.0,0.0,0.0,,0.1068664144999999,0.1588007249,0.200483005,s2,high,Africa_Eastern,elec_biomass (IGCC CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
20,0.0,0.0,0.0,0.12443026,0.2846757,,0.73340484,0.99848637,1.20846026,s2,high,Africa_Eastern,elec_biomass (IGCC),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
21,0.0,0.0,0.0,0.0,0.0,,0.032106319,0.102578387,0.222973128,s2,high,Africa_Eastern,elec_biomass (conv CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
22,0.11458007,0.1993055899999999,0.71251207,1.17458585,1.7280088000000002,,2.7270679400000004,2.665963839,2.399114583,s2,high,Africa_Eastern,elec_biomass (conv),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
23,0.0,0.0,0.0,0.0,0.0,,0.00349282547,0.01073348808,0.0218426306199999,s2,high,Africa_Eastern,elec_coal (IGCC CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
24,0.0,0.0,0.0,0.125725224,0.2584312709999999,,0.623924667,0.7581766040000001,0.8406347,s2,high,Africa_Eastern,elec_coal (IGCC),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
25,0.0,0.0,0.0,0.0,0.0,,0.004387736,0.0121497314,0.0227311872,s2,high,Africa_Eastern,elec_coal (conv pul CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
26,0.06314268,0.433902,1.0249180299999998,1.4031926100000005,1.7570291799999995,,2.4759783200000003,2.50650752,2.38875611,s2,high,Africa_Eastern,elec_coal (conv pul),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
27,0.0,0.0,0.0,0.0,0.0,,0.0163525665,0.0322248592499999,0.0505511585929999,s2,high,Africa_Eastern,elec_gas (CC CCS),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
28,0.0,0.0,0.0468493768,0.11012034423,0.19821371914,,0.4031077220999999,0.50466494689,0.6141928208050003,s2,high,Africa_Eastern,elec_gas (CC),missing,missing,missing,missing,missing,missing,missing,missing,missing,MTC
